TGSC ID,Content Data Category,Content TGSC ID,Content Name,Content Header,Concentration %,Concentration Min %,Concentration Max %
1006351,rw,1108601,L-(-)-alpha-pinene,also (can) contains,,,
1006411,rw,1004251,ethyl hydroxyheptyl ketone,also (can) contains,,,
1006411,rw,1008331,2-nonanone,also (can) contains,,,
1006481,rw,1468281,(E)-2-methyl-2-pentenoic acid,also (can) contains,,,
1006491,rw,1383851,sandal cyclohexanol,also (can) contains,,,
1006631,rw,1005841,pseudoionone,also (can) contains,,3.0,10.0
1006631,rw,1011952,alpha-ionone,also (can) contains,,3.0,10.0
1006631,rw,1035361,gamma-ionone,also (can) contains,,3.0,10.0
1006632,rw,1005841,pseudoionone,also (can) contains,,3.0,10.0
1006632,rw,1011952,alpha-ionone,also (can) contains,,3.0,10.0
1006632,rw,1035361,gamma-ionone,also (can) contains,,3.0,10.0
1006851,rw,1547161,8-tert-butyl quinoline,also (can) contains,20.0,,
1006911,rw,1060831,(E)-isoeugenol,also (can) contains,,,
1006911,rw,1096521,(Z)-isoeugenol,also (can) contains,,,
1006951,rw,1376531,2-pentyl-2-cyclohexen-1-one,also (can) contains,,,
1006951,rw,1582381,isojasmone,also (can) contains,,,
1006961,rw,1445021,cassis buteneone,also (can) contains,,,
1006991,rw,1008952,nerol,also (can) contains,,,
1006992,rw,1008952,nerol,also (can) contains,,,
1007221,rw,1095711,8-isopropyl quinoline,also (can) contains,,,
1007621,rw,1554501,butyl (R)-2-methyl butyrate,also (can) contains,,,
1007621,rw,1623831,butyl (S)-2-methyl butyrate,also (can) contains,,,
1007631,rw,1043051,dimethyl tetrahydrobenzaldehyde,also (can) contains,,,
1007661,rw,1119601,acetic acid anhydride reaction products with 2-methyl butene dimer hydrogenated,also (can) contains,,,
1007751,rw,1004351,diethyl phthalate,also (can) contains,,48.0,52.0
1007761,rw,1551511,(Z)-2-decenal,also (can) contains,,0.1,3.0
1007781,rw,1019332,isopropyl myristate,also (can) contains,,48.0,52.0
1007782,rw,1019332,isopropyl myristate,also (can) contains,,48.0,52.0
1007851,rw,1030292,tetrahydromyrcenol,also (can) contains,,35.0,55.0
1007901,rw,1584081,"5(or 6)-butyl-1,4-dioxan-2-one",also contains,,,
1007971,rw,1515651,"3,4-leerall",also (can) contains,,20.0,34.0
1007972,rw,1515651,"3,4-leerall",also (can) contains,,20.0,34.0
1007981,rw,1473661,(E)-3-hexen-1-yl hexanoate,also (can) contains,,0.1,2.0
1008111,rw,1636371,(R)-strawberry furanone methyl ether,also (can) contains,,,
1008111,rw,1636381,(S)-strawberry furanone methyl ether,also (can) contains,,,
1008181,rw,1007741,decanoic acid,also (can) contains,,3.0,6.0
1008181,rw,1009061,myristic acid,also (can) contains,,3.0,6.0
1008181,rw,1009101,palmitic acid,also (can) contains,,3.0,6.0
1008261,rw,1008281,"3,5-cocoa pyrazine",also (can) contains,,,
1008261,rw,1426491,"3,6-cocoa pyrazine",also (can) contains,,,
1008651,rw,1011151,tricyclodecenyl propionate,also (can) contains,,,
1008661,rw,1107761,bean pyrazine,also (can) contains,,,
1008701,rw,1031911,2-methoxy-3-methyl pyrazine,also (can) contains,,,
1008701,rw,1464151,2-methoxy-5-methyl pyrazine,also (can) contains,,,
1008821,rw,1227521,carminic acid,also (can) contains,,,
1008821,rw,1581831,cochineal,also (can) contains,,,
1008931,rw,1374961,(R)-citronellyl nitrile,also (can) contains,,,
1008932,rw,1374961,(R)-citronellyl nitrile,also (can) contains,,,
1008951,rw,1006992,geraniol,also (can) contains,,,
1008952,rw,1006992,geraniol,also (can) contains,,,
1008981,rw,1532111,trans-galbanum oxathiane,also (can) contains,,,
1009021,rw,1046991,2-methyl-3-(methyl thio) pyrazine,also (can) contains,,,
1009021,rw,1427511,2-methyl-6-(methyl thio) pyrazine,also (can) contains,,,
1009021,rw,1428161,2-methyl-5-(methyl thio) pyrazine,also (can) contains,,,
1009031,rw,1053991,(E)-nerolidol,also (can) contains,45.0,,
1009031,rw,1102331,(Z)-nerolidol,also (can) contains,45.0,,
1009032,rw,1053991,(E)-nerolidol,also (can) contains,45.0,,
1009032,rw,1102331,(Z)-nerolidol,also (can) contains,45.0,,
1009061,rw,1008181,lauric acid,also (can) contains,,2.0,4.0
1009061,rw,1009101,palmitic acid,also (can) contains,,2.0,4.0
1009101,rw,1009061,myristic acid,also (can) contains,,8.0,11.0
1009101,rw,1009271,stearic acid,also (can) contains,,8.0,11.0
1009101,rw,1249291,heptadecanoic acid,also (can) contains,,8.0,11.0
1009101,rw,1272411,pentadecanoic acid,also (can) contains,,8.0,11.0
1009221,rw,1495001,(E)-1-propyenyl propyl disulfide,also (can) contains,,,
1009221,rw,1664121,(Z)-1-propenyl propyl disulfide,also (can) contains,,,
1009311,rw,1095641,(S)-cistus cyclohexanone,also (can) contains,,,
1009311,rw,1554511,(R)-cistus cyclohexanone,also (can) contains,,,
1009711,rw,1001372,woody acetate,also (can) contains,,6.0,27.0
1009831,rw,1002791,allyl disulfide,also (can) contains,,,
1009831,rw,1008081,dimethyl disulfide,also (can) contains,,,
1009841,rw,1008101,dimethyl trisulfide,also (can) contains,,10.0,12.0
1009841,rw,1018581,diallyl trisulfide,also (can) contains,,10.0,12.0
1009851,rw,1038821,allyl propyl sulfide,also (can) contains,,1.0,2.0
1009851,rw,1043191,dipropyl sulfide,also (can) contains,,1.0,2.0
1009941,rw,1010051,phenethyl alcohol,also (can) contains,,45.0,50.0
1010151,rw,1140171,(R)-styralyl alcohol,also (can) contains,,,
1010151,rw,1142401,(S)-styralyl alcohol,also (can) contains,,,
1010461,rw,1029541,water,also (can) contains,80.0,,
1010471,rw,1000382,propylene glycol,also (can) contains,70.0,,
1010651,rw,1473331,(E)-3-hexen-1-yl salicylate,also (can) contains,,0.1,3.0
1010652,rw,1473331,(E)-3-hexen-1-yl salicylate,also (can) contains,,0.1,3.0
1010941,rw,1122431,(E)-anisylidene acetone,also (can) contains,,,
1010941,rw,1122631,(Z)-anisylidene acetone,also (can) contains,,,
1011051,rw,1072121,alpha-methyl-(E)-cinnamaldehyde,also (can) contains,,,
1011051,rw,1072141,alpha-methyl-(Z)-cinnamaldehyde,also (can) contains,,,
1011091,rw,1558321,(S)-styralyl acetate,also (can) contains,,,
1011091,rw,1558331,(R)-styralyl acetate,also (can) contains,,,
1011092,rw,1558321,(S)-styralyl acetate,also (can) contains,,,
1011092,rw,1558331,(R)-styralyl acetate,also (can) contains,,,
1011131,rw,1435071,(E)-methyl isoeugenol,also (can) contains,,,
1011131,rw,1435081,(Z)-methyl isoeugenol,also (can) contains,,,
1011132,rw,1435071,(E)-methyl isoeugenol,also (can) contains,,,
1011132,rw,1435081,(Z)-methyl isoeugenol,also (can) contains,,,
1011251,rw,1031211,beta-terpineol,also (can) contains,,4.0,6.0
1011251,rw,1056011,gamma-terpineol,also (can) contains,,4.0,6.0
1011252,rw,1031211,beta-terpineol,also (can) contains,,4.0,6.0
1011252,rw,1056011,gamma-terpineol,also (can) contains,,4.0,6.0
1011271,rw,1382891,gamma-terpinyl acetate,also (can) contains,,,
1011271,rw,1522641,(Z)-beta-terpinyl acetate,also (can) contains,,,
1011271,rw,1522721,trans-beta-terpinyl acetate,also (can) contains,,,
1011272,rw,1382891,gamma-terpinyl acetate,also (can) contains,,,
1011272,rw,1522641,(Z)-beta-terpinyl acetate,also (can) contains,,,
1011272,rw,1522721,trans-beta-terpinyl acetate,also (can) contains,,,
1011311,rw,1595771,(R)-tetrahydrolinalool,also (can) contains,,,
1011311,rw,1595781,(S)-tetrahydrolinalool,also (can) contains,,,
1011312,rw,1595771,(R)-tetrahydrolinalool,also (can) contains,,,
1011312,rw,1595781,(S)-tetrahydrolinalool,also (can) contains,,,
1011601,rw,1122911,(R)-benzoin,also (can) contains,,,
1011601,rw,1141571,(S)-benzoin,also (can) contains,,,
1011951,rw,1005841,pseudoionone,also (can) contains,,4.0,20.0
1011951,rw,1006632,beta-ionone,also (can) contains,,4.0,20.0
1011951,rw,1035361,gamma-ionone,also (can) contains,,4.0,20.0
1011952,rw,1005841,pseudoionone,also (can) contains,,4.0,20.0
1011952,rw,1006632,beta-ionone,also (can) contains,,4.0,20.0
1011952,rw,1035361,gamma-ionone,also (can) contains,,4.0,20.0
1011971,rw,1045331,beta-isomethyl ionone,also (can) contains,,2.0,20.0
1011971,rw,1429121,pseudomethyl ionone,also (can) contains,,2.0,20.0
1011971,rw,1445221,(E)-beta-methyl ionone,also (can) contains,,2.0,20.0
1011971,rw,1594731,alpha-isomethyl ionone (90% min.),also (can) contains,,2.0,20.0
1012171,rw,1007032,citronellol,also (can) contains,,4.0,6.0
1012172,rw,1007032,citronellol,also (can) contains,,4.0,6.0
1012551,rw,1006772,isoamyl salicylate,also (can) contains,,27.0,38.0
1013831,rw,1095381,(Z)-2-hexenal,also (can) contains,,1.0,8.0
1013831,rw,1445941,2-hexenoic acid,also (can) contains,,1.0,8.0
1013911,rw,1444501,(E)-3-hexenal,also (can) contains,,2.0,8.0
1013971,rw,1046521,"2,4-ivy carbaldehyde / methyl anthranilate schiff's base",also (can) contains,,,
1014111,rw,1106421,(E)-cinnamyl butyrate,also (can) contains,,,
1014291,rw,1443811,2-methyl hexanal,also (can) contains,,3.0,8.0
1014591,rw,1052991,ethyl tiglate,also (can) contains,,,
1014811,rw,1551521,ethyl (E)-cinnamate,also (can) contains,,,
1014811,rw,1603861,ethyl (Z)-cinnamate,also (can) contains,,,
1014812,rw,1551521,ethyl (E)-cinnamate,also (can) contains,,,
1014812,rw,1603861,ethyl (Z)-cinnamate,also (can) contains,,,
1014881,rw,1547461,musk pentane,also (can) contains,,,
1015121,rw,1028231,isobutyl alcohol,also (can) contains,,,
1015161,rw,1123351,(Z)-tiglaldehyde,also (can) contains,,,
1015161,rw,1551461,(E)-tiglaldehyde,also (can) contains,,,
1015271,rw,1033121,(-)-methyl dihydrojasmonate,also (can) contains,,,
1015272,rw,1033121,(-)-methyl dihydrojasmonate,also (can) contains,,,
1015291,rw,1123361,(S)-2-ethyl-1-hexanol,also (can) contains,,,
1015291,rw,1123371,(R)-2-ethyl-1-hexanol,also (can) contains,,,
1015351,rw,1027691,methyl (E)-2-octenoate,also (can) contains,,,
