Stimulus,TGSC ID,CID,Concentration %,Solvent
116-53-0,1056421,8314,10.0,propylene glycol
116-66-5,1025151,67005,10.0,benzyl benzoate
116505-60-3,1583791,529068,0.1,propylene glycol
1166-52-5,1254561,14425,100.0,
116963-97-4,1587171,53930276,1.0,dipropylene glycol
117013-33-9,1593781,23039305,0.1,propylene glycol
117933-89-8,1038591,16070752,10.0,dipropylene glycol
118-55-8,1040381,8361,100.0,
118-56-9,1031321,8362,100.0,
118-58-1,1001791,8363,100.0,
118-60-5S,1016671,1715132,100.0,
118-61-6,1001561,8365,100.0,
118-65-0,1382561,5281522,100.0,
118-71-8,1002341,8369,5.0,benzyl alcohol
118-72-9,1037331,61045,0.1,propylene glycol
118-93-4,1013131,8375,2.0,dipropylene glycol
1184-78-7,1293651,1145,100.0,
1185-57-5,1098911,14457,100.0,
118562-73-5,1418201,9815980,10.0,dipropylene glycol
1186004-10-3,1127301,44204990,,
1188-02-9,1029221,14475,1.0,propylene glycol
1189-09-9,1046801,5365910,100.0,
119-36-8,1008471,4133,10.0,dipropylene glycol
119-53-9,1011601,8400,10.0,dipropylene glycol
119-61-9,1016331,3102,10.0,dipropylene glycol
119-65-3,1034341,8405,0.1,triacetin
119-84-6,1001531,660,10.0,dipropylene glycol
1190229-37-8,1117891,49869549,,
1190230-47-7,1120641,49869550,,
1191-08-8,1039851,79148,0.01,propylene glycol
1191-16-8,1015091,14489,1.0,propylene glycol
1191-43-1,1036511,14491,0.1,propylene glycol
1191-62-4,1036621,14493,0.1,propylene glycol
1192-62-7,1026171,14505,1.0,dipropylene glycol
1193-11-9S,1036171,6992243,100.0,
1193-18-6,1035921,14511,1.0,dipropylene glycol
1193-79-9,1027731,14514,0.1,dipropylene glycol
1193-81-3,1041901,137829,,
1195-32-0,1018551,62385,0.1,dipropylene glycol
1195-92-2,1124781,91496,,
1196-01-6,1040481,92874,100.0,
1196-31-2,1449111,70962,,
1197-01-9,1004641,14529,10.0,dipropylene glycol
1197-06-4,1551481,330573,100.0,
1197-07-5,1053791,443178,100.0,
1197-15-5,1551491,526762,100.0,
1197-33-7,1376331,5382677,,
1197-40-6,1586991,70972,,
120-11-6,1001731,61046,100.0,
120-14-9,1030991,8419,10.0,dipropylene glycol
120-24-1Z,1029201,20835508,100.0,
120-25-2,1043431,67116,100.0,
120-45-6S,1031011,6951696,100.0,
120-47-8,1244681,8434,100.0,
120-50-3,1013271,61048,100.0,
120-51-4,1001671,2345,100.0,
120-57-0,1005891,8438,100.0,
120-58-1,1045621,8439,10.0,dipropylene glycol
120-72-9,1006511,798,1.0,dipropylene glycol
120-74-1,1063801,78949,100.0,
120-92-3,1017921,8452,1.0,dipropylene glycol
1200-67-5,1020911,62387,100.0,
120021-96-7,1552471,6431207,,
120486-24-0,1655561,11845292,100.0,
1205-17-0,1007731,64805,100.0,
120811-92-9,1417141,22336876,100.0,
1209-61-6,1059411,102579,10.0,dipropylene glycol
1209-71-8,1104361,6432005,100.0,
121-32-4,1002651,8467,10.0,dipropylene glycol
121-33-5,1011711,1183,10.0,dipropylene glycol
121-34-6,1051611,8468,100.0,
121-44-8,1108621,8471,0.01,propylene glycol
121-79-9,1034121,4947,100.0,
121-97-1,1194091,67144,1.0,dipropylene glycol
121-98-2,1032091,8499,100.0,
1211-29-6,1000141,5281929,100.0,
121199-28-8,1586921,71587448,100.0,
12124-99-1,1410331,25515,100.0,
12125-02-9,1097711,25517,,
121251-68-1,1096571,44154128,100.0,
12135-76-1,1010461,25519,20.0,water
121734-22-3,1122171,1712058,100.0,
1217341-48-4,1130391,53374958,100.0,
122-00-9,1008191,8500,10.0,dipropylene glycol
122-03-2,1004031,326,10.0,dipropylene glycol
122-19-0,1303791,31204,100.0,
122-27-0,1051101,67146,,
122-39-4,1021201,11487,,
122-40-7,1001011,31209,100.0,
122-43-0,1021511,31210,100.0,
122-44-1,1058551,67148,100.0,
122-45-2,1033391,61050,100.0,
122-46-3,1098551,67406,10.0,dipropylene glycol
122-48-5,1006231,31211,100.0,
122-57-6,1019511,15909,1.0,dipropylene glycol
122-59-8,1033781,19188,1.0,propylene glycol
122-63-4,1001771,31219,100.0,
122-67-8E,1016351,778574,100.0,
122-70-3,1012691,31225,100.0,
122-72-5,1015191,31226,100.0,
122-73-6,1009671,31227,100.0,
122-74-7,1017701,61052,100.0,
122-78-1,1009931,998,2.0,dipropylene glycol
122-79-2,1099401,31229,10.0,dipropylene glycol
122-84-9,1005711,31231,10.0,dipropylene glycol
122-91-8,1020891,61054,100.0,
122-97-4,1010171,31234,100.0,
122-99-6,1012571,31236,100.0,
1222-05-5,1007751,91497,100.0,
122397-96-0,1407601,87458770,100.0,
122440-59-9,1555171,7567850,10.0,dipropylene glycol
1225070-56-3,1590691,12991964,1.0,dipropylene glycol
12262-03-2,1005921,6437805,100.0,
1227-51-6,1597391,518573,100.0,
122760-84-3,1548271,180122,100.0,
122760-85-4,1548281,19830424,100.0,
122795-41-9,1096691,19792960,100.0,
122861-78-3,1576901,22952976,0.1,dipropylene glycol
123-03-5,1069351,31239,100.0,
123-07-9,1035341,31242,1.0,dipropylene glycol
123-08-0,1040191,126,1.0,
123-11-5,1001271,31244,100.0,
123-15-9,1036101,31245,10.0,dipropylene glycol
123-19-3,1025681,31246,10.0,dipropylene glycol
123-25-1,1018871,31249,100.0,
123-28-4,1236571,31250,100.0,
123-29-5,1004911,31251,100.0,
123-32-0,1008141,31252,0.1,dipropylene glycol
123-35-3,1016531,31253,5.0,dipropylene glycol
123-38-6,1019491,527,0.1,propylene glycol
123-51-3,1014671,31260,10.0,dipropylene glycol
123-62-6,1049601,31263,,
123-63-7,1048621,31264,0.1,propylene glycol
123-66-0,1004811,31265,1.0,dipropylene glycol
123-68-2,1000731,31266,10.0,dipropylene glycol
123-69-3,1399741,5365703,100.0,
123-72-8,1007681,261,1.0,dipropylene glycol
123-75-1,1009391,31268,0.1,propylene glycol
123-76-2,1016791,11579,100.0,
123-77-3,1040011,5462814,,
123-86-4,1019351,31272,10.0,dipropylene glycol
123-92-2,1006711,31276,10.0,dipropylene glycol
123-94-4,1026741,24699,100.0,
123-95-5,1013821,31278,100.0,
123-96-6,1024631,20083,10.0,dipropylene glycol
123123-38-6,1552481,6428428,,
123878-29-5,1554871,7021340,,
124-04-9,1001801,196,100.0,
124-06-1,1004891,31283,100.0,
124-07-2,1009091,379,100.0,
124-10-7,1032781,31284,100.0,
124-12-9,1048131,31286,10.0,dipropylene glycol
124-13-0,1000251,454,1.0,dipropylene glycol
124-19-6,1000291,31289,1.0,dipropylene glycol
124-25-4,1000161,31291,100.0,
124-38-9,1227321,280,100.0,
124-68-5,1169731,11807,100.0,
124-76-5,1002091,61060,10.0,dipropylene glycol
124071-42-7,1123891,6450538,1.0,dipropylene glycol
