TGSC ID,TGSC OPL ID,Name,CAS Number,Other CAS Number,Deleted CAS Number,Concentration %,Concentration Min %,Concentration Max %,CID,Formula,Beilstein Number,CoE Number,Nikkaji Web,MDL,EC Number,ECHA Substance,FDA UNII,FDA Internal Number,FEMA Number,Molecular Weight,XlogP3-AA
1008451,98-02-2,furan-2-ylmethanethiol,98-02-2,,,,,,,C5 H6 O S,0383594,2202.0,J21.666F,MFCD00003254,202-628-2,100.002.390,29W096TCPG,,,114.16702,1.3
1008461,56-81-5,"propane-1,2,3-triol",56-81-5,,,,,,753,C3 H8 O3,0635685,11894.0,J1.916J,MFCD00004722,200-289-5,100.000.263,PDC6A3C0OX,,,92.09436,-1.8
1008471,119-36-8,methyl 2-hydroxybenzoate,119-36-8,,648434-07-5,,,,4133,C8 H8 O3,0971516,433.0,J2.915G,MFCD00002214,204-317-7,100.003.925,LAV5U5022Y,,,152.14936,2.3
1008472,119-36-8,methyl 2-hydroxybenzoate,119-36-8,648434-07-5,,,,,4133,C8 H8 O3,0971516,433.0,J2.915G,MFCD00002214,204-317-7,,LAV5U5022Y,,,152.14936,2.3
1008481,56-40-6,2-aminoacetic acid,56-40-6,,1119449-36-3,,,,750,C2 H5 N O2,0635782,11771.0,J1.163K,MFCD00008131,200-272-2,100.000.248,TE7660XO1C,,,75.06725,-3.2
1008501,111-14-8,heptanoic acid,111-14-8,,,,,,8094,C7 H14 O2,1744723,28.0,J1.985B,MFCD00004426,203-838-7,100.003.490,THE3YNP39D,,,130.18698,2.5
1008511,1119-44-4,hept-3-en-2-one,1119-44-4,,,,,,,C7 H12 O,,11094.0,J110.419E,MFCD00015564,214-278-8,100.012.981,,,,112.17184,1.7
1008521,2349-13-5,heptyl 2-methylpropanoate,2349-13-5,,,,,,,C11 H22 O2,,295.0,J99.513D,MFCD00129704,219-076-3,100.017.343,FE997Z53QF,,,186.29474,4.0
1008541,142-62-1,hexanoic acid,142-62-1,,53896-26-7,,,,8892,C6 H12 O2,0773837,9.0,J2.546A,MFCD00004421,205-550-7,100.005.046,1F8SN134MX,,,116.16004,1.9
1008561,65620-50-0,"2,6,6,10-tetramethyl-1-oxaspiro[4.5]decan-6-ol",65620-50-0,,,,,,,C13 H24 O2,,11917.0,J1.539.233I,MFCD00238525,,,,,,212.33268,2.5
1008581,2349-07-7,hexyl 2-methylpropanoate,2349-07-7,,,,,,,C10 H20 O2,2075011,646.0,J68.766I,MFCD00027297,219-075-8,100.017.342,5FC79GHU69,,,172.2678,3.5
1008591,,,68909-04-6,,,,,,,,,,,,272-689-8,,,,,,
1008601,2445-76-3,hexyl propanoate,2445-76-3,,,,,,,C9 H18 O2,1752269,420.0,J587H,MFCD00085197,219-495-1,100.017.723,8R2W3UA8JV,,,158.24086,2.9
1008611,80-54-6,3-(4-tert-butylphenyl)butanal,80-54-6,39390-70-0,,,,,6652,C14 H20 O,0880140,,J560.043J,MFCD00047655,201-289-8,,T7540GJV69,,,204.3126,3.6
1008612,80-54-6,3-(4-tert-butylphenyl)butanal,80-54-6,,39390-70-0,,,,6652,C14 H20 O,0880140,,J560.043J,MFCD00047655,201-289-8,100.001.173,T7540GJV69,,,204.3126,3.6
1008621,698-10-2,5-ethyl-3-hydroxy-4-methyl-5H-furan-2-one,698-10-2,,144810-13-9,,,,,C7 H10 O3,,2300.0,J191.716A,MFCD00036673,211-811-6,100.010.739,J007136N0N,,,142.1543,0.9
1008631,3371-27-5,"(2S,3R)-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",3371-27-5,,,,,,9882981,C15 H14 O7,,,J277.680D,MFCD01632616,,,,,,306.27098,
1008641,71159-90-5,2-(4-methyl-1-cyclohex-3-enyl)propane-2-thiol,71159-90-5,,,,,,,C10 H18 S,,,J308.725E,,275-223-1,100.068.364,7AT54D0N8R,,,170.31846,2.8
1008651,68912-13-0,"3a,4,5,6,7,7a-hexahydro-1H-4,7-methanoinden-1-yl propanoate",68912-13-0,,183601-27-6,,,,,C13 H18 O2,,,J310.533D,,272-805-7,100.066.167,7MGZ636C87,,,206.28486,3.0
1008661,93905-03-4,2-methoxy-3-propan-2-ylpyrazine;2-methoxy-5-propan-2-ylpyrazine;2-methoxy-6-propan-2-ylpyrazine,93905-03-4,,,,,,,C24 H36 N6 O3,,11344.0,,MFCD00053106,299-837-4,100.090.719,C90S36R5GY,,,456.59052,2.0
1008671,83-66-9,"1-tert-butyl-2-methoxy-4-methyl-3,5-dinitrobenzene",83-66-9,,,,,,6753,C12 H16 N2 O5,1889437,495.0,J11.610F,MFCD00024268,201-493-7,100.001.358,55V150W8R6,,,268.26952,3.6
1008681,24168-70-5,2-butan-2-yl-3-methoxypyrazine,24168-70-5,,123625-20-7,,,,520098,C9 H14 N2 O,,11300.0,J126.473G,MFCD00006136,246-050-9,100.041.850,62UR370ONE,,,166.22378,1.6
1008691,81-14-1,"1-(4-tert-butyl-2,6-dimethyl-3,5-dinitrophenyl)ethanone",81-14-1,,,,,,6669,C14 H18 N2 O5,2062638,,J3.856C,MFCD00024271,201-328-9,100.001.209,483V3E1L6J,,,294.30746,3.7
1008701,68378-13-2,2-(methoxymethyl)pyrazine,68378-13-2,,,,,,,C6 H8 N2 O,,2266.0,,,269-881-9,100.063.509,,,,124.14296,-0.5
1008711,3149-28-8,2-methoxypyrazine,3149-28-8,,,,,,,C5 H6 N2 O,,11347.0,J110.394F,MFCD00006126,221-579-8,100.019.618,RYD35T7F4T,,,110.11602,0.7
1008721,623-42-7,methyl butanoate,623-42-7,,,,,,,C5 H10 O2,1740743,263.0,J45.010C,MFCD00009391,210-792-1,100.009.812,CGX598508O,,,102.1331,1.3
1008731,57500-00-2,2-(methyldisulfanylmethyl)furan,57500-00-2,,60681-93-8,,,,,C6 H8 O S2,,11513.0,J267.370C,MFCD00012326,260-773-7,100.055.230,1V1X0TA603,,,160.25896,1.5
1008741,106-70-7,methyl hexanoate,106-70-7,,,,,,7824,C7 H14 O2,1744683,319.0,J43.566J,MFCD00009510,203-425-1,100.003.115,246364VPJS,,,130.18698,2.5
1008751,81-15-2,"1-tert-butyl-3,5-dimethyl-2,4,6-trinitrobenzene",81-15-2,,,,,,62329,C12 H15 N3 O6,2015910,,J11.689K,MFCD00024270,201-329-4,100.001.210,1ZAO16GU5K,,,297.26775,3.8
1008761,547-63-7,methyl 2-methylpropanoate,547-63-7,,,,,,,C5 H10 O2,1740720,287.0,J24.699I,MFCD00008914,208-929-5,100.008.118,EM286QL922,,,102.1331,1.2
1008781,74-93-1,methanethiol,74-93-1,,,,,,,C H4 S,1696840,475.0,J1.432J,MFCD00004866,200-822-1,100.000.748,2X8406WW9I,,,48.10788,0.5
1008791,111-11-5,methyl octanoate,111-11-5,,,,,,8091,C9 H18 O2,1752270,398.0,J1.983F,MFCD00009551,203-835-0,100.003.487,7MO740X6QL,,,158.24086,3.6
1008821,1390-65-4,"3,5,6,8-tetrahydroxy-1-methyl-9,10-dioxo-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]anthracene-2-carboxylic acid",1390-65-4,,8022-93-3,,,,14950,C22 H20 O13,,,,,215-724-4,100.014.295,,,,492.391,0.5
1008821,,,1328-60-5,,,,,,,unspecified,,,,,215-527-3,100.014.117,,,,,
1008831,13623-11-5,"2,4,5-trimethyl-1,3-thiazole",13623-11-5,,,,,,61653,C6 H9 N S,,11650.0,J40.173K,MFCD00005332,237-107-9,100.033.720,6393273PE0,,,127.20973,2.2
1008861,564-94-3,"7,7-dimethylbicyclo[3.1.1]hept-3-ene-4-carbaldehyde",564-94-3,,57526-63-3,,,,,C10 H14 O,2961587,10379.0,J121.133A,MFCD00074768,209-274-8,100.008.432,8J97443QRZ,,,150.22078,2.1
1008871,64506-49-6,2-[5-(3-methylbut-2-enoxy)-2-[(E)-3-[4-(3-methylbut-2-enoxy)phenyl]prop-2-enoyl]phenoxy]acetic acid,64506-49-6,,,,,,,C27 H30 O6,,,J23.624A,,,,2B668TJX8E,,,450.5313,6.2
1008881,515-00-4,"(6,6-dimethyl-4-bicyclo[3.1.1]hept-3-enyl)methanol",515-00-4,,111957-74-5,,,,,C10 H16 O,,10285.0,J2.625E,MFCD00001341,208-193-5,100.007.449,,,,152.23672,1.6
1008891,5905-47-5,1-(methyldisulfanyl)prop-1-ene,5905-47-5,,,,,,,C4 H8 S2,,11712.0,,,227-605-4,100.025.096,,,,120.23776,1.6
1008901,624-24-8,,624-24-8,,,,,,,C6 H12 O2,1741905,588.0,J43.509K,MFCD00009478,210-838-0,100.009.853,ZW21JJJ9VN,,,116.16004,2.0
1008911,101-81-5,phenylmethylbenzene,101-81-5,,,,,,7580,C13 H12,1904982,11847.0,J3.597A,MFCD00004781,202-978-6,100.002.708,K3E387I0BC,,,168.23864,4.1
1008921,96-17-3,2-methylbutanal,96-17-3,,57456-98-1,,,,7284,C5 H10 O,1633540,575.0,J35.111C,MFCD00006984,202-485-6,100.002.260,47H597M1YY,,,86.1339,1.1
1008931,51566-62-2,"3,7-dimethyloct-6-enenitrile",51566-62-2,,,,,,,C10 H17 N,,,J65.659C,MFCD00072204,257-288-8,,,,,151.25249,3.2
1008932,51566-62-2,"3,7-dimethyloct-6-enenitrile",51566-62-2,,,,,,,C10 H17 N,,,J65.659C,MFCD00072204,257-288-8,100.052.063,GP9AT16H16,,,151.25249,3.2
1008951,106-25-2,"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",106-25-2,,,,,,643820,C10 H18 O,1722455,2018.0,J3.241G,MFCD00063204,203-378-7,,38G5P53250,,2770,154.25266,2.9
1008952,106-25-2,"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",106-25-2,,,,,,643820,C10 H18 O,1722455,2018.0,J3.241G,MFCD00063204,203-378-7,100.003.072,38G5P53250,,,154.25266,2.9
