Stimulus,Descriptors
107-03-9,sweet;alliaceous;cabbage;onion;gassy
107-10-8,ammoniacal
107-18-6,mustard;pungent;alliaceous
107-19-7,floral;geranium
107-22-2,mild;sour
107-31-3,fruity;estery;plum
107-35-7,bland
107-41-5,odorless
107-74-4,clean;floral;rose;green;peony;lily
107-75-5,sweet;floral;melon;green;lily;tropical;waxy
107-85-7,ammoniacal
107-86-8,sweet;cherry;nutty;fruity;brown;almond;pungent
107-87-9,sweet;fermented;banana;fruity;winey;ethereal;woody
107-88-0,odorless
107-92-6,acetic;fruity;dairy;cheesy;buttery;sharp
107-93-7,milky
107-95-9,odorless
1070-35-5,banana;banana peel;fruity;green
1072-83-9,musty;cherry maraschino cherry;nutty;walnut;bready;coumarinic;licorice;nut skin
1073-11-6,minty;fruity
1073-26-3,roasted;popcorn
1073-29-6,meaty;sulfurous;eggy;garlic;onion
1073606-36-6,bland
1076-56-8,burnt;herbal;smoky;woody
107697-91-6,fungal;mushroom
107715-18-4,herbal;sage clary sage;woody;vetiver
107797-24-0,spicy;fatty;coconut;green;almond
107797-25-1,coconut;fatty
107797-26-2,sweet;fatty;caramellic;fruity;coconut
107797-27-3,sweet;fatty;soft;fruity;coconut
107898-54-4,herbal;woody;tropical;sandalwood
1079-01-2,sweet;cedar;floral;herbal;fruity;cooling;fresh;green;woody;citrus
108-10-1,solvent;spicy;herbal;fruity;green;dairy;sharp
108-11-2,alcoholic;pungent
108-21-4,sweet;banana;fruity;ethereal;chemical
108-22-5,sweet;grape skin;berry;acetic;fruity;ethereal
108-24-7,vinegar;sharp
108-29-2,sweet;warm;cocoa;herbal;tobacco;woody
108-32-7,minty;spicy;medical
108-38-3,plastic
108-39-4,woody;phenolic;medicinal;leathery
108-46-3,musty;vanilla;nutty;phenolic;creamy;hawthorn
108-47-4,smoky;phenolic
108-48-5,vegetable;cocoa;nutty;oily;bready;fishy;woody;ammoniacal
108-50-9,cocoa;buttermilk;nutty;coffee;beefy;brown;ethereal;roasted;chocolate;meaty roasted meaty
108-59-8,fruity
108-64-5,sweet;estery;fruity;pineapple;apple;orange;green;tutti frutti;sharp
108-82-7,fermented;yeasty;fresh;ethereal
108-83-8,metallic;fermented;banana;fruity;pineapple;green;ethereal;ketonic
108-84-9,sweet;fruity;banana
108-88-3,sweet
108-93-0,camphoreous;phenolic;mentholic
108-94-1,acetone;minty
108-95-2,plastic;phenolic;rubbery
