CID,UID,SessionNumber,Pleasantness,Volatile,Intensity,Bitterness,Chemical,Spicy,Sweet,Fresh,Dirty,Burnt,Fruity,Developmentovertime,Garlic
31289,20,2,19,15,15,15,17,22,10,15,17,96,11,18,78
31289,21,1,50,50,50,50,37,1,1,32,50,18,1,64,1
31289,21,2,45,45,40,72,29,7,3,3,37,17,2,57,3
31289,22,1,1,96,94,98,98,4,1,8,2,69,1,70,1
31289,22,2,31,90,88,76,82,56,1,64,54,1,69,100,1
31289,23,1,19,60,59,58,92,7,34,58,76,9,34,45,8
31289,23,2,25,90,10,67,100,1,8,50,50,1,24,85,1
31289,24,1,11,28,25,71,73,5,61,11,10,8,72,30,2
31289,24,2,37,27,42,42,56,3,63,38,11,2,61,35,2
31289,25,1,13,64,54,6,38,62,32,20,10,2,2,9,9
