Experiment,ROI#,Xpos,Ypos
112L,35,-1162.67,448.11
112L,36,-694.875384615385,582.06
112L,37,-885.84,510.62
112L,38,-1019.79,483.83
112L,39,-647.706666666667,838.053333333333
112L,40,-784.633333333333,844.006666666667
112L,41,-790.586666666667,736.846666666667
112L,42,-841.19,626.71
112L,43,-1087.40285714286,679.014285714286
112L,44,-1046.58,769.59
112L,45,-1260.9,666.895
112L,46,-1364.488,589.204
112L,47,-1383.6875,686.9875
112L,48,-1508.38857142857,666.257142857143
112L,49,-1059.975,1070.9775
112L,50,-1112.06666666667,879.726666666667
112L,51,-1417.175,791.915
112L,52,-1582.38,867.82
112L,53,-1314.48,930.33
112L,54,-1445.45333333333,1076.18666666667
112L,55,-1248.62125,1246.22875
112L,56,-984.07,1153.58
112L,57,-892.984,1257.168
112L,58,-808.446666666667,1341.11
112L,59,-1327.875,1260.74
112L,60,-1251.97,1421.48
112L,61,-1176.065,1568.825
112L,62,-1601.47172413793,520.473793103448
112L,63,-801.005,1434.875
112L,64,-930.49,1501.85
112L,65,-617.94,1756.355
112L,66,-1467.56571428571,1482.71428571429
112L,67,-1339.99428571429,755.557142857143
112L,68,-1001.93,1028.56
112L,69,-1425.60888888889,889.648888888889
112L,70,-1498.18285714286,1140.82285714286
112L,71,-1044.3475,1684.915
112L,72,-1653.82,1109.92222222222
112L,73,-1305.55,1144.65
112L,74,-1362.10666666667,1341.11
112L,75,-1793.72333333333,701.126666666667
112L,76,-1409.73333333333,638.616666666667
112L,77,-1571.2175,1175.905
112L,78,-1264.472,1046.42
112L,79,-1184.995,374.4375
112L,80,-1491.09555555556,891.633333333333
112L,81,-1707.4,576.702
112L,82,-1088.9975,327.555
112L,83,-1604.705,1044.93166666667
112L,84,-1122.485,644.57
112L,85,-710.812,482.044
112L,86,-1669.12857142857,638.191428571429
112L,87,-1550.232,1308.962
112L,88,-1306.82571428571,625.434285714286
112L,89,-855.222857142857,1383.20857142857
112L,90,-1604.705,733.87
112L,91,-954.303333333333,1055.35
112L,92,-1161.85818181818,685.972727272727
112L,93,-1711.16,654.44
112L,94,-962.532941176471,1929.96470588235
112L,95,-591.15,912.47
112L,96,-1535.29454545455,1062.65636363636
112L,97,-1534.75333333333,605.873333333333
112L,98,-873.933333333333,1560.39111111111
112L,99,-1018.79777777778,923.384444444445
112L,100,-1064.44,1382.188
112R,1,1471.68,1341.11
112R,2,1294.56833333333,833.588333333333
112R,3,1560.98,1219.91714285714
112R,4,1193.57428571429,444.282857142857
112R,5,1302.3672,1785.824
112R,6,1162.702,710.652
112R,7,1398.75166666667,1238.415
112R,8,1340.70666666667,861.866666666667
112R,9,912.662,1828.688
112R,10,1203.78,566.581333333333
112R,11,1089.476,864.248
112R,12,784.07,2064.44
112R,13,1016.25,1546.5
112R,14,683.288571428571,1069.38285714286
112R,15,989.46,2141.238
112R,16,1758.71571428571,1112.75714285714
112R,17,961.394285714285,1469.95714285714
112R,18,1080.38363636364,1963.77454545455
112R,19,578.68,2332.34
112R,20,1721.72,787.45
112R,21,900.16,2225.18
112R,22,1715.76666666667,915.446666666667
112R,23,1693.65428571429,862.717142857143
112R,24,1291.70615384615,1105.49538461538
112R,25,595.349333333333,576.106666666667
112R,26,1063.64769230769,2053.44923076923
112R,27,1486.98857142857,973.704285714286
