CID,Experiment,ROI#,DeltaF
-1,114L,52,0.0
-1,114L,53,0.0
-1,114L,54,0.0
-1,114L,55,0.0
-1,114L,56,0.0
-1,114L,57,0.0
-1,114L,58,0.0
-1,114L,59,0.0
-1,114L,60,0.0
-1,114L,61,0.0
-1,114L,62,0.0
-1,114L,63,0.0
-1,114L,64,0.0
-1,114L,65,0.0
-1,114L,66,0.0
-1,114L,67,0.0
-1,114L,68,0.0
-1,114L,69,0.0
-1,114L,70,0.0
-1,114L,71,0.0
-1,114L,72,0.0
-1,114L,73,0.0
-1,114L,74,0.0
-1,114L,75,0.0
-1,114L,76,0.0
-1,114L,77,0.0
-1,114L,78,0.0
-1,114L,79,0.0
-1,114L,80,0.0
-1,114L,81,0.0
-1,114L,82,0.0
-1,114L,83,0.0
-1,114L,84,0.0
-1,114L,85,0.0
-1,114L,86,0.0
-1,114L,87,0.0
-1,114L,88,0.0
-1,114L,89,0.0
-1,114L,90,0.0
-1,114L,91,0.0
-1,114L,92,0.0
-1,114L,93,0.0
-1,114L,94,0.0
-1,114L,95,0.0
-1,114L,96,0.0
-1,114L,97,0.0
-1,114L,98,0.0
-1,114L,99,0.0
-1,114L,100,0.0
-1,114L,101,0.0
-1,114L,102,0.0
-1,114L,103,0.0
-1,114L,104,0.0
-1,114L,105,0.0
-1,114L,106,0.0
-1,114L,107,0.0
-1,114L,108,0.0
-1,114L,109,0.0
-1,114L,110,0.0
-1,114L,111,0.0
-1,114L,112,0.0
-1,114L,113,0.0
-1,114L,114,0.0
-1,114L,115,0.0
-1,114L,116,0.0
-1,114L,117,0.0
-1,114L,118,0.0
-1,114L,119,0.0
-1,114L,120,0.0
-1,114L,121,0.0
-1,114L,122,0.0
-1,114L,123,0.0
-1,114L,124,0.0
-1,114L,125,0.0
-1,114L,126,0.0
-1,114L,127,0.0
-1,114L,128,0.0
-1,114L,129,0.0
-1,114L,130,0.0
-1,114L,131,0.0
-1,114L,132,0.0
-1,114L,133,0.0
-1,114L,134,0.0
-1,114L,135,0.0
-1,114L,136,0.0
-1,114L,137,0.0
-1,114L,138,0.0
-1,114L,139,0.0
-1,114L,140,0.0
-1,114R,1,0.0
-1,114R,2,0.0
-1,114R,3,0.0
-1,114R,4,0.0
-1,114R,5,0.0
-1,114R,6,0.0
-1,114R,7,0.0
-1,114R,8,0.0
-1,114R,9,0.0
-1,114R,10,0.0
-1,114R,11,0.0
-1,114R,12,0.0
-1,114R,13,0.0
-1,114R,14,0.0
-1,114R,15,0.0
-1,114R,16,0.0
-1,114R,17,0.0
-1,114R,18,0.0
-1,114R,19,0.0
-1,114R,20,0.0
-1,114R,21,0.0
-1,114R,22,0.0
-1,114R,23,0.0
-1,114R,24,0.0
-1,114R,25,0.0
-1,114R,26,0.0
-1,114R,27,0.0
-1,114R,28,0.0
-1,114R,29,0.0
-1,114R,30,0.0
-1,114R,31,0.0
-1,114R,32,0.0
-1,114R,33,0.0
-1,114R,34,0.0
-1,114R,35,0.0
-1,114R,36,0.0
-1,114R,37,0.0
-1,114R,38,0.0
-1,114R,39,0.0
-1,114R,40,0.0
-1,114R,41,0.0
-1,114R,42,0.0
-1,114R,43,0.0
-1,114R,44,0.0
-1,114R,45,0.0
-1,114R,46,0.0
-1,114R,47,0.0
-1,114R,48,0.0
-1,114R,49,0.0
-1,114R,50,0.0
-1,114R,51,0.0
-1,114R,52,0.0
-1,114R,53,0.0
-1,114R,54,0.0
-1,114R,55,0.0
-1,114R,56,0.0
-1,114R,57,0.0
-1,114R,58,0.0
-1,114R,59,0.0
-1,114R,60,0.0
-1,114R,61,0.0
-1,114R,62,0.0
-1,114R,63,0.0
-1,114R,64,0.0
-1,114R,65,0.0
-1,114R,66,0.0
-1,114R,67,0.0
-1,114R,68,0.0
-1,114R,69,0.0
-1,114R,70,0.0
-1,114R,71,0.0
-1,114R,72,0.0
-1,114R,73,0.0
-1,114R,74,0.0
-1,114R,75,0.0
-1,114R,76,0.0
-1,114R,77,0.0
-1,114R,78,0.0
-1,114R,79,0.0
-1,114R,80,0.0
-1,114R,81,0.0
-1,114R,82,0.0
-1,114R,83,0.0
-1,114R,84,0.0
-1,114R,85,0.0
-1,114R,86,0.0
-1,114R,87,0.0
-1,114R,88,0.0
-1,114R,89,0.0
-1,114R,90,0.0
-1,114R,91,0.0
-1,114R,92,0.0
-1,114R,93,0.0
-1,114R,94,0.0
-1,114R,95,0.0
-1,114R,96,0.0
-1,114R,97,0.0
-1,114R,98,0.0
-1,114R,99,0.0
-1,114R,100,0.0
-1,114R,101,0.0
-1,114R,102,0.0
-1,114R,103,0.0
-1,114R,104,0.0
-1,114R,105,0.0
-1,114R,106,0.0
-1,114R,107,0.0
-1,114R,108,0.0
-1,114R,109,0.0
-1,114R,110,0.0
-1,114R,111,0.0
-1,114R,112,0.0
-1,114R,113,0.0
-1,114R,114,0.0
-1,114R,115,0.0
-1,114R,116,0.0
-1,114R,117,0.0
-1,114R,118,0.0
-1,114R,119,0.0
-1,114R,120,0.0
-1,114R,121,0.0
