Stimulus,Experiment,ImagePath
18467_3.21e-11,114L,images/114_2-methoxypyrazine.csv
18467_3.21e-11,114R,images/114_2-methoxypyrazine.csv
18635_1.25e-11,111L,images/111_methional.csv
18635_1.25e-11,111R,images/111_methional.csv
18635_1.25e-11,112L,images/112_methional.csv
18635_1.25e-11,112R,images/112_methional.csv
18635_1.25e-11,113L,images/113_methional.csv
18635_1.25e-11,113R,images/113_methional.csv
18635_1.25e-11,114L,images/114_methional.csv
18635_1.25e-11,114R,images/114_methional.csv
19310_8.14e-10,111L,images/111_dimethyl_trisulfide.csv
19310_8.14e-10,111R,images/111_dimethyl_trisulfide.csv
19310_8.14e-10,112L,images/112_dimethyl_trisulfide.csv
19310_8.14e-10,112R,images/112_dimethyl_trisulfide.csv
19310_8.14e-10,113L,images/113_dimethyl_trisulfide.csv
19310_8.14e-10,113R,images/113_dimethyl_trisulfide.csv
19310_8.14e-10,114L,images/114_dimethyl_trisulfide.csv
19310_8.14e-10,114R,images/114_dimethyl_trisulfide.csv
19602_1.54e-09,111L,images/111_2-pentylfuran.csv
19602_1.54e-09,111R,images/111_2-pentylfuran.csv
19602_1.54e-09,112L,images/112_2-pentylfuran.csv
19602_1.54e-09,112R,images/112_2-pentylfuran.csv
19602_1.54e-09,113L,images/113_2-pentylfuran.csv
19602_1.54e-09,113R,images/113_2-pentylfuran.csv
19602_1.54e-09,114L,images/114_2-pentylfuran.csv
19602_1.54e-09,114R,images/114_2-pentylfuran.csv
19878_3.81e-12,111L,images/111_4-tert-butylpyridine.csv
19878_3.81e-12,111R,images/111_4-tert-butylpyridine.csv
19878_3.81e-12,112L,images/112_4-tert-butylpyridine.csv
19878_3.81e-12,112R,images/112_4-tert-butylpyridine.csv
19878_3.81e-12,113L,images/113_4-tert-butylpyridine.csv
19878_3.81e-12,113R,images/113_4-tert-butylpyridine.csv
19878_3.81e-12,114L,images/114_4-tert-butylpyridine.csv
19878_3.81e-12,114R,images/114_4-tert-butylpyridine.csv
20499_3.51e-13,111L,images/111_difurfuryl_disulfide.csv
20499_3.51e-13,111R,images/111_difurfuryl_disulfide.csv
20499_3.51e-13,112L,images/112_difurfuryl_disulfide.csv
20499_3.51e-13,112R,images/112_difurfuryl_disulfide.csv
20499_3.51e-13,113L,images/113_difurfuryl_disulfide.csv
