Subject,Experiment,Mouse ID,Hemisphere,ROI#,Xpos,Ypos
112L_010,112L,112,L,10,-668.272727272727,1830.63636363636
112L_011,112L,112,L,11,-977.819,1634.907
112L_012,112L,112,L,12,-744.583636363636,1129.22545454545
112L_013,112L,112,L,13,-977.3725,2151.5075
112L_014,112L,112,L,14,-1625.75428571429,1265.84285714286
112L_015,112L,112,L,15,-957.28,1415.98461538462
112L_016,112L,112,L,16,-999.6975,1933.83875
112L_017,112L,112,L,17,-475.06,1885.84
112L_018,112L,112,L,18,-1753.836,889.252
112L_019,112L,112,L,19,-825.45619047619,2075.49619047619
112L_020,112L,112,L,20,-1707.4,837.458
112L_021,112L,112,L,21,-1671.68,921.4
112L_022,112L,112,L,22,-1190.73571428571,966.05
112L_023,112L,112,L,23,-705.616363636364,713.574545454545
112L_024,112L,112,L,24,-1057.7425,1988.535
112L_025,112L,112,L,25,-1516.298,1016.058
112L_026,112L,112,L,26,-1562.53555555556,1250.81777777778
112L_027,112L,112,L,27,-1631.495,376.67
112L_028,112L,112,L,28,-1058.48666666667,522.526666666667
112L_029,112L,112,L,29,-1248.14285714286,528.48
112L_030,112L,112,L,30,-1277.27166666667,1728.07666666667
112L_031,112L,112,L,31,-1481.17333333333,402.269333333333
112L_032,112L,112,L,32,-1614.528,796.38
112L_033,112L,112,L,33,-1620.65142857143,982.634285714286
112L_034,112L,112,L,34,-621.019310344828,1576.67724137931
112L_035,112L,112,L,35,-1162.67,448.11
112L_036,112L,112,L,36,-694.875384615385,582.06
112L_037,112L,112,L,37,-885.84,510.62
112L_038,112L,112,L,38,-1019.79,483.83
112L_039,112L,112,L,39,-647.706666666667,838.053333333333
112L_040,112L,112,L,40,-784.633333333333,844.006666666667
112L_041,112L,112,L,41,-790.586666666667,736.846666666667
112L_042,112L,112,L,42,-841.19,626.71
112L_043,112L,112,L,43,-1087.40285714286,679.014285714286
112L_044,112L,112,L,44,-1046.58,769.59
112L_045,112L,112,L,45,-1260.9,666.895
112L_046,112L,112,L,46,-1364.488,589.204
112L_047,112L,112,L,47,-1383.6875,686.9875
112L_048,112L,112,L,48,-1508.38857142857,666.257142857143
112L_049,112L,112,L,49,-1059.975,1070.9775
112L_050,112L,112,L,50,-1112.06666666667,879.726666666667
112L_051,112L,112,L,51,-1417.175,791.915
112L_052,112L,112,L,52,-1582.38,867.82
112L_053,112L,112,L,53,-1314.48,930.33
112L_054,112L,112,L,54,-1445.45333333333,1076.18666666667
112L_055,112L,112,L,55,-1248.62125,1246.22875
112L_056,112L,112,L,56,-984.07,1153.58
112L_057,112L,112,L,57,-892.984,1257.168
112L_058,112L,112,L,58,-808.446666666667,1341.11
112L_059,112L,112,L,59,-1327.875,1260.74
112L_060,112L,112,L,60,-1251.97,1421.48
112L_061,112L,112,L,61,-1176.065,1568.825
112L_062,112L,112,L,62,-1601.47172413793,520.473793103448
112L_063,112L,112,L,63,-801.005,1434.875
112L_064,112L,112,L,64,-930.49,1501.85
112L_065,112L,112,L,65,-617.94,1756.355
112L_066,112L,112,L,66,-1467.56571428571,1482.71428571429
112L_067,112L,112,L,67,-1339.99428571429,755.557142857143
112L_068,112L,112,L,68,-1001.93,1028.56
112L_069,112L,112,L,69,-1425.60888888889,889.648888888889
112L_070,112L,112,L,70,-1498.18285714286,1140.82285714286
112L_071,112L,112,L,71,-1044.3475,1684.915
112L_072,112L,112,L,72,-1653.82,1109.92222222222
112L_073,112L,112,L,73,-1305.55,1144.65
112L_074,112L,112,L,74,-1362.10666666667,1341.11
112L_075,112L,112,L,75,-1793.72333333333,701.126666666667
112L_076,112L,112,L,76,-1409.73333333333,638.616666666667
112L_077,112L,112,L,77,-1571.2175,1175.905
112L_078,112L,112,L,78,-1264.472,1046.42
112L_079,112L,112,L,79,-1184.995,374.4375
112L_080,112L,112,L,80,-1491.09555555556,891.633333333333
112L_081,112L,112,L,81,-1707.4,576.702
