stimulus,subject,rep,intensity
IP1,464,1,5.0
IP1,464,2,6.0
IP1,465,1,5.0
IP1,465,2,6.0
IP1,466,1,6.0
IP1,466,2,4.0
IP1,468,1,6.0
IP1,468,2,6.0
IP1,469,1,4.0
IP1,469,2,5.0
IP1,470,1,5.0
IP1,470,2,4.0
IP1,471,1,4.0
IP1,471,2,5.0
IP1,472,1,5.0
IP1,472,2,5.0
IP1,473,1,5.0
IP1,473,2,5.0
IP1,474,1,7.0
IP1,474,2,5.0
IP1,475,1,6.0
IP1,475,2,5.0
IP1,476,1,7.0
IP1,476,2,7.0
IP1,477,1,6.0
IP1,477,2,6.0
IP1,480,1,6.0
IP1,480,2,5.0
IP1,481,1,5.0
IP1,481,2,6.0
IP1,482,1,6.0
IP1,482,2,6.0
IP1,483,1,2.0
IP1,483,2,5.0
IP1,484,1,5.0
IP1,484,2,5.0
IP1,490,1,7.0
IP1,490,2,6.0
IP1,491,1,7.0
IP1,491,2,7.0
IP1,493,1,6.0
IP1,493,2,6.0
IP1,494,1,6.0
IP1,494,2,5.0
IP1,495,1,7.0
IP1,495,2,6.0
IP1,496,1,5.0
IP1,496,2,5.0
IP1,497,1,7.0
IP1,497,2,6.0
IP1,498,1,5.0
IP1,498,2,6.0
IP1,500,1,5.0
IP1,500,2,5.0
IP1,501,1,6.0
IP1,501,2,6.0
IP1,502,1,6.0
IP1,502,2,5.0
IP1,503,1,6.0
IP1,503,2,6.0
IP1,504,1,7.0
IP1,504,2,7.0
IP1,505,1,6.0
IP1,505,2,6.0
IP1,506,1,5.0
IP1,506,2,7.0
IP1,507,1,7.0
IP1,507,2,5.0
IP1,508,1,5.0
IP1,508,2,3.0
IP1,509,1,6.0
IP1,509,2,6.0
IP1,510,1,6.0
IP1,510,2,7.0
IP1,511,1,5.0
IP1,511,2,5.0
IP1,516,1,5.0
IP1,516,2,6.0
IP1,519,1,6.0
IP1,519,2,6.0
IP1,520,1,5.0
IP1,520,2,6.0
IP1,523,1,6.0
IP1,523,2,5.0
IP1,524,1,5.0
IP1,524,2,3.0
IP1,526,1,7.0
IP1,526,2,6.0
IP1,527,1,3.0
IP1,527,2,4.0
IP1,529,1,6.0
IP1,529,2,6.0
IP1,530,1,7.0
IP1,530,2,7.0
IP1,532,1,5.0
IP1,532,2,4.0
IP1,535,1,6.0
IP1,535,2,6.0
IP1,537,1,5.0
IP1,537,2,6.0
IP1,539,1,6.0
IP1,539,2,5.0
IP1,540,1,5.0
IP1,540,2,5.0
IP1,541,1,5.0
IP1,541,2,5.0
IP1,542,1,5.0
IP1,542,2,7.0
IP1,544,1,5.0
IP1,544,2,7.0
IP1,545,1,6.0
IP1,545,2,7.0
IP1,548,1,5.0
IP1,548,2,5.0
IP1,549,1,5.0
IP1,549,2,5.0
IP1,551,1,6.0
IP1,551,2,6.0
IP1,552,1,5.0
IP1,552,2,7.0
IP1,553,1,1.0
IP1,553,2,5.0
IP1,554,1,5.0
IP1,554,2,5.0
IP1,555,1,5.0
IP1,555,2,6.0
IP1,556,1,6.0
IP1,556,2,6.0
IP1,557,1,5.0
IP1,557,2,5.0
IP1,558,1,6.0
IP1,558,2,5.0
IP1,559,1,3.0
IP1,559,2,5.0
IP1,562,1,7.0
IP1,562,2,6.0
IP1,563,1,6.0
IP1,563,2,6.0
IP1,564,1,6.0
IP1,564,2,6.0
IP1,565,1,7.0
IP1,565,2,6.0
IP1,567,1,5.0
IP1,567,2,6.0
IP1,568,1,6.0
IP1,568,2,6.0
IP1,570,1,6.0
IP1,570,2,3.0
IP1,572,1,5.0
IP1,572,2,5.0
IP1,573,1,7.0
IP1,573,2,7.0
IP1,574,1,5.0
IP1,574,2,6.0
