stimulus,subject,rep,descriptor,value
D2,77,1,sweet,1
D2,77,1,fragrant,4
D2,77,1,perfumery,4
D2,77,1,floral,0
D2,77,1,cologne,2
D2,77,1,aromatic,0
D2,77,1,musky,5
D2,77,1,incense,0
D2,77,1,sweaty,0
D2,77,1,light,0
D2,77,1,heavy,5
D2,77,1,cool,0
D2,77,1,warm,0
D2,77,1,fruity other,0
D2,77,1,vanilla,0
D2,77,1,musty moldy,5
D2,77,1,rose,0
D2,77,1,violets,0
D2,77,1,lavender,0
D2,77,2,sweet,0
D2,77,2,fragrant,0
D2,77,2,perfumery,3
D2,77,2,floral,0
D2,77,2,cologne,0
D2,77,2,aromatic,3
D2,77,2,musky,5
D2,77,2,incense,0
D2,77,2,sweaty,0
D2,77,2,light,0
D2,77,2,heavy,5
D2,77,2,cool,0
D2,77,2,warm,0
D2,77,2,fruity other,0
D2,77,2,vanilla,0
D2,77,2,musty moldy,5
D2,77,2,rose,0
D2,77,2,violets,0
D2,77,2,lavender,0
D2,107,1,sweet,0
D2,107,1,fragrant,0
D2,107,1,perfumery,2
D2,107,1,floral,0
D2,107,1,cologne,0
D2,107,1,aromatic,0
D2,107,1,musky,4
D2,107,1,incense,0
D2,107,1,sweaty,0
D2,107,1,light,0
D2,107,1,heavy,3
D2,107,1,cool,0
D2,107,1,warm,4
D2,107,1,fruity other,0
D2,107,1,vanilla,0
D2,107,1,musty moldy,0
D2,107,1,rose,0
D2,107,1,violets,0
D2,107,1,lavender,0
D2,107,2,sweet,1
D2,107,2,fragrant,0
D2,107,2,perfumery,3
D2,107,2,floral,0
D2,107,2,cologne,0
D2,107,2,aromatic,0
D2,107,2,musky,4
D2,107,2,incense,0
D2,107,2,sweaty,0
D2,107,2,light,0
D2,107,2,heavy,1
D2,107,2,cool,0
D2,107,2,warm,3
D2,107,2,fruity other,0
D2,107,2,vanilla,0
D2,107,2,musty moldy,0
D2,107,2,rose,0
D2,107,2,violets,0
D2,107,2,lavender,0
D2,108,1,sweet,3
D2,108,1,fragrant,3
D2,108,1,perfumery,3
D2,108,1,floral,2
D2,108,1,cologne,4
D2,108,1,aromatic,3
D2,108,1,musky,2
D2,108,1,incense,0
D2,108,1,sweaty,0
D2,108,1,light,0
D2,108,1,heavy,3
D2,108,1,cool,0
D2,108,1,warm,2
D2,108,1,fruity other,4
D2,108,1,vanilla,0
D2,108,1,musty moldy,0
D2,108,1,rose,0
D2,108,1,violets,0
D2,108,1,lavender,0
D2,108,2,sweet,0
D2,108,2,fragrant,2
D2,108,2,perfumery,0
D2,108,2,floral,0
D2,108,2,cologne,0
D2,108,2,aromatic,2
D2,108,2,musky,0
D2,108,2,incense,0
D2,108,2,sweaty,0
D2,108,2,light,0
D2,108,2,heavy,0
D2,108,2,cool,2
D2,108,2,warm,0
D2,108,2,fruity other,0
D2,108,2,vanilla,0
D2,108,2,musty moldy,2
D2,108,2,rose,0
D2,108,2,violets,0
D2,108,2,lavender,0
D2,110,1,sweet,0
D2,110,1,fragrant,0
D2,110,1,perfumery,2
D2,110,1,floral,0
D2,110,1,cologne,2
D2,110,1,aromatic,0
D2,110,1,musky,5
D2,110,1,incense,0
D2,110,1,sweaty,2
D2,110,1,light,0
D2,110,1,heavy,0
D2,110,1,cool,2
D2,110,1,warm,0
D2,110,1,fruity other,0
D2,110,1,vanilla,0
D2,110,1,musty moldy,0
D2,110,1,rose,0
D2,110,1,violets,0
D2,110,1,lavender,0
D2,110,2,sweet,0
D2,110,2,fragrant,0
D2,110,2,perfumery,3
D2,110,2,floral,0
D2,110,2,cologne,3
D2,110,2,aromatic,0
D2,110,2,musky,5
D2,110,2,incense,0
D2,110,2,sweaty,0
D2,110,2,light,0
D2,110,2,heavy,0
D2,110,2,cool,0
D2,110,2,warm,0
D2,110,2,fruity other,0
D2,110,2,vanilla,0
D2,110,2,musty moldy,0
D2,110,2,rose,0
D2,110,2,violets,0
D2,110,2,lavender,0
D2,111,1,sweet,5
D2,111,1,fragrant,4
D2,111,1,perfumery,3
D2,111,1,floral,3
D2,111,1,cologne,1
D2,111,1,aromatic,3
D2,111,1,musky,0
D2,111,1,incense,0
D2,111,1,sweaty,0
D2,111,1,light,3
D2,111,1,heavy,0
D2,111,1,cool,2
D2,111,1,warm,0
D2,111,1,fruity other,2
D2,111,1,vanilla,0
D2,111,1,musty moldy,0
D2,111,1,rose,0
D2,111,1,violets,0
D2,111,1,lavender,1
D2,111,2,sweet,5
D2,111,2,fragrant,4
D2,111,2,perfumery,2
D2,111,2,floral,2
D2,111,2,cologne,0
D2,111,2,aromatic,4
D2,111,2,musky,0
D2,111,2,incense,0
D2,111,2,sweaty,0
D2,111,2,light,4
D2,111,2,heavy,0
D2,111,2,cool,4
D2,111,2,warm,0
D2,111,2,fruity other,3
D2,111,2,vanilla,2
D2,111,2,musty moldy,0
D2,111,2,rose,0
D2,111,2,violets,0
D2,111,2,lavender,3
D2,112,1,sweet,0
D2,112,1,fragrant,5
D2,112,1,perfumery,3
D2,112,1,floral,0
D2,112,1,cologne,4
D2,112,1,aromatic,4
D2,112,1,musky,4
D2,112,1,incense,2
D2,112,1,sweaty,2
D2,112,1,light,0
D2,112,1,heavy,3
