CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3
13851-11-1,"1,3,3-Trimethyl-2-norbornanyl acetate",Herbal,Pine,Fresh
1222-05-5,"1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta-gamma-2-benzopyran",Musk like,Floral,Woody
16356-11-9,"1,3,5-Undecatriene",Green,Citrus,Cucumber
40527-42-2,"1,3-Benzodioxole, 5-(diethoxymethyl)-",Floral,Meadow,Spicy
495-76-1,"1,3-Benzodioxole-5-methanol",Balsamic,Powdery,Vanilla
68844-96-2,"1,3-Benzodioxole-5-propanol, alpha-methyl-, 5-acetate",Fruity,Watery,Apple
63270-14-4,"1,3-Diacetoxynonane",Floral,Jasmin,Citrus
80118-10-1,"1,3-Dimethyl-3-butenyl salicylate",Floral,Ylang,Green
68083-58-9,"1,3-Dimethyl-3-phenylbutyl acetate",Woody,Vetiver,Rhubarb
80118-06-5,"1,3-Dimethylbut-3-enyl isobutyrate",Fruity,Floral,Herbal
35206-51-0,"1,3-Dimethylbutyl 2-butenoate",Fruity,Plum,Apple
117933-89-8,"1,3-Dioxane, 2-(2,4-dimethyl-3-cyclohexene-1-yl)-5-methyl-5-(1-methylpropyl)-",Amber,Dry,Woody
166301-22-0,"1,3-Dioxane, 5-methyl-2-(2-methylpropyl)-cis-",Herbal,Fruity,Fresh
131812-52-7,"1,3-Dioxolane, 2,4-dimethyl-2-(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)-,",Amber,Animal Like,Warm
"",trans-,,,
1708-35-6,"1,3-Dioxolane-4-methanol, 2-hexyl-",Earthy,Fungal,Sweet
1322-17-4,"1,3-Nonanediol acetate (mixed esters)",Floral,Jasmin,Watery
444880-09-5,"1,3-Oxathiane,2-ethyl-4,4-dimethyl-",Herbal,Thyme,Blackcurrant
166432-52-6,"1,3-Undecadien-5-yne",Floral,Green,Violet
470-67-7,"1,4-Cineole",Citrus,Lime,Eucalyptus
21112-37-8,"1,4-Dimethoxy-2-tert-butylbenzene",Woody,Vetiver,Fresh
18679-18-0,"1,4-Dodec-6-enolactone",Gourmand,Waxy,Creamy
13786-79-3,"1,5,9-Trimethylcyclododeca-1,5,9-triene epoxide",Woody,Amber,Cedarwood
75147-23-8,"1,5-Dimethylbicyclo[3.2.1]octan-8-one-oxime",Fruity,Cassis,Green
67952-57-2,"1,5-Dimethylhexyl acetate",Citrus,Orange,Fresh
68931-30-6,"1,6,10,14-Hexadecatetraen-3-ol, 3,7,11,15- tetramethyl-",Floral,Rose,Jasmin
68298-33-9,"1,6,7,8-Tetrahydro-1,4,6,6,8,8-hexamethyl-as-indacene-3(2H)-one",Musk like,Animal Like,Woody
313973-37-4,"1,6-Heptadien-3-one, 2-cyclohexyl-",Fruity,Pineapple,Green
73018-51-6,"1,6-Octadien-3-ol, 3,7-dimethyl-, acid-isomerized",Citrus,Lime,Green
