CID,Name,MW,SMILES,IUPACName,abraham-2013,arctander-1960,bozza-cabinet,bushdid-2014,chae-2019,datta-cabinet,davison-2007,dravnieks-1985,enantiomers,flavornet,fleischmann-cabinet,fragrance-db,gerkin-cabinet,goodscents,gras,haddad-2008,leffingwell,mainland-cabinet,mainland-intensity,mainland-receptors,prestwick,rinberg-glomeruli,scott-2014,senselab,sigma-2014,smith-cabinet,sobel-2013,superscent,wakayama-2019
785,hydroquinone,110.11,C1=CC(=CC=C1O)O,"benzene-1,4-diol",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,dl-isoleucine,131.17,CCC(C)C(C(=O)O)N,2-amino-3-methylpentanoic acid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
795,imidazole,68.08,C1=CN=CN1,1H-imidazole,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
798,indole,117.15,C1=CC=C2C(=C1)C=CN2,1H-indole,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1
802,indole-3-acetic acid,175.18,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,2-(1H-indol-3-yl)acetic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
807,iodine,253.8089,II,molecular iodine,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,dl-arabinose,150.13,C(C(C(C(C=O)O)O)O)O,"2,3,4,5-tetrahydroxypentanal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857,dl-leucine,131.17,CC(C)CC(C(=O)O)N,2-amino-4-methylpentanoic acid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
866,dl-lysine,146.19,C(CCN)CC(C(=O)O)N,"2,6-diaminohexanoic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
867,malonic acid,104.06,C(C(=O)O)C(=O)O,propanedioic acid,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
