essential_oil,smiles
Carrot seed oil,CC(C)=CCCC(C)(O)C=C
Carrot seed oil,CC(C)=CC\C=C(/C)C=C
Carrot seed oil,CC(C)=CC/C=C(/C)C=C
Cascarilla bark oil,CC(C)c1ccc(C)cc1
Cascarilla bark oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cascarilla bark oil,CC1=CCC2CC1C2(C)C
Cascarilla bark oil,CC(C)=CCCC(C)(O)C=C
Cascarilla bark oil,CC(=C)C1CCC(=CC1)C
Cascarilla bark oil,CC(C)C1(O)CCC(=CC1)C
Cascarilla bark oil,CC(C)=CCCC(=C)C=C
Cascarilla bark oil,CC(C)C1=CCC(=CC1)C
Cascarilla bark oil,CC1(C)C2CCC(=C)C1C2
Cascarilla bark oil,CC1(C)C2CCC(C2)C1=C
Cascarilla bark oil,COc1cc(CC=C)ccc1O
Cascarilla bark oil,CC(C)=C1CCC(=CC1)C
Cassia bark extract,O=C/C=C/c1ccccc1
Cassia bark extract,O=Cc1ccccc1
Cassia bark extract,OC\C=C/c1ccccc1
Cassia bark extract,Oc1ccc(CC=C)cc1
Cassia bark extract,O=C1Oc2ccccc2C=C1
Cassia oil,O=C/C=C/c1ccccc1
Cassia oil,O=C1Oc2ccccc2C=C1
Cassia oil,CC(=O)OC\C=C\c1ccccc1
Cassia oil,O=Cc1ccccc1
Cassia oil,CC(C)=CCCC(C)(O)C=C
Cassia oil,O=C\C=C/c1ccccc1
Cassia oil,OCCCc1ccccc1
Cassia oil,OC\C=C/c1ccccc1
Cassia oil,CC1(C)C2CCC(C2)C1=C
Cassia oil,CC(=O)OCCc1ccccc1
Cassia oil,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cassia oil,COc1cc(CC=C)ccc1O
Cassia oil,COc1cc(\C=C\C)ccc1O
Cassie absolute,COC(=O)c1ccccc1O
Cassie absolute,OCc1ccccc1
Cassie absolute,CC(C)=CCC\C(C)=C\CO
Cassie absolute,CC(C)=CCCC(C)(O)C=C
Cassie absolute,COc1ccc(CO)cc1
Cassis bud absolute,C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1
Cassis bud absolute,CC1=CCC2C(C1)C2(C)C
Cassis bud absolute,CC(C)c1ccc(C)cc1
