Stimulus,Subject,Normalization,Ave SSR (DeltaSpikes/s)
C31,HsOr188,Pentane,30.8
C31,HsOr190,Pentane,19.4
C31,HsOr20,Pentane,12.8
C31,HsOr209,Pentane,6.8
C31,HsOr210,Pentane,37.2
C31,HsOr212,Pentane,29.2
C31,HsOr224,Pentane,4.2
C31,HsOr236,Pentane,6.4
C31,HsOr259-L2,Pentane,3.4
C31,HsOr271,Pentane,19.4
C31,HsOr32,Pentane,-7.4
C31,HsOr35,Pentane,-1.8
C31,HsOr36,Pentane,11.0
C31,HsOr37,Pentane,13.2
C31,HsOr378,Pentane,11.2
C31,HsOr4,Pentane,19.4
C31,HsOr55,Pentane,-1.75
C31,HsOr59,Pentane,-3.1666666666666665
C31,NoUAS,Pentane,-1.8
C32,HsOr161,Pentane,-0.4
C32,HsOr170,Pentane,17.2
C32,HsOr174,Pentane,7.0
C32,HsOr175,Pentane,5.6
C32,HsOr177,Pentane,24.0
C32,HsOr182,Pentane,17.4
C32,HsOr183,Pentane,4.2
C32,HsOr188,Pentane,20.4
C32,HsOr190,Pentane,38.4
C32,HsOr20,Pentane,16.6
C32,HsOr209,Pentane,14.6
C32,HsOr210,Pentane,41.2
C32,HsOr212,Pentane,24.2
C32,HsOr224,Pentane,-23.2
C32,HsOr236,Pentane,47.4
C32,HsOr259-L2,Pentane,5.0
C32,HsOr271,Pentane,11.4
C32,HsOr32,Pentane,-7.0
C32,HsOr35,Pentane,24.2
C32,HsOr36,Pentane,13.666666666666666
C32,HsOr37,Pentane,15.8
C32,HsOr378,Pentane,13.2
C32,HsOr4,Pentane,21.0
C32,HsOr55,Pentane,-4.0
C32,HsOr59,Pentane,17.0
C32,NoUAS,Pentane,7.8
C33,HsOr161,Pentane,2.4
C33,HsOr170,Pentane,32.4
C33,HsOr174,Pentane,-6.6
C33,HsOr175,Pentane,8.8
C33,HsOr177,Pentane,11.4
C33,HsOr182,Pentane,14.4
C33,HsOr183,Pentane,-5.0
C33,HsOr188,Pentane,27.4
C33,HsOr190,Pentane,12.0
C33,HsOr20,Pentane,25.8
C33,HsOr209,Pentane,0.4
C33,HsOr210,Pentane,15.8
C33,HsOr212,Pentane,18.0
C33,HsOr224,Pentane,-1.8
C33,HsOr236,Pentane,14.0
C33,HsOr259-L2,Pentane,4.0
C33,HsOr271,Pentane,9.0
C33,HsOr32,Pentane,-4.6
C33,HsOr35,Pentane,-7.4
C33,HsOr36,Pentane,22.166666666666668
C33,HsOr37,Pentane,13.4
C33,HsOr378,Pentane,5.4
C33,HsOr4,Pentane,13.0
C33,HsOr55,Pentane,-6.75
C33,HsOr59,Pentane,7.5
C33,NoUAS,Pentane,5.2
C34,HsOr161,Pentane,-3.0
C34,HsOr170,Pentane,17.4
C34,HsOr174,Pentane,7.4
C34,HsOr175,Pentane,-6.0
C34,HsOr177,Pentane,5.6
C34,HsOr182,Pentane,8.4
C34,HsOr183,Pentane,-1.0
C34,HsOr188,Pentane,31.8
C34,HsOr190,Pentane,13.2
C34,HsOr20,Pentane,10.2
C34,HsOr209,Pentane,7.2
C34,HsOr210,Pentane,15.2
C34,HsOr212,Pentane,1.8
C34,HsOr224,Pentane,-23.0
C34,HsOr236,Pentane,17.8
C34,HsOr259-L2,Pentane,4.0
C34,HsOr271,Pentane,11.0
C34,HsOr32,Pentane,-9.2
C34,HsOr35,Pentane,6.0
C34,HsOr36,Pentane,19.5
C34,HsOr37,Pentane,10.6
C34,HsOr378,Pentane,2.4
C34,HsOr4,Pentane,4.6
C34,HsOr55,Pentane,-11.75
C34,HsOr59,Pentane,2.0
C34,NoUAS,Pentane,1.8
C35,HsOr161,Pentane,2.4
C35,HsOr170,Pentane,42.0
C35,HsOr174,Pentane,8.4
C35,HsOr175,Pentane,11.4
C35,HsOr177,Pentane,33.6
C35,HsOr182,Pentane,29.6
C35,HsOr183,Pentane,-1.6
C35,HsOr188,Pentane,24.6
C35,HsOr190,Pentane,24.0
C35,HsOr20,Pentane,18.2
C35,HsOr209,Pentane,18.6
C35,HsOr210,Pentane,15.0
C35,HsOr212,Pentane,34.0
C35,HsOr224,Pentane,-5.6
C35,HsOr236,Pentane,24.2
C35,HsOr259-L2,Pentane,5.6
C35,HsOr271,Pentane,-5.6
C35,HsOr32,Pentane,2.8
C35,HsOr35,Pentane,3.0
C35,HsOr36,Pentane,20.166666666666668
C35,HsOr37,Pentane,16.4
C35,HsOr378,Pentane,9.8
C35,HsOr4,Pentane,16.8
C35,HsOr55,Pentane,-10.25
C35,HsOr59,Pentane,0.5
C35,NoUAS,Pentane,-1.0
C36,HsOr161,Pentane,9.2
C36,HsOr170,Pentane,30.8
C36,HsOr174,Pentane,5.8
C36,HsOr175,Pentane,-0.8
C36,HsOr177,Pentane,8.0
C36,HsOr182,Pentane,12.0
C36,HsOr183,Pentane,7.6
C36,HsOr188,Pentane,18.4
C36,HsOr190,Pentane,20.0
C36,HsOr20,Pentane,22.2
C36,HsOr209,Pentane,7.2
C36,HsOr210,Pentane,9.8
C36,HsOr212,Pentane,14.6
C36,HsOr224,Pentane,8.8
C36,HsOr236,Pentane,53.0
C36,HsOr259-L2,Pentane,19.2
C36,HsOr271,Pentane,10.2
C36,HsOr32,Pentane,-6.6
C36,HsOr35,Pentane,7.2
C36,HsOr36,Pentane,28.5
C36,HsOr37,Pentane,22.8
C36,HsOr378,Pentane,16.8
C36,HsOr4,Pentane,9.4
C36,HsOr55,Pentane,-5.5
C36,HsOr59,Pentane,2.0
C36,NoUAS,Pentane,3.6
C37,HsOr161,Pentane,3.0
C37,HsOr170,Pentane,34.6
C37,HsOr174,Pentane,7.8
C37,HsOr175,Pentane,13.8
C37,HsOr177,Pentane,12.6
C37,HsOr182,Pentane,22.4
C37,HsOr183,Pentane,7.4
C37,HsOr188,Pentane,35.2
C37,HsOr190,Pentane,21.8
C37,HsOr20,Pentane,4.0
C37,HsOr209,Pentane,10.6
C37,HsOr210,Pentane,18.6
C37,HsOr212,Pentane,36.2
C37,HsOr224,Pentane,28.0
C37,HsOr236,Pentane,8.2
C37,HsOr259-L2,Pentane,36.6
C37,HsOr271,Pentane,7.6
C37,HsOr32,Pentane,0.4
C37,HsOr35,Pentane,10.4
C37,HsOr36,Pentane,9.0
C37,HsOr37,Pentane,13.0
C37,HsOr378,Pentane,2.6
C37,HsOr4,Pentane,16.0
C37,HsOr55,Pentane,4.0
C37,HsOr59,Pentane,1.6666666666666667
C37,NoUAS,Pentane,6.0
C7-C40,HsOr161,Pentane,0.2
C7-C40,HsOr170,Pentane,1.2
C7-C40,HsOr174,Pentane,2.8
C7-C40,HsOr175,Pentane,1.8
C7-C40,HsOr177,Pentane,-0.2
C7-C40,HsOr182,Pentane,2.2
C7-C40,HsOr183,Pentane,-10.0
C7-C40,HsOr188,Pentane,10.2
C7-C40,HsOr190,Pentane,9.0
