Stimulus,Subject,Normalization,Ave EAG Response
Acetone,HsOr55,Paraffin,154.57
Acetone,HsOr59,Paraffin,99.16666666666667
Acetone,NoUAS,Paraffin,134.83
Camphor,HsOr161,Paraffin,120.66666666666667
Camphor,HsOr170,Paraffin,138.5
Camphor,HsOr174,Paraffin,152.16666666666666
Camphor,HsOr175,Paraffin,137.5
Camphor,HsOr177,Paraffin,146.8
Camphor,HsOr182,Paraffin,126.0
Camphor,HsOr183,Paraffin,101.5
Camphor,HsOr188,Paraffin,115.4
Camphor,HsOr190,Paraffin,138.66666666666666
Camphor,HsOr20,Paraffin,159.875
Camphor,HsOr209,Paraffin,109.6
Camphor,HsOr210,Paraffin,127.8
Camphor,HsOr212,Paraffin,148.2
Camphor,HsOr224,Paraffin,209.66666666666666
Camphor,HsOr236,Paraffin,127.5
Camphor,HsOr259-L2,Paraffin,134.8
Camphor,HsOr271,Paraffin,125.66666666666667
Camphor,HsOr32,Paraffin,147.3333333
Camphor,HsOr35,Paraffin,137.33333333333334
Camphor,HsOr36,Paraffin,161.25
Camphor,HsOr37,Paraffin,183.16666666666666
Camphor,HsOr378,Paraffin,166.66666666666666
Camphor,HsOr4,Paraffin,130.83333333333334
Camphor,HsOr55,Paraffin,153.86
Camphor,HsOr59,Paraffin,148.33333333333334
Camphor,NoUAS,Paraffin,144.17
Cineole,HsOr161,Paraffin,125.66666666666667
Cineole,HsOr170,Paraffin,136.83333333333334
Cineole,HsOr174,Paraffin,140.33333333333334
Cineole,HsOr175,Paraffin,128.5
Cineole,HsOr177,Paraffin,131.4
Cineole,HsOr182,Paraffin,140.2
Cineole,HsOr183,Paraffin,61.833333333333336
Cineole,HsOr188,Paraffin,139.4
Cineole,HsOr190,Paraffin,124.0
Cineole,HsOr20,Paraffin,137.875
Cineole,HsOr209,Paraffin,128.4
Cineole,HsOr210,Paraffin,126.2
Cineole,HsOr212,Paraffin,133.0
Cineole,HsOr224,Paraffin,152.83333333333334
Cineole,HsOr236,Paraffin,124.66666666666667
Cineole,HsOr259-L2,Paraffin,131.0
Cineole,HsOr271,Paraffin,128.33333333333334
Cineole,HsOr32,Paraffin,159.6666667
Cineole,HsOr35,Paraffin,157.66666666666666
Cineole,HsOr36,Paraffin,122.5
Cineole,HsOr37,Paraffin,158.83333333333334
Cineole,HsOr378,Paraffin,142.66666666666666
Cineole,HsOr4,Paraffin,129.16666666666666
Cineole,HsOr55,Paraffin,160.14
Cineole,HsOr59,Paraffin,128.16666666666666
Cineole,NoUAS,Paraffin,125.83
Citral,HsOr161,Paraffin,108.83333333333333
Citral,HsOr170,Paraffin,172.16666666666666
Citral,HsOr174,Paraffin,207.5
Citral,HsOr175,Paraffin,180.16666666666666
Citral,HsOr177,Paraffin,170.8
Citral,HsOr182,Paraffin,182.8
Citral,HsOr183,Paraffin,207.16666666666666
Citral,HsOr188,Paraffin,225.2
Citral,HsOr190,Paraffin,162.33333333333334
Citral,HsOr20,Paraffin,238.625
Citral,HsOr209,Paraffin,175.0
Citral,HsOr210,Paraffin,158.4
Citral,HsOr212,Paraffin,166.6
Citral,HsOr224,Paraffin,210.0
Citral,HsOr236,Paraffin,167.16666666666666
Citral,HsOr259-L2,Paraffin,211.4
Citral,HsOr271,Paraffin,172.16666666666666
Citral,HsOr32,Paraffin,223.0
Citral,HsOr35,Paraffin,225.33333333333334
Citral,HsOr36,Paraffin,160.75
Citral,HsOr37,Paraffin,208.83333333333334
Citral,HsOr378,Paraffin,198.33333333333334
Citral,HsOr4,Paraffin,205.33333333333334
Citral,HsOr55,Paraffin,237.43
Citral,HsOr59,Paraffin,158.33333333333334
Citral,NoUAS,Paraffin,201.17
Citronellol,HsOr161,Paraffin,91.16666666666667
Citronellol,HsOr170,Paraffin,155.83333333333334
Citronellol,HsOr174,Paraffin,164.0
Citronellol,HsOr175,Paraffin,146.33333333333334
Citronellol,HsOr177,Paraffin,216.8
Citronellol,HsOr182,Paraffin,134.2
Citronellol,HsOr183,Paraffin,99.33333333333333
Citronellol,HsOr188,Paraffin,181.6
Citronellol,HsOr190,Paraffin,142.66666666666666
Citronellol,HsOr20,Paraffin,205.875
Citronellol,HsOr209,Paraffin,162.4
Citronellol,HsOr210,Paraffin,145.8
Citronellol,HsOr212,Paraffin,188.6
Citronellol,HsOr224,Paraffin,216.83333333333334
Citronellol,HsOr236,Paraffin,141.16666666666666
Citronellol,HsOr259-L2,Paraffin,203.0
Citronellol,HsOr271,Paraffin,156.83333333333334
Citronellol,HsOr32,Paraffin,162.3333333
Citronellol,HsOr35,Paraffin,148.0
Citronellol,HsOr36,Paraffin,132.0
Citronellol,HsOr37,Paraffin,194.66666666666666
Citronellol,HsOr378,Paraffin,154.0
Citronellol,HsOr4,Paraffin,162.16666666666666
Citronellol,HsOr55,Paraffin,197.57
Citronellol,HsOr59,Paraffin,242.33333333333334
Citronellol,NoUAS,Paraffin,196.0
Cyclohexanone,HsOr161,Paraffin,190.0
Cyclohexanone,HsOr170,Paraffin,150.0
Cyclohexanone,HsOr174,Paraffin,218.5
Cyclohexanone,HsOr175,Paraffin,137.16666666666666
Cyclohexanone,HsOr177,Paraffin,158.2
Cyclohexanone,HsOr182,Paraffin,144.2
Cyclohexanone,HsOr183,Paraffin,146.33333333333334
Cyclohexanone,HsOr188,Paraffin,135.0
Cyclohexanone,HsOr190,Paraffin,139.33333333333334
Cyclohexanone,HsOr20,Paraffin,195.625
Cyclohexanone,HsOr209,Paraffin,172.4
Cyclohexanone,HsOr210,Paraffin,167.0
Cyclohexanone,HsOr212,Paraffin,178.8
Cyclohexanone,HsOr224,Paraffin,181.5
Cyclohexanone,HsOr236,Paraffin,123.16666666666667
Cyclohexanone,HsOr259-L2,Paraffin,179.2
Cyclohexanone,HsOr271,Paraffin,136.0
Cyclohexanone,HsOr32,Paraffin,156.6666667
Cyclohexanone,HsOr35,Paraffin,176.0
Cyclohexanone,HsOr36,Paraffin,117.25
Cyclohexanone,HsOr37,Paraffin,195.83333333333334
Cyclohexanone,HsOr378,Paraffin,164.5
Cyclohexanone,HsOr4,Paraffin,134.83333333333334
Cyclohexanone,HsOr55,Paraffin,211.0
Cyclohexanone,HsOr59,Paraffin,184.83333333333334
Cyclohexanone,NoUAS,Paraffin,211.83
DEET,HsOr161,Paraffin,126.33333333333333
DEET,HsOr170,Paraffin,103.16666666666667
DEET,HsOr174,Paraffin,124.66666666666667
DEET,HsOr175,Paraffin,110.5
DEET,HsOr177,Paraffin,98.0
DEET,HsOr182,Paraffin,112.8
DEET,HsOr183,Paraffin,137.5
DEET,HsOr188,Paraffin,117.8
DEET,HsOr190,Paraffin,106.0
DEET,HsOr20,Paraffin,120.125
DEET,HsOr209,Paraffin,84.6
DEET,HsOr210,Paraffin,102.6
DEET,HsOr212,Paraffin,93.4
DEET,HsOr224,Paraffin,113.5
DEET,HsOr236,Paraffin,112.33333333333333
DEET,HsOr259-L2,Paraffin,94.2
DEET,HsOr271,Paraffin,121.16666666666667
DEET,HsOr32,Paraffin,128.5
DEET,HsOr35,Paraffin,129.5
DEET,HsOr36,Paraffin,97.5
DEET,HsOr37,Paraffin,107.66666666666667
DEET,HsOr378,Paraffin,114.0
DEET,HsOr4,Paraffin,123.66666666666667
DEET,HsOr55,Paraffin,124.29
DEET,HsOr59,Paraffin,76.83333333333333
DEET,NoUAS,Paraffin,107.5
Dod. Acetate,HsOr161,Paraffin,108.66666666666667
Dod. Acetate,HsOr170,Paraffin,130.0
Dod. Acetate,HsOr174,Paraffin,126.33333333333333
Dod. Acetate,HsOr175,Paraffin,121.83333333333333
Dod. Acetate,HsOr177,Paraffin,119.8
Dod. Acetate,HsOr182,Paraffin,128.8
Dod. Acetate,HsOr183,Paraffin,182.33333333333334
Dod. Acetate,HsOr188,Paraffin,128.2
Dod. Acetate,HsOr190,Paraffin,121.5
Dod. Acetate,HsOr20,Paraffin,123.5
Dod. Acetate,HsOr209,Paraffin,123.2
Dod. Acetate,HsOr210,Paraffin,118.6
Dod. Acetate,HsOr212,Paraffin,117.0
Dod. Acetate,HsOr224,Paraffin,132.66666666666666
Dod. Acetate,HsOr236,Paraffin,119.5
Dod. Acetate,HsOr259-L2,Paraffin,124.4
Dod. Acetate,HsOr271,Paraffin,131.5
Dod. Acetate,HsOr32,Paraffin,157.0
Dod. Acetate,HsOr35,Paraffin,140.66666666666666
Dod. Acetate,HsOr36,Paraffin,98.75
Dod. Acetate,HsOr37,Paraffin,124.66666666666667
Dod. Acetate,HsOr378,Paraffin,123.5
Dod. Acetate,HsOr4,Paraffin,132.5
Dod. Acetate,HsOr55,Paraffin,131.43
Dod. Acetate,HsOr59,Paraffin,128.5
Dod. Acetate,NoUAS,Paraffin,133.0
E2-Hexenal,HsOr161,Paraffin,332.1666666666667
E2-Hexenal,HsOr170,Paraffin,237.5
