CID,Log (1/ODT),E,S,A,B,L,V,M,AL,AC,ES,C1,C1AC,C1AL,HS,C2,C2Al,C2AC,GrpNo,Train,Duplicates
7909,0.884775,0.111,0.65,0.0,0.51,3.089,0.9697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1
7912,0.886,0.053,0.21,0.07,0.74,2.893,1.0538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0
7914,1.77,-0.063,0.17,0.0,0.57,2.501,1.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
7915,0.55294,0.055,0.57,0.0,0.47,2.546,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1
7929,1.38722,0.623,0.52,0.0,0.16,3.839,0.9982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
7947,0.76955,0.649,0.52,0.0,0.19,4.344,1.1391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7957,-0.157,0.116,0.3,0.33,0.67,4.66,1.4354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0
7962,0.82391,0.244,0.06,0.0,0.0,3.319,0.9863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7964,-1.1,0.718,0.65,0.0,0.07,3.657,0.8388,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
7967,0.921,0.403,0.86,0.0,0.56,3.792,0.8611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
7975,1.854,0.598,0.75,0.0,0.58,3.422,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0
7981,1.92082,0.033,0.56,0.0,0.45,4.794,1.4511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7983,2.31876,0.044,0.56,0.0,0.45,4.275,1.3102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
7991,4.4318,0.205,0.63,0.62,0.45,3.227,0.8875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
7997,0.17693,0.09200000000000001,0.6,0.0,0.45,2.8190000000000004,0.8874999999999998,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.0,0.3333333333333333,2
8003,-0.14613,0.0,0.0,0.0,0.0,2.162,0.8131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
8004,1.0,0.093,0.08,0.0,0.07,2.047,0.7701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
8007,0.933275,0.224,0.35,0.16,0.61,2.618,0.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,1.0,1
8012,5.55284,0.382,0.43,0.0,0.21,3.0585,0.8357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
8021,1.50888,0.154,0.3,0.08,0.69,2.395,0.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,1
8025,-0.43136,0.146,0.66,0.0,0.38,1.845,0.6057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
8029,-0.99564,0.369,0.51,0.0,0.13,1.9125,0.5363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
8034,2.29939,0.114,0.66,0.0,0.53,3.8064999999999998,1.1106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1
8038,1.276455,0.052,0.57,0.0,0.47,3.161,1.0284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.5,1
8051,1.40583,0.123,0.68,0.0,0.51,3.76,1.1106,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.3333333333333335,0.6666666666666666,2
8054,0.469,0.166,0.79,0.0,0.81,3.29,0.9462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0
8058,-0.17609,0.0,0.0,0.0,0.0,2.668,0.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
8063,1.3441100000000001,0.163,0.65,0.0,0.45,2.851,0.8288,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.5,1.0,1
8067,6.10791,0.369,0.43,0.0,0.21,3.624,0.9766,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
