sub ID,recording,cell,odor series,region
170613_bulb_bank1_10_11_B,170613_bulb_bank1,10,11,B
170613_bulb_bank1_11_11_B,170613_bulb_bank1,11,11,B
170613_bulb_bank1_12_11_B,170613_bulb_bank1,12,11,B
170613_bulb_bank1_13_11_B,170613_bulb_bank1,13,11,B
170613_bulb_bank1_14_11_B,170613_bulb_bank1,14,11,B
170613_bulb_bank1_15_11_B,170613_bulb_bank1,15,11,B
170613_bulb_bank1_16_11_B,170613_bulb_bank1,16,11,B
170613_bulb_bank1_17_11_B,170613_bulb_bank1,17,11,B
170613_bulb_bank1_18_11_B,170613_bulb_bank1,18,11,B
170613_bulb_bank1_19_11_B,170613_bulb_bank1,19,11,B
170613_bulb_bank1_20_11_B,170613_bulb_bank1,20,11,B
170613_bulb_bank1_0_12_B,170613_bulb_bank1,0,12,B
170613_bulb_bank1_1_12_B,170613_bulb_bank1,1,12,B
170613_bulb_bank1_2_12_B,170613_bulb_bank1,2,12,B
170613_bulb_bank1_3_12_B,170613_bulb_bank1,3,12,B
170613_bulb_bank1_4_12_B,170613_bulb_bank1,4,12,B
170613_bulb_bank1_5_12_B,170613_bulb_bank1,5,12,B
170613_bulb_bank1_6_12_B,170613_bulb_bank1,6,12,B
170613_bulb_bank1_7_12_B,170613_bulb_bank1,7,12,B
170613_bulb_bank1_8_12_B,170613_bulb_bank1,8,12,B
170613_bulb_bank1_9_12_B,170613_bulb_bank1,9,12,B
170613_bulb_bank1_10_12_B,170613_bulb_bank1,10,12,B
170613_bulb_bank1_11_12_B,170613_bulb_bank1,11,12,B
170613_bulb_bank1_12_12_B,170613_bulb_bank1,12,12,B
170613_bulb_bank1_13_12_B,170613_bulb_bank1,13,12,B
170613_bulb_bank1_14_12_B,170613_bulb_bank1,14,12,B
170613_bulb_bank1_15_12_B,170613_bulb_bank1,15,12,B
170613_bulb_bank1_16_12_B,170613_bulb_bank1,16,12,B
170613_bulb_bank1_17_12_B,170613_bulb_bank1,17,12,B
170613_bulb_bank1_18_12_B,170613_bulb_bank1,18,12,B
170613_bulb_bank1_19_12_B,170613_bulb_bank1,19,12,B
170613_bulb_bank1_20_12_B,170613_bulb_bank1,20,12,B
170613_bulb_bank1_0_13_B,170613_bulb_bank1,0,13,B
170613_bulb_bank1_1_13_B,170613_bulb_bank1,1,13,B
170613_bulb_bank1_2_13_B,170613_bulb_bank1,2,13,B
170613_bulb_bank1_3_13_B,170613_bulb_bank1,3,13,B
