CID,Flavor Profile: ,FEMA Flavor Profile: ,Taste: ,Odor: 
95162408,sweet-like,,,
95162409,sweet-like,,,
95162410,sweet-like,,,
95162411,sweet-like,,,
95162412,sweet-like,,,
95162413,sweet-like,,,
95162414,sweet-like,,,
95162415,sweet-like,,,
95162416,sweet-like,,,
95162421,sweet-like,,,
95162422,sweet-like,,,
95162423,sweet-like,,,
95162424,sweet-like,,,
95162425,sweet-like,,,
95162426,sweet-like,,,
95162427,sweet-like,,,
95162428,sweet-like,,,
95162429,sweet-like,,,
95162430,sweet-like,,,
95162434,sweet-like,,,
95162435,sweet-like,,,
95162563,sweet-like,,,
95162564,sweet-like,,,
95162565,sweet-like,,,
95162566,sweet-like,,,
95162567,sweet-like,,,
95162568,sweet-like,,,
95162569,sweet-like,,,
95162570,sweet-like,,,
95162571,sweet-like,,,
95162572,sweet-like,,,
95162573,sweet-like,,,
95162574,sweet-like,,,
95162575,sweet,,,
95223128,sweet-like,,,
95223129,sweet-like,,,
95223130,sweet-like,,,
95223131,sweet-like,,,
95224181,sweet-like,,,
95224182,sweet-like,,,
95224183,sweet-like,,,
95224184,sweet-like,,,
95224257,sweet-like,,,
95224258,sweet-like,,,
95224259,sweet-like,,,
95224260,sweet-like,,,
95239936,sweet-like,,,
95239937,sweet-like,,,
95239938,sweet-like,,,
95239939,sweet-like,,,
95369535,sweet-like,,,
95369536,sweet-like,,,
95369537,sweet-like,,,
95369538,sweet-like,,,
95400964,sweet-like,,,
95400965,sweet-like,,,
95400966,sweet-like,,,
95400997,sweet-like,,,
95400998,sweet-like,,,
95400999,sweet-like,,,
95479525,sweet-like,,,
95479526,sweet-like,,,
95479937,sweet-like,,,
95479938,sweet-like,,,
95479939,sweet-like,,,
95479940,sweet-like,,,
95566304,sweet-like,,,
95566311,sweet-like,,,
95566325,sweet-like,,,
95566326,sweet-like,,,
95566327,sweet-like,,,
95566328,sweet-like,,,
95566337,sweet-like,,,
95566421,sweet-like,,,
95566482,sweet-like,,,
95731630,sweet-like,,,
95731631,sweet-like,,,
95731632,sweet-like,,,
95731633,sweet-like,,,
95790293,sweet-like,,,
95790294,sweet-like,,,
95790295,sweet-like,,,
95858802,sweet-like,,,
95858803,sweet-like,,,
95858804,sweet-like,,,
95858805,sweet-like,,,
95964584,sweet-like,,,
96122502,sweet-like,,,
96361113,sweet-like,,,
96361114,sweet-like,,,
96361115,sweet-like,,,
96361116,sweet-like,,,
96361126,sweet-like,,,
96361127,sweet-like,,,
96361128,sweet-like,,,
96361129,sweet-like,,,
96361162,sweet-like,,,
96361163,sweet-like,,,
96361164,sweet-like,,,
96361165,sweet-like,,,
96365186,sweet-like,,,
96365188,sweet-like,,,
96365189,sweet-like,,,
96365191,sweet-like,,,
96365193,sweet-like,,,
96365196,sweet-like,,,
96365683,sweet-like,,,
96367908,sweet-like,,,
96367909,sweet-like,,,
96367911,sweet-like,,,
96367913,sweet-like,,,
96503784,sweet-like,,,
96538813,sweet-like,,,
96559682,sweet-like,,,
96561582,sweet-like,,,
96561583,sweet-like,,,
96561584,sweet-like,,,
96561586,sweet-like,,,
96866127,sweet-like,,,
96866363,sweet-like,,,
96866364,sweet-like,,,
96866369,sweet-like,,,
96873724,sweet-like,,,
96879480,sweet-like,,,
96885403,sweet-like,,,
97012111,sweet-like,,,
97012112,sweet-like,,,
97012113,sweet-like,,,
97032057,sweet-like,,,
97041847,sweet-like,,,
97041848,sweet-like,,,
97041853,sweet-like,,,
97043248,sweet-like,,,
97043249,sweet-like,,,
97043250,sweet-like,,,
97043251,sweet-like,,,
97043714,sweet-like,,,
97045529,sweet-like,,,
97045530,sweet-like,,,
97045531,sweet-like,,,
97045532,sweet-like,,,
97046469,sweet-like,,,
97046470,sweet-like,,,
97046471,sweet-like,,,
97046472,sweet-like,,,
97046473,sweet-like,,,
97046474,sweet-like,,,
97046475,sweet-like,,,
97046476,sweet-like,,,
97046481,sweet-like,,,
97046482,sweet-like,,,
97046483,sweet-like,,,
97046484,sweet-like,,,
97046587,sweet-like,,,
97046588,sweet-like,,,
97046589,sweet-like,,,
97046590,sweet-like,,,
97049565,sweet-like,,,
97049941,sweet-like,,,
97049942,sweet-like,,,
97050023,sweet-like,,,
97050062,sweet-like,,,
97050063,sweet-like,,,
97050064,sweet-like,,,
97050065,sweet-like,,,
97050066,sweet-like,,,
97050130,sweet-like,,,
97050131,sweet-like,,,
97050132,sweet-like,,,
97050408,sweet-like,,,
97050409,sweet-like,,,
97050410,sweet-like,,,
97050411,sweet-like,,,
97050428,sweet-like,,,
97052224,sweet-like,,,
97054139,sweet-like,,,
97054443,sweet-like,,,
97054444,sweet-like,,,
97054445,sweet-like,,,
97054446,sweet-like,,,
97054473,sweet-like,,,
97054474,sweet-like,,,
97054475,sweet-like,,,
97054476,sweet-like,,,
97054497,sweet-like,,,
97054509,sweet-like,,,
97054510,sweet-like,,,
97054511,sweet-like,,,
97054512,sweet-like,,,
97054524,sweet-like,,,
97054525,sweet-like,,,
97054526,sweet-like,,,
97054530,sweet-like,,,
97054532,sweet-like,,,
97054534,sweet-like,,,
97054535,sweet-like,,,
97054540,sweet-like,,,
97054541,sweet-like,,,
97267886,sweet-like,,,
97267887,sweet-like,,,
97289621,sweet-like,,,
97289622,sweet-like,,,
97289623,sweet-like,,,
97289787,sweet-like,,,
97297352,sweet-like,,,
97297353,sweet-like,,,
97297354,sweet-like,,,
97299238,sweet-like,,,
97301495,sweet-like,,,
97302378,sweet-like,,,
97302379,sweet-like,,,
97302383,sweet-like,,,
97302384,sweet-like,,,
97541138,sweet-like,,,
97543949,sweet-like,,,
97545873,sweet-like,,,
97545874,sweet-like,,,
97546171,sweet-like,,,
97546172,sweet-like,,,
97546477,sweet-like,,,
97546499,sweet-like,,,
97546500,sweet-like,,,
97547105,sweet-like,,,
97549014,sweet-like,,,
97549042,sweet-like,,,
97549043,sweet-like,,,
97549121,sweet-like,,,
97549122,sweet-like,,,
97549123,sweet-like,,,
97549190,sweet-like,,,
97549191,sweet-like,,,
97550280,sweet-like,,,
97550281,sweet-like,,,
97550373,sweet-like,,,
97550374,sweet-like,,,
97641303,sweet-like,,,
97952648,sweet-like,,,
97952649,sweet-like,,,
97952650,sweet-like,,,
97952651,sweet-like,,,
97960688,sweet-like,,,
97960689,sweet-like,,,
97960691,sweet-like,,,
97960692,sweet-like,,,
97960693,sweet-like,,,
97960694,sweet-like,,,
97961389,sweet-like,,,
97961390,sweet-like,,,
98042572,sweet-like,,,
98042586,sweet-like,,,
98045201,sweet-like,,,
98045203,sweet-like,,,
98045204,sweet-like,,,
98045367,sweet-like,,,
98047596,sweet-like,,,
98047597,sweet-like,,,
98047598,sweet-like,,,
98051089,sweet-like,,,
98052074,sweet-like,,,
98052075,sweet-like,,,
98052076,sweet-like,,,
98052077,sweet-like,,,
98053885,sweet-like,,,
98064991,sweet-like,,,
98064992,sweet-like,,,
98064993,sweet-like,,,
98064994,sweet-like,,,
98072678,sweet-like,,,
98072679,sweet-like,,,
98072731,sweet-like,,,
98072732,sweet-like,,,
98072733,sweet-like,,,
98072734,sweet-like,,,
98072738,sweet-like,,,
98072739,sweet-like,,,
98072740,sweet-like,,,
98072741,sweet-like,,,
98072759,sweet-like,,,
98072760,sweet-like,,,
98072761,sweet-like,,,
98072762,sweet-like,,,
98072763,sweet-like,,,
98072764,sweet-like,,,
98072765,sweet-like,,,
98072766,sweet-like,,,
98072791,sweet-like,,,
98072792,sweet-like,,,
98072793,sweet-like,,,
98072794,sweet-like,,,
98072825,sweet-like,,,
98072828,sweet-like,,,
98072831,sweet-like,,,
98072834,sweet-like,,,
98072870,sweet-like,,,
98072872,sweet-like,,,
98072887,sweet-like,,,
98072889,sweet-like,,,
98092657,sweet-like,,,
98092658,sweet-like,,,
98092659,sweet-like,,,
98092661,sweet-like,,,
98092727,sweet-like,,,
98092728,sweet-like,,,
98100510,sweet-like,,,
98100513,sweet-like,,,
98100516,sweet-like,,,
98113746,sweet-like,,,
98113747,sweet-like,,,
98116796,sweet-like,,,
98116797,sweet-like,,,
98116798,sweet-like,,,
98116799,sweet-like,,,
98117076,sweet-like,,,
98118376,sweet-like,,,
98118377,sweet-like,,,
98126229,sweet-like,,,
98126239,sweet-like,,,
98126240,sweet-like,,,
98126241,sweet-like,,,
98137963,sweet-like,,,
98138983,sweet-like,,,
98138984,sweet-like,,,
98138985,sweet-like,,,
98138986,sweet-like,,,
98145185,sweet-like,,,
98145186,sweet-like,,,
98145696,sweet-like,,,
98145697,sweet-like,,,
98148765,sweet-like,,,
98148766,sweet-like,,,
98148767,sweet-like,,,
98148768,sweet-like,,,
98158547,sweet-like,,,
98158548,sweet-like,,,
98158549,sweet-like,,,
98170437,sweet-like,,,
98171412,sweet-like,,,
98171413,sweet-like,,,
98172400,sweet-like,,,
98172401,sweet-like,,,
98175187,sweet-like,,,
98175188,sweet-like,,,
98175189,sweet-like,,,
98175190,sweet-like,,,
98175191,sweet-like,,,
98192026,sweet-like,,,
98192027,sweet-like,,,
98192028,sweet-like,,,
98207156,sweet-like,,,
98328820,sweet-like,,,
98328821,sweet-like,,,
98328823,sweet-like,,,
98328824,sweet-like,,,
98362691,sweet-like,,,
98362693,sweet-like,,,
98367443,sweet-like,,,
98367444,sweet-like,,,
98367445,sweet-like,,,
98367522,sweet-like,,,
98392259,sweet-like,,,
98392260,sweet-like,,,
98392261,sweet-like,,,
98392262,sweet-like,,,
98427556,sweet-like,,,
98427557,sweet-like,,,
98427558,sweet-like,,,
98467040,sweet-like,,,
98467041,sweet-like,,,
98467042,sweet-like,,,
98467044,sweet-like,,,
98482744,sweet-like,,,
98482746,sweet-like,,,
98482749,sweet-like,,,
98498403,sweet-like,,,
98498405,sweet-like,,,
98498407,sweet-like,,,
98498409,sweet-like,,,
98527966,sweet-like,,,
98527968,sweet-like,,,
98527969,sweet-like,,,
98527970,sweet-like,,,
98598196,sweet-like,,,
98598197,sweet-like,,,
98598198,sweet-like,,,
98598213,sweet-like,,,
98598214,sweet-like,,,
98615029,sweet-like,,,
98615030,sweet-like,,,
98617437,sweet-like,,,
98617438,sweet-like,,,
98617439,sweet-like,,,
98617440,sweet-like,,,
98617441,sweet-like,,,
98617443,sweet-like,,,
98618675,sweet-like,,,
98618676,sweet-like,,,
98618760,sweet-like,,,
98642840,sweet-like,,,
98642841,sweet-like,,,
98651570,sweet-like,,,
98651571,sweet-like,,,
98669468,sweet-like,,,
98669469,sweet-like,,,
98669470,sweet-like,,,
98669471,sweet-like,,,
98683201,sweet-like,,,
98683202,sweet-like,,,
98710937,sweet-like,,,
98710938,sweet-like,,,
98724490,sweet-like,,,
98724491,sweet-like,,,
98743026,sweet-like,,,
98754213,sweet-like,,,
98760144,sweet-like,,,
98760145,sweet-like,,,
98760146,sweet-like,,,
98769512,sweet-like,,,
98769513,sweet-like,,,
98769514,sweet-like,,,
98769515,sweet-like,,,
98860466,sweet-like,,,
98860467,sweet-like,,,
98957934,sweet-like,,,
98957936,sweet-like,,,
99118573,sweet-like,,,
99134536,sweet-like,,,
99643478,sweet-like,,,
99647917,sweet-like,,,
99649224,sweet-like,,,
99649225,sweet-like,,,
99649226,sweet-like,,,
99649227,sweet-like,,,
99651730,sweet-like,,,
99652662,sweet-like,,,
99652663,sweet-like,,,
99652664,sweet-like,,,
99652665,sweet-like,,,
99653118,sweet-like,,,
99653119,sweet-like,,,
99653120,sweet-like,,,
99653121,sweet-like,,,
99656571,sweet-like,,,
99656572,sweet-like,,,
99656573,sweet-like,,,
99656574,sweet-like,,,
99668048,sweet-like,,,
99679879,sweet-like,,,
99679882,sweet-like,,,
99679884,sweet-like,,,
99679885,sweet-like,,,
99692810,sweet-like,,,
99692811,sweet-like,,,
99692812,sweet-like,,,
99694347,sweet-like,,,
99694348,sweet-like,,,
99694349,sweet-like,,,
99694350,sweet-like,,,
99713500,sweet-like,,,
99713501,sweet-like,,,
99713502,sweet-like,,,
99713503,sweet-like,,,
99719265,sweet-like,,,
99719266,sweet-like,,,
99719267,sweet-like,,,
99719268,sweet-like,,,
99721432,sweet-like,,,
99721433,sweet-like,,,
99721434,sweet-like,,,
99721435,sweet-like,,,
99722039,sweet-like,,,
99726334,sweet-like,,,
99733498,sweet-like,,,
99733499,sweet-like,,,
99733500,sweet-like,,,
99733516,sweet-like,,,
99733517,sweet-like,,,
99733518,sweet-like,,,
99733519,sweet-like,,,
99733524,sweet-like,,,
99733525,sweet-like,,,
99733526,sweet-like,,,
99733527,sweet-like,,,
99733528,sweet-like,,,
99733529,sweet-like,,,
99733530,sweet-like,,,
99733531,sweet-like,,,
99733536,sweet-like,,,
99733537,sweet-like,,,
99733559,sweet-like,,,
99733560,sweet-like,,,
99733644,sweet-like,,,
99733684,sweet-like,,,
99733685,sweet-like,,,
99733686,sweet-like,,,
99733687,sweet-like,,,
99804288,sweet-like,,,
99804289,sweet-like,,,
99906173,sweet-like,,,
99906174,sweet-like,,,
99933010,sweet-like,,,
99933011,sweet-like,,,
99933012,sweet-like,,,
99933013,sweet-like,,,
99933019,sweet-like,,,
99933020,sweet-like,,,
99939143,sweet-like,,,
99940264,sweet-like,,,
99947932,sweet-like,,,
99947934,sweet-like,,,
99948707,sweet-like,,,
99948708,sweet-like,,,
99948709,sweet-like,,,
99948710,sweet-like,,,
99957894,sweet-like,,,
99975109,sweet-like,,,
99975111,sweet-like,,,
99975112,sweet-like,,,
99975115,sweet-like,,,
99975718,sweet-like,,,
99975954,sweet-like,,,
99975970,sweet-like,,,
100081134,sweet-like,,,
100090580,sweet-like,,,
100090583,sweet-like,,,
100262007,sweet-like,,,
100262017,sweet-like,,,
100618036,sweet-like,,,
100805109,sweet-like,,,
100805110,sweet-like,,,
100824251,sweet-like,,,
100824252,sweet-like,,,
100845559,sweet-like,,,
100845560,sweet-like,,,
100845561,sweet-like,,,
100845562,sweet-like,,,
100853427,sweet-like,,,
100853429,sweet-like,,,
100853430,sweet-like,,,
100853431,sweet-like,,,
100853927,sweet-like,,,
100853929,sweet-like,,,
100853931,sweet-like,,,
100853932,sweet-like,,,
100854000,sweet-like,,,
100854003,sweet-like,,,
100854006,sweet-like,,,
100854007,sweet-like,,,
100867003,sweet-like,,,
100867005,sweet-like,,,
100867007,sweet-like,,,
100867009,sweet-like,,,
100875474,sweet-like,,,
100875477,sweet-like,,,
100875480,sweet-like,,,
100902915,sweet-like,,,
100902918,sweet-like,,,
100902921,sweet-like,,,
100902923,sweet-like,,,
100903514,sweet-like,,,
100903516,sweet-like,,,
100903535,sweet-like,,,
100903537,sweet-like,,,
100903549,sweet-like,,,
100903550,sweet-like,,,
100903551,sweet-like,,,
100903552,sweet-like,,,
100903558,sweet-like,,,
100903559,sweet-like,,,
100903560,sweet-like,,,
100912308,sweet-like,,,
100912382,sweet-like,,,
100912383,sweet-like,,,
100913347,sweet-like,,,
100915284,sweet-like,,,
100916137,sweet-like,,,
100916138,sweet-like,,,
100916139,sweet-like,,,
100917514,sweet-like,,,
100917515,sweet-like,,,
100917516,sweet-like,,,
100917517,sweet-like,,,
100917653,sweet-like,,,
100918547,sweet-like,,,
100918548,sweet-like,,,
100921413,sweet-like,,,
100922253,sweet-like,,,
100924013,sweet-like,,,
100924512,sweet-like,,,
100924513,sweet-like,,,
100925474,sweet-like,,,
100927001,sweet-like,,,
100927068,sweet-like,,,
100929561,sweet-like,,,
100929562,sweet-like,,,
100929762,sweet-like,,,
100929763,sweet-like,,,
100929764,sweet-like,,,
100930489,sweet-like,,,
100934026,sweet-like,,,
100934252,sweet-like,,,
100935579,sweet-like,,,
100935580,sweet-like,,,
100938761,sweet-like,,,
100938762,sweet-like,,,
100938763,sweet-like,,,
100938764,sweet-like,,,
100938765,sweet-like,,,
100938966,sweet-like,,,
100943801,sweet-like,,,
100944092,sweet-like,,,
100944093,sweet-like,,,
100945520,sweet-like,,,
100945993,sweet-like,,,
100946327,sweet-like,,,
100952311,sweet-like,,,
100954261,sweet-like,,,
100955403,sweet-like,,,
100955404,sweet-like,,,
100955405,sweet-like,,,
100955406,sweet-like,,,
100956093,sweet-like,,,
100956296,sweet-like,,,
100956297,sweet-like,,,
100958117,sweet-like,,,
100958904,sweet-like,,,
100958911,sweet-like,,,
100961010,sweet-like,,,
100961627,sweet-like,,,
100964344,sweet-like,,,
100966758,sweet-like,,,
100968221,sweet-like,,,
100968222,sweet-like,,,
100974136,sweet-like,,,
100974137,sweet-like,,,
100974138,sweet-like,,,
100974139,sweet-like,,,
100974140,sweet-like,,,
100974141,sweet-like,,,
100974142,sweet-like,,,
100974143,sweet-like,,,
100974147,sweet-like,,,
100974148,sweet-like,,,
100974149,sweet-like,,,
100974150,sweet-like,,,
100974151,sweet-like,,,
100974152,sweet-like,,,
100974153,sweet-like,,,
100977783,sweet-like,,,
100982376,sweet-like,,,
100984390,sweet-like,,,
100984391,sweet-like,,,
100984392,sweet-like,,,
100984394,sweet-like,,,
100984395,sweet-like,,,
100984396,sweet-like,,,
100984936,sweet-like,,,
100984956,sweet-like,,,
100986593,sweet-like,,,
100987892,sweet-like,,,
100987893,sweet-like,,,
100988315,sweet-like,,,
100990071,sweet-like,,,
100992698,sweet-like,,,
100993159,sweet-like,,,
100993160,sweet-like,,,
100993306,sweet-like,,,
100994798,sweet-like,,,
100997096,sweet-like,,,
100998068,sweet-like,,,
100998069,sweet-like,,,
100998070,sweet-like,,,
101001971,sweet-like,,,
101002408,sweet-like,,,
101004540,sweet-like,,,
101009545,sweet-like,,,
101010452,sweet-like,,,
101010456,sweet-like,,,
101010556,sweet-like,,,
101011400,sweet-like,,,
101011940,sweet-like,,,
101011941,sweet-like,,,
101011942,sweet-like,,,
101014422,sweet-like,,,
101014423,sweet-like,,,
101014664,sweet-like,,,
101014665,sweet-like,,,
101014890,sweet-like,,,
101014891,sweet-like,,,
101015849,sweet-like,,,
101016723,sweet-like,,,
101017345,sweet-like,,,
101021685,sweet-like,,,
101022693,sweet-like,,,
101027459,sweet-like,,,
101027460,sweet-like,,,
101027461,sweet-like,,,
101027462,sweet-like,,,
101028787,sweet-like,,,
101029238,sweet-like,,,
101029446,sweet-like,,,
101029521,sweet-like,,,
101031078,sweet-like,,,
101031079,sweet-like,,,
101033892,sweet-like,,,
101035588,sweet-like,,,
101035589,sweet-like,,,
101035590,sweet-like,,,
101035882,sweet-like,,,
101035999,sweet-like,,,
101036023,sweet-like,,,
101036024,sweet-like,,,
101036026,sweet-like,,,
101039054,sweet-like,,,
101040535,sweet-like,,,
101041457,sweet-like,,,
101041458,sweet-like,,,
101041460,sweet-like,,,
101041461,sweet-like,,,
101044994,sweet-like,,,
101046110,sweet-like,,,
101047272,sweet-like,,,
101048509,sweet-like,,,
101048510,sweet-like,,,
101053275,sweet-like,,,
101053276,sweet-like,,,
101053277,sweet-like,,,
101053408,sweet-like,,,
101055346,sweet-like,,,
101056970,sweet-like,,,
101060730,sweet-like,,,
101060808,sweet-like,,,
101065574,sweet-like,,,
101065575,sweet-like,,,
101067596,sweet-like,,,
101072096,sweet-like,,,
101072271,sweet-like,,,
101072516,sweet-like,,,
101072517,sweet-like,,,
101072518,sweet-like,,,
101072519,sweet-like,,,
101072520,sweet-like,,,
101072521,sweet-like,,,
101072522,sweet-like,,,
101072523,sweet-like,,,
101076877,sweet-like,,,
101079827,sweet-like,,,
101081401,sweet-like,,,
101088270,sweet-like,,,
101088271,sweet-like,,,
101088272,sweet-like,,,
101088273,sweet-like,,,
101088404,sweet-like,,,
101088405,sweet-like,,,
101088406,sweet-like,,,
101088407,sweet-like,,,
101088853,sweet-like,,,
101090530,sweet-like,,,
101090990,sweet-like,,,
101090991,sweet-like,,,
101091381,sweet-like,,,
101091382,sweet-like,,,
101093296,sweet-like,,,
101094129,sweet-like,,,
101094442,sweet-like,,,
101094443,sweet-like,,,
101095888,sweet-like,,,
101100886,sweet-like,,,
101100887,sweet-like,,,
101100888,sweet-like,,,
101100889,sweet-like,,,
101100890,sweet-like,,,
101100891,sweet-like,,,
101101153,sweet-like,,,
101103673,sweet-like,,,
101104340,sweet-like,,,
101105716,sweet-like,,,
101105717,sweet-like,,,
101105728,sweet-like,,,
101106575,sweet-like,,,
101108707,sweet-like,,,
101108713,sweet-like,,,
101108714,sweet-like,,,
101109455,sweet-like,,,
101109456,sweet-like,,,
101109457,sweet-like,,,
101111195,sweet-like,,,
101113358,sweet-like,,,
101113359,sweet-like,,,
101113399,sweet-like,,,
101113789,sweet-like,,,
101113790,sweet-like,,,
101115127,sweet-like,,,
101115128,sweet-like,,,
101115129,sweet-like,,,
101116747,sweet-like,,,
101117002,sweet-like,,,
101117003,sweet-like,,,
101117929,sweet-like,,,
101117930,sweet-like,,,
101117931,sweet-like,,,
101117932,sweet-like,,,
101121603,sweet-like,,,
101121604,sweet-like,,,
101121605,sweet-like,,,
101122762,sweet-like,,,
101128134,sweet-like,,,
101128702,sweet-like,,,
101129024,sweet-like,,,
101129025,sweet-like,,,
101129026,sweet-like,,,
101129027,sweet-like,,,
101130014,sweet-like,,,
101131699,sweet-like,,,
101134371,sweet-like,,,
101134979,sweet-like,,,
101135147,sweet-like,,,
101138855,sweet-like,,,
101140985,sweet-like,,,
101143223,sweet-like,,,
101147707,sweet-like,,,
101147710,sweet-like,,,
101151128,sweet-like,,,
101152994,sweet-like,,,
101154423,sweet-like,,,
101155902,sweet-like,,,
101158984,sweet-like,,,
101159096,sweet-like,,,
101163494,sweet-like,,,
101164520,sweet-like,,,
101165429,sweet-like,,,
101165430,sweet-like,,,
101165433,sweet-like,,,
101165434,sweet-like,,,
101168080,sweet-like,,,
101169526,sweet-like,,,
101169882,sweet-like,,,
101169883,sweet-like,,,
101170211,sweet-like,,,
101171802,sweet-like,,,
101171803,sweet-like,,,
101171804,sweet-like,,,
101171805,sweet-like,,,
101172687,sweet-like,,,
101173366,sweet-like,,,
101177019,sweet-like,,,
101177677,sweet-like,,,
101177678,sweet-like,,,
101178328,sweet-like,,,
101178392,sweet-like,,,
101181250,sweet-like,,,
101183729,sweet-like,,,
101183730,sweet-like,,,
101187319,sweet-like,,,
101188260,sweet-like,,,
101188264,sweet-like,,,
101188265,sweet-like,,,
101188266,sweet-like,,,
101188860,sweet-like,,,
101188952,sweet-like,,,
101188953,sweet-like,,,
101189813,sweet-like,,,
101190002,sweet-like,,,
101190003,sweet-like,,,
101190004,sweet-like,,,
101192407,sweet-like,,,
101193641,sweet-like,,,
101193642,sweet-like,,,
101196421,sweet-like,,,
101196422,sweet-like,,,
101198995,sweet-like,,,
101199388,sweet-like,,,
101199389,sweet-like,,,
101199390,sweet-like,,,
101199930,sweet-like,,,
101204785,sweet-like,,,
101206115,sweet-like,,,
101206116,sweet-like,,,
101206117,sweet-like,,,
101206118,sweet-like,,,
101206119,sweet-like,,,
101206122,sweet-like,,,
101206142,sweet-like,,,
101207250,sweet-like,,,
101210431,sweet-like,,,
101212746,sweet-like,,,
101213958,sweet-like,,,
101215970,sweet-like,,,
101220675,sweet-like,,,
101220676,sweet-like,,,
101220677,sweet-like,,,
101220678,sweet-like,,,
101220679,sweet-like,,,
101220680,sweet-like,,,
101220683,sweet-like,,,
101220685,sweet-like,,,
101220687,sweet-like,,,
101220688,sweet-like,,,
101220689,sweet-like,,,
101220690,sweet-like,,,
101220691,sweet-like,,,
101220692,sweet-like,,,
101220693,sweet-like,,,
101223684,sweet-like,,,
101223685,sweet-like,,,
101223686,sweet-like,,,
101228935,sweet-like,,,
101234941,sweet-like,,,
101239473,sweet-like,,,
101241660,sweet-like,,,
101243424,sweet-like,,,
101243891,sweet-like,,,
101243892,sweet-like,,,
101243896,sweet-like,,,
101244313,sweet-like,,,
101244915,sweet-like,,,
101244916,sweet-like,,,
101244917,sweet-like,,,
101244918,sweet-like,,,
101244919,sweet-like,,,
101244920,sweet-like,,,
101244921,sweet-like,,,
101245332,sweet-like,,,
101246778,sweet-like,,,
101248172,sweet-like,,,
101248181,sweet-like,,,
101248182,sweet-like,,,
101248541,sweet-like,,,
101249545,sweet-like,,,
101251604,sweet-like,,,
101251606,sweet-like,,,
101251607,sweet-like,,,
101251608,sweet-like,,,
101251609,sweet-like,,,
101252946,sweet-like,,,
101252947,sweet-like,,,
101254083,sweet-like,,,
101254308,sweet-like,,,
101254311,sweet-like,,,
101255054,sweet-like,,,
101256204,sweet-like,,,
101258175,sweet-like,,,
101260296,sweet-like,,,
101260555,sweet-like,,,
101260925,sweet-like,,,
101261456,sweet-like,,,
101265354,sweet-like,,,
101265355,sweet-like,,,
101265356,sweet-like,,,
101267615,sweet-like,,,
101272708,sweet-like,,,
101272709,sweet-like,,,
101273422,sweet-like,,,
101274624,sweet-like,,,
101274625,sweet-like,,,
101274626,sweet-like,,,
101274628,sweet-like,,,
101274675,sweet-like,,,
101277327,sweet-like,,,
101285676,sweet-like,,,
101288288,sweet-like,,,
101297586,,,,
101316894,sweet-like,,,
101326880,sweet-like,,,
101326881,sweet-like,,,
101332553,sweet-like,,,
101333507,sweet-like,,,
101334147,sweet-like,,,
101334563,sweet-like,,,
101334564,sweet-like,,,
101335349,sweet-like,,,
101335350,sweet-like,,,
101336199,sweet-like,,,
101336657,sweet-like,,,
101337950,sweet-like,,,
101337951,sweet-like,,,
101337952,sweet-like,,,
101341898,sweet-like,,,
101341900,sweet-like,,,
101341902,sweet-like,,,
101341903,sweet-like,,,
101341906,sweet-like,,,
101341908,sweet-like,,,
101342504,sweet-like,,,
101343628,sweet-like,,,
101351588,sweet-like,,,
101351589,sweet-like,,,
101352201,sweet-like,,,
101352202,sweet-like,,,
101352203,sweet-like,,,
101352987,sweet-like,,,
101354421,sweet-like,,,
101355667,sweet-like,,,
101358537,sweet-like,,,
101359398,sweet-like,,,
101361460,sweet-like,,,
101361461,sweet-like,,,
101363286,sweet-like,,,
101363287,sweet-like,,,
101364021,sweet-like,,,
101369112,sweet-like,,,
101371229,sweet-like,,,
101374280,sweet-like,,,
101374300,sweet-like,,,
101374301,sweet-like,,,
101374302,sweet-like,,,
101374303,sweet-like,,,
101374304,sweet-like,,,
101378880,sweet-like,,,
101380080,sweet-like,,,
101380087,sweet-like,,,
101385767,sweet-like,,,
101386099,sweet-like,,,
101386100,sweet-like,,,
101386101,sweet-like,,,
101387092,sweet-like,,,
101387093,sweet-like,,,
101387094,sweet-like,,,
101393043,sweet-like,,,
101393321,sweet-like,,,
101396024,sweet-like,,,
101396025,sweet-like,,,
101396026,sweet-like,,,
101396027,sweet-like,,,
101400957,sweet-like,,,
101405089,sweet-like,,,
101406154,sweet-like,,,
101410829,sweet-like,,,
101410866,sweet-like,,,
101410867,sweet-like,,,
101411516,sweet-like,,,
101414856,sweet-like,,,
101414857,sweet-like,,,
101414858,sweet-like,,,
101415131,sweet-like,,,
101415742,sweet-like,,,
101416579,sweet-like,,,
101416580,sweet-like,,,
101416581,sweet-like,,,
101416582,sweet-like,,,
101416649,sweet-like,,,
101417757,sweet-like,,,
101417758,sweet-like,,,
101418972,sweet-like,,,
101418973,sweet-like,,,
101418974,sweet-like,,,
101420606,sweet-like,,,
101422415,sweet-like,,,
101422416,sweet-like,,,
101422417,sweet-like,,,
101422756,sweet-like,,,
101422759,sweet-like,,,
101422761,sweet-like,,,
101423579,sweet-like,,,
101423602,sweet-like,,,
101423603,sweet-like,,,
101423605,sweet-like,,,
101423606,sweet-like,,,
101423607,sweet-like,,,
101423611,sweet-like,,,
101423612,sweet-like,,,
101423613,sweet-like,,,
101423615,sweet-like,,,
101423616,sweet-like,,,
101423617,sweet-like,,,
101423618,sweet-like,,,
101423619,sweet-like,,,
101423620,sweet-like,,,
101423628,sweet-like,,,
101423629,sweet-like,,,
101423634,sweet-like,,,
101424104,sweet-like,,,
101424121,sweet-like,,,
101424215,sweet-like,,,
101428180,sweet-like,,,
