CID,Flavor Profile: ,FEMA Flavor Profile: ,Taste: ,Odor: 
2294,bitter,,,
2331,bitter,,,
2345,"oil, pineapple, balsamic, herbal, strawberry, oily, faint, sweet, balsam, cherry, almond, herb, cheese","Balsamic, Herb, Oil",sharp burning taste,faint pleasant aromatic odor
2346,"watercress, mild, oily, horseradish, dusty, medicinal",,,
2353,bitter,,,
2481,bitter,,slightly bitter,
2483,bitter,,,
2519,"odorless, bitter",,bitter taste,odorless
2537,"camphoreous, camphor","Mint, Cool",pungent aromatic taste,"fragrant and penetrating odor
penetrating aromatic odor"
2576,bitter,,slightly bitter taste,
2682,"wax, floral, waxy, flower","Flower, Wax","bland, mild taste","faint odor
odorless"
2707,bitter,,"slightly bitter, caustic taste","aromatic, penetrating and slightly acrid odor
characteristic: sweet"
2719,bitter,,bitter taste,odorless
2725,bitter,,,
2757,bitter,,,
2758,"mint, pepper, herbal, eucalyptus, sweet, camphor","Camphor, Cool, Eucalyptol, Mint","eucalyptus, bitter-sweet flavor
pungent, cooling, spicy taste",camphor-like odor
2764,bitter,,,
2879,"smoke, animal, narcissus, phenol, mimosa, medicine, medicinal, phenolic","Pungent, Stable",,"phenolic odor
sweet, tarry odor"
2955,bitter,,slightly bitter taste,odorless
2969,"sour, citrus, fat, rancid, fatty, unpleasant","Dust, Fat, Grass",,"rancid odor
unpleasant odor"
2972,bitter,,very bitter taste,
2998,"bland, odorless",Savory,,
3026,faint,,tastes strong and bitter,"slight, aromatic odor"
3033,bitter,,,
3055,bitter,,slightly bitter taste,odorless
3100,bitter,,,
3102,"peach, powdery, apricot, rose, balsam, geranium, metallic",Floral,,"geranium-like odor
sweet, rose-like odor"
3104,sweet-like,,,
3108,bitter,,,
3182,bitter,,extreme bitter taste,
3229,bitter,,,
3242,bitter,,,
3314,"clove, sweet, woody, honey, spicy, cinnamon","Burnt, Clove, Spice","spicy, pungent taste","odor of cloves
warm, spicy, floral"
3325,bitter,,,
3368,sweet-like,,,
3371,bitter,,,
3426,sweet,,,
3429,sweet,,,
3473,pungent,,,
3476,bitter,,,
3485,"pungent, fruity, medicinal",,,"pungent odor
sweetish"
3495,sweet-like,,"intensely sweet taste
the sweetness potency of glycyrrhizin is about 33x (10% sucrose solution sweetness equivalence).",
3516,bitter,,slightly bitter aromatic taste,slight characteristic odor
3559,bitter,,,
3594,sweet-like,,,
3611,"woody, phenolic",,,
3776,"woody, bitter, musty, alcohol",Floral,"slightly bitter taste
burning taste","pleasant odor
slight odor resembling that of a mixture of ethanol and acetone
odor of rubbing alcohol"
3778,bitter,,,
3828,bitter,,,
3871,sweet,,,
3872,sweet,,,
3879,"fatty, metallic",,,
3893,"coconut, mild, fatty, metal, bay oil",,,"characteristic, like oil of bay"
3948,bitter,,,
4004,bitter,,,"skunk-like odor
garlic-like odor
mercaptan odor"
4007,sweet,,,
4044,bitter,,,
4059,bitter,,,
4064,no soup,no soup,no soup,no soup
4091,bitter,,,
4095,bitter,,,
4114,bitter,,bitter taste,odorless
4131,sweet-like,,,
4133,"mint, wintergreen, peppermint","Almond, Caramel, Peppermint, Sharp",liquid having the characteristic taste of wintergreen,liquid having the characteristic odor of wintergreen
4162,bitter,,bitter taste,slight characteristic odor
4189,bitter,,,
4276,"balsamic, spice, warm, woody, balsam",,,
4403,sweet-like,,,
4453,"bland, sweet-like",,,
4472,bitter,,slightly bitter,
4488,bitter,,,
4583,bitter,,,
4594,bitter,,,
4601,bitter,,,
4619,bitter,,,
4650,,,,"penetrating odor resembling that of chlorine
acrid, chlorine-like odor."
4679,bitter,,,
4680,bitter,,,
4740,bitter,,,
4754,bitter,,slightly bitter,odorless
4770,bitter,,,
4780,bitter,,,
4788,"odorless, bitter",,,
4795,sweet-like,,,
4798,sweet-like,,,
4799,sweet-like,,,
4806,bitter,,,
4831,bitter,,,
4837,ammoniacal,Savory,salty taste,"typical amine odor
ammoniacal odor"
4848,bitter,,,
4873,bitter,,strong saline taste,odorless
4913,bitter,,,
4947,"bland, bitter",,slightly bitter taste,"odorless
odorless or with a faint odor"
4998,bitter,,,
5054,"musty, creamy, hawthorn, nutty, phenolic",Floral,sweetish taste followed by bitter taste,"faint, characteristic odor"
5143,"odorless, bitter, sweet",,"in dilute aqueous solution it is 500 times as sweet as sugar
sweet taste detectable in 1:100,000 dilution.
bitter, metallic aftertaste",odorless or has faint aromatic odor.
5144,"spice, warm, floral, sassafrass, sweet, woody, anise, spicy",,,sassafras odor
5147,bitter,,somewhat bitter,
5161,bitter,,,
5281,"fatty, odorless, mild",Dairy,,
5326,bitter,,,
5329,bitter,,bitter,"odorless
practically odorless"
5330,bitter,,,
5344,bitter,,bitter,odorless
5362,bitter,,,
5429,bitter,,bitter tasting alkaloid,
5497,bitter,,,
5531,bitter,,,
5541,"tropical, mild, bitter, fruity, clean",Mouthfeel,"mild, sweet taste, bitter above 0.05%
bitter taste
slightly fatty taste","slightly fatty odor
slightly fruity or fatty odor"
5576,bitter,,,
5578,bitter,,bitter,odorless
5590,"alcohol, bland",,,
5610,"mild, rubbery, meaty, dirty, cooked, phenolic",Savory,,
5634,"sweet, woody",Floral,,
5743,bitter,,,
5750,bitter,,,
5754,bitter,,bitter taste,odorless
5755,bitter,,,odorless
5780,"sweet, caramel, odorless",,"sweet taste, approx 60% as sweet as sugar (wt/wt)",odorless
5793,sweet,,,
5825,bitter,,,
5827,bitter,,,
5838,bitter,,,
5842,bitter,,,
5862,sulfury,Savory,,
5865,bitter,,persistent bitter after-taste,odorless
5883,bitter,,,
5917,bitter,,,
5950,odorless,,sweet taste,odorless
5957,sweet-like,,,
5959,bitter,,bitter to taste,
5960,odorless,,"acidic/neutral
sour",
5961,"mild, milky, oily, cocoa, custard",Dairy,,
5962,odorless,,sweet/bitter,
5971,"mustard, pungent, garlic, sulfur, strong, bitter","Garlic, Pungent, Sulfur","acrid taste
mustard taste","very pungent
mustard odor"
5984,sweet,,,
5987,"fatty, bland",,,odorless
5988,sweet,,sweet,"characteristic caramel
... odorless ... [note: may have a characteristic caramel odor when heated]."
6022,sweet-like,,,
6027,sweet,,,
6036,sweet,,,
6037,odorless,,tasteless,odorless or almost odorless
6041,bitter,,,
6047,odorless,,tasteless,odorless
6048,bitter,,,
6050,"waxy, bitter, fatty, cheese, creamy",,bitter taste,"fruity, buttery"
6054,"lilac, rose, rose water, honey, rose flower, floral, spice, bitter, rose dried","Fruit, Honey, Lilac, Rose, Wine","initially slightly bitter taste then sweet & reminiscent of peach
sharp burning taste","characteristic rose-like odor
pure pea has an extremely mild roselike odor. >
99% pure vary in odor because of the impurities present."
6055,bitter,,,
6057,odorless,,,
6072,bitter,,,
6076,sweet-like,,,
6083,sweet,,,
6100,bitter,,,
6106,"odorless, bitter",,,
6116,"acetic, mild",,,slight odor of acetic acid
6134,sweet,,sweet,odorless
6140,"odorless, bitter",,bitter,slight
6167,bitter,,,odorless or nearly so
6184,"leafy, grass, sweaty, tallow, fat, fresh, fatty, fruity, aldehydic, green","Apple, Fat, Fresh, Green, Oil","characeteristic fruity taste (on dilution)
green, woody, vegetative, apple, grassy, citrus and orange with a fresh lingering aftertaste","characteristic fruity odor (on dilution)
strong, green grass odor
sharp, aldehyde odor"
6197,bitter,,,
6202,"mild, sour, bitter",,,"slight, characteristic"
6213,"sulfur, burnt, sulfurous",,,
6224,odorless,,,
6251,"odorless, sweet",,sweetish taste,odorless
6255,sweet,,,
6267,odorless,,,
6274,"odorless, bitter",,sweet,
6276,"oil, balsamic, vanilla, fusel, sweet, balsam","Balsamic, Fruit, Green, Pungent, Yeast",burning taste,"characteristic fusel-like odor
mild odor"
6282,bitter,,bitter,odorless
6287,odorless,,,
6305,bitter,,"flat taste
slightly bitter",odorless
6306,"odorless, bitter",,bitter,
6322,faint,,,
6341,"ammonia, fishy",,,ammonia odor
6343,"sulfurous, fruity","Earth, Onion, Rubber, Sulfur",,"leek-like odor
penetrating garlic-like odor
strong, skunk-like odor."
6344,,,,"sweet, pleasant odor, like chloroform
chloroform like odor
penetrating ether-like odor
slightly sweet smell, similar to that of trichloromethane"
6354,,,,"sweet
reminiscent of bruised apples
... ether-like odor"
6363,"ammoniacal, fishy",,,ammonia odor
6364,"sulfurous, onion, ripe, gassy, strong, meaty",Savory,,"extremely unpleasant odor
strong skunk odor"
6378,"ethereal, sweet",,"in foods, propylene oxide has no residual taste.","odor is sweet, alcoholic, & like ether or benzene
in foods, propylene oxide has no residual odor.
ethereal odor
... benzene-like odor ..."
6386,camphor,,,camphor-like odor
6405,pungent,,burning taste,"characteristic odor
camphor odor"
6433,bitter,,,
6448,"cedar, balsamic, spice, herbal, fresh, sweet, woody, pine needle, pine, camphor","Herb, Pine & Green & Floral",,
6454,bitter,,,
6463,bitter,,bitter taste,characteristic odor
6464,bitter,,slightly bitter,
6465,bitter,,,
6473,bitter,,,
6489,bitter,,,
6493,"leafy, powerful, fruity, green",,,
6501,"strawberry, floral, fatty, sweet, fruity, honey",Fruit,"characteristic slightly acid taste reminiscent of strawberry
apple, berry taste","on dilution, strong fruity odor
fruity, berry aroma"
6505,"very faint, sweet, herbal, wine",Floral,"at high levels (e.g., 1000 ppm emulsion in water) it has a mild, fruity, non-descript flavor.","very faint sweet, herbaceous odor
odorless"
6506,"odorless, mild, bitter, fruity, wine",Fruit,bitter taste,fruity odor
6509,bitter,,,
6514,"sulfurous, roasted",Savory,,"strong & acrid, sulfide like odor"
6532,"light, woody, fruity, bergamot, lavender",Fruit,,
6544,"cooling, tobacco, cedarwood, leather, musty, woody, sweet, fruity, camphoraceous, camphor, green","Cedarwood, Spice",,"peppermint-like odor
camphor-like"
6548,"lilac, floral, oily, lily, woody, tea, bois de rose",Green,,
6549,"lemon, citrus, orange, floral, sweet, woody, blueberry, bois de rose, lavender, flower, green","Coriander, Floral, Lavender, Lemon, Rose","taste characteristics at 30 ppm: floral, woody, sweet with a green, spicy tropical nuance
flavor characteristics: light, floral
spicy, citrus taste","odor similar to that of bergamot oil and french lavender
typical floral odor free from camphoraceous and terpenic notes
floral, spicy, wood odor
flowery-fresh odor and reminiscent of lily of the valley"
6558,"cheesy, fishy",,,"amine odor
fish-like odor."
6560,"solvent, ether, wine, bitter","Apple, Bitter, Cocoa, Wine",sweet whiskey taste,"sweet, musty odor
odor like that of amyl alcohol, but weaker
penetrating, wine-like, disagreeable odor
suffocating odor of fusel oil
slightly suffocating
nonresidual alcoholic"
6561,"malt, fresh, floral, pungent, aldehydic, green","Burnt, Caramel, Cocoa, Green, Malt",fruity taste,"extremely sharp
pungent odor"
6568,"oily, sweet, wine, apricot",,,"has a strong vinous odor
sweet
wine odor liquid
strong, pleasant odor"
6569,"ethereal, ether, fruity, acetone, camphor","Fragrant, Fruit, Pleasant",,"acetone-like odor
sweet, pleasant, pungent
moderately sharp, fragrant, mint- or acetone-like odor"
6584,"sweet, bitter, ether, fruity","Ester, Green","fleeting, fruity taste","pleasant odor
fragrant, fruity odor"
6590,"rancid, butter, strawberry, cheese","Burnt, Butter, Cheese, Sweat",cheesy taste,"pungent odor like that of butyric acid, but not as unpleasant
sharp, butter-fat-like odor"
6616,"fir needle, woody, herbal, camphor","Camphor, Mothball, Oil, Warm","camphoraceous taste
terpene, camphoraceous taste...cooling, minty, with citrus and green spicy nuances","camphoraceous, cooling, piney wood with trephy nuances...citrus and green minty and green spicy notes
insipid odor
camphor-like"
6631,"citrus, lime, woody, cologne, pine",,,
6651,bitter,,,
6654,"harsh, turpentine, minty, fresh, earthy, sweet, woody, terpene, pine, camphor","Cedarwood, Pine, Sharp",,"characteristic odor of pine
odor of turpentine"
6658,"acrylic, fruity, aromatic","Pungent, Sulfur",,"characteristic quality: sulfur-like, sweet, sharp
hedonic tone: unpleasant
acrid, fruity odor"
6660,"caramel, smoky, maple syrup, maple",,,
6669,"powdery, musky, fatty, musk, soapy, dry",,,unique ... powdery
6674,bitter,,,
6736,"very strong, mothball, animal, fecal, indole, civet",,"warm, over-ripe, fruity flavor below 0.1 ppm","characteristic fecal odor at high levels, becoming pleasant, sweet, and warm at very low levels
fecal odor"
6781,bitter,,bitter disagreeable taste,"practically odorless
odorless
very slight, aromatic odor."
6782,,,,
6804,odorless,,,
