behavioral scores raw,,,,,,,,,,,,,,,,,,
,dC/H (s),fC/H,1'dOI (s),3'dOI (s),1'fOI,3'fOI,1'Z3 (s),3'Z3 (s),1'Z1 (s),3'Z1 (s),RAS,WAA,dSGR (s) ,fSGR,dDIG (s) ,fDIG,REA,DIT (m)
CAD,0,0,1.78,5.83,4,11,18.35,51.91,22.74,76.28,7,6,1.28,5,0.00,0,7,3.45111
CAD,0,0,3.00,9.14,3,8,26.64,91.04,19.31,50.00,4,2,0.00,0,1.25,4,23,5.5143
CAD,7.6,2,5.31,12.93,4,12,34.37,96.37,13.50,48.81,7,6,1.79,3,0.95,3,11,3.69568
CAM,0,0,2.62,5.07,4,7,23.19,60.58,26.49,68.03,7,6,3.19,8,7.56,7,16,4.61209
CAM,0,0,0.78,7.3,2,11,18.21,64.52,29.41,81.42,12,11,3.33,5,5.12,6,28,6.99156
CAM,0,0,1.16,3.53,2,6,12.86,43.74,34.67,104.80,12,9,1.57,3,3.78,4,21,4.58568
CAM,0,0,0.72,1.8,2,6,14.74,51.16,29.87,84.25,13,13,0.37,1,2.53,5,30,8.2701
CAM,0,0,0.81,3.72,2,9,15.74,47.58,30.13,99.47,15,15,3.85,2,0.00,0,31,7.11985
CAM,0,0,0.38,1.71,1,4,13.60,28.49,27.91,94.80,5,5,0.00,0,6.41,9,10,3.49285
CAM,0,0,0.60,2.65,2,8,11.69,52.21,29.40,97.51,11,11,0.93,3,3.48,3,16,4.84912
CAM,0,0,1.09,3.13,2,7,12.35,42.40,31.76,90.05,9,9,0.00,0,27.33,26,24,5.68276
CAM,0,0,1.56,3.06,4,7,19.29,59.34,30.91,96.30,6,6,2.29,6,6.07,12,23,4.49909
CAM,0,0,0.30,0.78,1,3,7.57,49.91,35.01,89.46,4,4,0.31,1,48.71,27,16,6.13713
CIT,0.38,2,0.62,3.6,1,5,16.65,54.54,36.28,99.03,4,4,0.31,1,3.47,7,25,4.82428
CIT,0,0,0.28,2.22,1,5,17.20,44.75,23.70,76.68,6,5,0.00,0,4.04,10,26,5.24347
