"Subject","Comparison.number","TrialOrderInSession","Choice","CorrectChoiceOnScreen","IsCorrect","RT_Discrimination","Confidence","RT_Confidence","Mixture.number","Mixture.number.1","Experiment"
"W335",11,20,3,2,0,12.4685771,0.990462428,1.302232299,21,31,"Exp4"
"W335",12,7,3,3,1,14.03112954,0.888150289,0.681704316,22,32,"Exp4"
"W335",13,3,2,1,0,13.77319813,0.260404624,0.886450892,23,33,"Exp4"
"W335",14,9,2,2,1,16.36856966,0.960115607,5.127949879,24,34,"Exp4"
"W335",15,15,3,2,0,13.63677739,0.53699422,0.787927317,25,35,"Exp4"
"W335",16,17,1,3,0,12.89288326,0.990462428,0.837457227,26,36,"Exp4"
"W335",17,11,1,3,0,13.85288131,0.873410405,0.727527982,27,37,"Exp4"
"W335",18,19,3,3,1,13.13579598,0.974855491,1.073964522,28,38,"Exp4"
"W335",19,5,2,1,0,14.07835283,0.702601156,0.730439695,29,39,"Exp4"
"W335",20,12,2,2,1,13.15890281,0.735549133,2.785702373,30,40,"Exp4"
"W390",1,1,1,1,1,17.52711498,0.830057803,2.041740682,1,11,"Exp4"
"W390",2,4,1,1,1,21.5732166,0.973121387,1.048422783,2,12,"Exp4"
"W390",3,9,3,2,0,22.6491991,0.282947977,1.123510254,3,13,"Exp4"
"W390",4,14,1,3,0,20.28488432,0.389595376,1.871861965,4,14,"Exp4"
"W390",5,10,3,3,1,26.20522894,0.987861272,1.525456214,5,15,"Exp4"
"W390",6,7,1,1,1,19.24337456,0.973988439,1.089973598,6,16,"Exp4"
"W390",7,2,1,2,0,22.17456209,0.913294798,1.172245632,7,17,"Exp4"
"W390",8,5,1,3,0,23.42348896,0.949710983,1.55252501,8,18,"Exp4"
"W390",9,12,1,1,1,22.33467337,0.765895954,1.82798101,9,19,"Exp4"
"W390",10,13,1,1,1,23.39088881,0.878612717,1.159763197,10,20,"Exp4"
"W390",11,20,3,3,1,21.75698208,0.992196532,2.158080485,21,31,"Exp4"
"W390",12,3,3,3,1,21.84490692,0.992196532,1.378315714,22,32,"Exp4"
"W390",13,19,3,3,1,20.63314769,0.990462428,1.303573338,23,33,"Exp4"
"W390",14,11,2,1,0,23.23437087,0.482369942,1.145632687,24,34,"Exp4"
"W390",15,15,1,2,0,24.00459058,0.230057803,1.114348771,25,35,"Exp4"
"W390",16,8,1,2,0,27.12713953,0.983526012,0.772148732,26,36,"Exp4"
"W390",17,6,2,2,1,18.27678164,0.942774566,1.104225982,27,37,"Exp4"
"W390",18,17,2,3,0,21.69911173,0.49017341,1.230327229,28,38,"Exp4"
"W390",19,18,3,3,1,17.27332642,0.136416185,1.217581375,29,39,"Exp4"
"W390",20,16,2,2,1,18.4767606,0.986127168,1.014171562,30,40,"Exp4"
"W438",1,10,2,2,1,16.20313528,0.745953757,0.945788001,1,11,"Exp4"
"W438",2,17,3,2,0,15.43114306,0.862138728,1.34432278,2,12,"Exp4"
"W438",3,1,3,2,0,30.96583687,0.586416185,2.642112033,3,13,"Exp4"
"W438",4,18,2,1,0,15.31050132,0.899421965,1.189924592,4,14,"Exp4"
