Stimulus,Type,Experiment,CID,ID,Compared To ID,ID In Exp 1,ID In Exp 2,Dilution1,Dilution2,Dilution3
201,mono-molecule,Exp6,7406,,,17,,10.00%,0.01,0.10%
202,mono-molecule,Exp6,7519,,,18,,10.00%,0.01,0.10%
203,mono-molecule,Exp6,7600,,,19,,10.00%,0.01,0.10%
204,mono-molecule,Exp6,7655,,,20,,10.00%,0.01,0.10%
205,mono-molecule,Exp6,7685,,,21,,10.00%,0.01,0.10%
206,mono-molecule,Exp6,7710,,,22,,10.00%,0.01,0.10%
207,mono-molecule,Exp6,7731,,,23,,10.00%,0.01,0.10%
208,mono-molecule,Exp6,7749,,,24,,10.00%,0.01,0.10%
209,mono-molecule,Exp6,7888,,,25,,10.00%,0.01,0.10%
210,mono-molecule,Exp6,7966,,,26,,10.00%,0.01,0.10%
211,mono-molecule,Exp6,8042,,,27,,10.00%,0.01,0.10%
212,mono-molecule,Exp6,8129,,,28,,10.00%,0.01,0.10%
213,mono-molecule,Exp6,8130,,,29,,10.00%,0.01,0.10%
214,mono-molecule,Exp6,8174,,,30,,10.00%,0.01,0.10%
215,mono-molecule,Exp6,8797,,,31,,10.00%,0.01,0.10%
216,mono-molecule,Exp6,8892,,,32,,10.00%,0.01,0.10%
217,mono-molecule,Exp6,9017,,,33,,10.00%,0.01,0.10%
218,mono-molecule,Exp6,10882,,,34,,10.00%,0.01,0.10%
219,mono-molecule,Exp6,10890,,,35,,10.00%,0.01,0.10%
220,mono-molecule,Exp6,11002,,,36,,10.00%,0.01,0.10%
221,mono-molecule,Exp6,12265,,,37,,10.00%,0.01,0.10%
222,mono-molecule,Exp6,13187,,,38,,10.00%,0.01,0.10%
223,mono-molecule,Exp6,16666,,,39,,10.00%,0.01,0.10%
224,mono-molecule,Exp6,18458,,,40,,10.00%,0.01,0.10%
225,mono-molecule,Exp6,19310,,,41,,10.00%,0.01,0.10%
226,mono-molecule,Exp6,22201,,,42,,10.00%,0.01,0.10%
227,mono-molecule,Exp6,24686,,,43,,10.00%,0.01,0.10%
228,mono-molecule,Exp6,26331,,,44,,10.00%,0.01,0.10%
229,mono-molecule,Exp6,31252,,,45,,10.00%,0.01,0.10%
230,mono-molecule,Exp6,31276,,,46,,10.00%,0.01,0.10%
231,mono-molecule,Exp6,61072,,,47,,10.00%,0.01,0.10%
232,mono-molecule,Exp6,61832,,,48,,10.00%,0.01,0.10%
233,mono-molecule,Exp6,62240,,,49,,10.00%,0.01,0.10%
234,mono-molecule,Exp6,62378,,,50,,10.00%,0.01,0.10%
235,mono-molecule,Exp6,82227,,,51,,10.00%,0.01,0.10%
236,mono-molecule,Exp6,82229,,,52,,10.00%,0.01,0.10%
237,mono-molecule,Exp6,91497,,,53,,10.00%,0.01,0.10%
238,mono-molecule,Exp6,93375,,,54,,10.00%,0.01,0.10%
239,mono-molecule,Exp6,102562,,,55,,10.00%,0.01,0.10%
240,mono-molecule,Exp6,102861,,,56,,10.00%,0.01,0.10%
241,mono-molecule,Exp6,111418,,,57,,10.00%,0.01,0.10%
242,mono-molecule,Exp6,439570,,,58,,10.00%,0.01,0.10%
243,mono-molecule,Exp6,637511,,,59,,10.00%,0.01,0.10%
244,mono-molecule,Exp6,637563,,,60,,10.00%,0.01,0.10%
245,mono-molecule,Exp6,638011,,,61,,10.00%,0.01,0.10%
246,mono-molecule,Exp6,638014,,,62,,10.00%,0.01,0.10%
247,mono-molecule,Exp6,1712087,,,63,,10.00%,0.01,0.10%
248,mono-molecule,Exp6,5281167,,,64,,10.00%,0.01,0.10%
249,mono-molecule,Exp6,5284503,,,65,,10.00%,0.01,0.10%
250,mono-molecule,Exp6,5323652,,,66,,10.00%,0.01,0.10%
251,mono-molecule,Exp6,5352438,,,67,,10.00%,0.01,0.10%
252,mono-molecule,Exp6,5363233,,,68,,10.00%,0.01,0.10%
253,mono-molecule,Exp6,5363374,,,69,,10.00%,0.01,0.10%
254,mono-molecule,Exp6,5365049,,,70,,10.00%,0.01,0.10%
255,mono-molecule,Exp6,5366074,,,71,,10.00%,0.01,0.10%
256,mono-molecule,Exp6,Blank,,,72,,-,-,-
257,mixture,Exp1,326;26331;1140;11002,M1001,,1,28.0,100.00%,,
258,mixture,Exp1,7410;240;93009;8635,M1002,,2,27.0,100.00%,,
