Subject,Animal,Hemibulb,Glom,Cell,FOV
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_09,1.0,left,9,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_10,1.0,left,10,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_11,1.0,left,11,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_12,1.0,left,12,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
G_1_left_13,1.0,left,13,,
