smiles,regression_pred_pKd
CCCCc1ccc2ccccc2n1,5.467622983477197
CCCCC1CCCO1,4.952950894961355
CCCCc1nccs1,5.9406567638249514
CCCCc1cccs1,6.420313132454491
CCCC=O,5.933580164202543
CCCC(=O)O,5.935748896530582
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,4.446256387062682
CCCC(=O)c1ccco1,6.534264149271133
CC(C)[C@@H]1CC[C@H](C)[C@@H]2C=C[C@H](C)C[C@@H]12,4.379630574773676
CC1=CC2C(=C(C)CCC2C(C)C)CC1,5.0507459721349335
Cn1c(=O)c2c(ncn2C)n(C)c1=O,5.566286811409899
C=C1C2CCC(C2)C1(C)C,5.1799636329004874
CC(=O)OC(C)C1CC=C(C)C1(C)C,5.914578022475705
CC1=CCC(CCO)C1(C)C,6.094322156444151
CC(=O)C1CC=C(C)C1(C)C,6.251455883505662
CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2,5.737055780961441
CC12CCC(CC1=O)C2(C)C,5.9682761442634025
COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,6.287858532894975
CC1=CCC2C(C1)C2(C)C,5.6919878936085055
Cc1ccc(C(C)C)cc1O,5.745933395614557
CC(=O)Oc1cc(C(C)C)ccc1C,6.051558846791207
CCOc1cc(C(C)C)ccc1C,6.271203716030487
COc1cc(C(C)C)ccc1C,5.995918319430278
C=C(C)[C@@H]1CC=C(C)[C@H](O)C1,5.0878492734439185
C=C(C)C1CC=C(C)C(O)C1,5.114220055113688
CC(C)[C@@H]1CC[C@@H](C)[C@H](O)C1,3.2886873856289136
CC1CCC(C(C)C)CC1=O,4.6457820688089
C=C(C)[C@H]1CC(=O)[C@@]2(C)O[C@H]2C1,5.990956209882661
C=C(C)C1CC=C(C)C(OC(C)=O)C1,5.749155948107632
C=C(C)[C@@H]1CC=C(C)[C@H](OC(C)=O)C1,5.5651074543532975
C=C(C)C1CC=C(C)C(OC(=O)CC(C)C)C1,6.578529987826324
C=C(C)C1CC=C(C)C(OC(=O)CC)C1,5.769353238549912
C=C1CCC(OC(C)=O)/C(C)=C\CC2C1CC2(C)C,5.973080983858413
CC12CCCC(O)(C1)C1CC(C)(C)C1CC2,5.0423214164741275
C=C1CCC2OC2(C)CCC2C1CC2(C)C,5.868343540631296
C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,5.688770322791883
Oc1ccccc1O,4.481932806182476
CC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@@H]3C,5.488664644434184
C=C1CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,5.63557795834859
CC1=CC[C@@]23CC1C(C)(C)[C@@H]2CC[C@H]3C,5.537391491366055
C=C1C(O)CC23CC1C(C)(C)C2CCC3C,5.26735888850317
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@]21CC[C@@]3(C)O,4.602154523545809
CC(=O)OC1(C)CCC23CC1C(C)(C)[C@@H]2CC[C@H]3C,5.114997196164005
CCCC1CC(=O)C=C(C)C1,5.770604044151447
C=CCc1ccc(O)cc1,5.040370666077121
CC(C)C12CCC(C)(CC1)O2,3.7060253665201186
C(=C/C1OCCO1)\c1ccccc1,5.1583891018924835
O=C/C=C/c1ccccc1,5.265614225875057
O=C(O)/C=C/c1ccccc1,5.199303468414392
