Sr. No,Odorant,PubChem,Receptor,UniProt,GenBank,Organism
302,111-27-3,8103,OR5P3,Q8WZ94,NM_153445,Human
303,111-27-3,8103,MOR204-32,Q8VEZ0,NM_020291,Mus musculus
304,111-27-3,8103,MOR41-1,E9Q549,NM_146754,Mus musculus
305,111-27-3,8103,MOR106-13P,Q7TRM0,NM_001011738,Mus musculus
306,111-66-0,8125,MOR103-15,O95918,NM_010983,Mus musculus
307,111-70-6,8129,OR1A1,Q9P1Q5,KP290555,Human
308,111-70-6,8129,OR1G1,P47890,KP290512,Human
309,111-70-6,8129,OR2J2,O76002,NM_030905,Human
310,111-70-6,8129,OR2W1,Q9Y3N9,KP290589,Human
311,111-70-6,8129,OR5P3,Q8WZ94,NM_153445,Human
312,111-70-6,8129,MOR203-1,Q8VGC6,NM_146865,Mus musculus
313,111-70-6,8129,MOR261-1,Q8VGP6,NM_146988,Mus musculus
314,111-70-6,8129,MOR204-32,Q8VEZ0,NM_020291,Mus musculus
315,111-70-6,8129,MOR33-1,Q8VGX8,NM_147074,Mus musculus
316,111-70-6,8129,MOR41-1,E9Q549,NM_146754,Mus musculus
317,111-70-6,8129,MOR171-2,Q60893,AY318055,Mus musculus
318,111-70-6,8129,MOR139-3,Q8VGU7,NM_147041,Mus musculus
319,111-70-6,8129,MOR271-1,Q8VF05,NM_146357,Mus musculus
320,111-70-6,8129,MOR272-1,Q8VGJ5,NM_146935,Mus musculus
321,111-70-6,8129,MOR106-13P,Q7TRM0,NM_001011738,Mus musculus
322,111-71-7,8130,OR1A1,Q9P1Q5,KP290555,Human
323,111-71-7,8130,OR1A2,Q9Y585,KP290238,Human
324,111-71-7,8130,OR1D2,P34982,KP290685,Human
325,111-71-7,8130,OR1G1,P47890,KP290512,Human
326,111-71-7,8130,OR2W1,Q9Y3N9,KP290589,Human
327,111-71-7,8130,MOR175-1,Q9QY00,NM_013728,Mus musculus
328,111-71-7,8130,MOR263-5,Q7TRM9,NM_020598,Mus musculus
329,111-71-7,8130,MOR103-15,O95918,NM_010983,Mus musculus
330,111-71-7,8130,MOR139-3,Q8VGU7,NM_147041,Mus musculus
331,111-71-7,8130,MOR244-3,Q7TQQ0,NM_020514,Mus musculus
332,111-71-7,8130,MOR256-3,Q8VGW6,NM_147062,Mus musculus
333,111-88-6,8144,OR1A1,Q9P1Q5,KP290555,Human
334,111-88-6,8144,OR2C1,O95371,KP290588,Human
335,111-88-6,8144,OR2W1,Q9Y3N9,KP290589,Human
336,111-88-6,8144,OR4Q3,Q8NH05,KP290654,Human
337,111-88-6,8144,MOR203-1,Q8VGC6,NM_146865,Mus musculus
338,111-88-6,8144,MOR103-15,O95918,NM_010983,Mus musculus
339,111-88-6,8144,MOR256-17,P23275,NM_008762,Mus musculus
340,112-05-0,8158,OR1G1,P47890,KP290512,Human
341,112-05-0,8158,OR2W1,Q9Y3N9,KP290589,Human
342,112-05-0,8158,OR51E1,Q8TCB6,KP290590,Human
343,112-05-0,8158,OR52D1,Q9H346,NM_001005163,Human
344,112-05-0,8158,MOR203-1,Q8VGC6,NM_146865,Mus musculus
345,112-05-0,8158,MOR260-1,Q8VG49,NM_146780,Mus musculus
346,112-05-0,8158,MOR103-15,O95918,NM_010983,Mus musculus
347,112-05-0,8158,MOR40-4,Q99NH4,NM_146748,Mus musculus
348,112-05-0,8158,MOR22-2,Q9WVD7,NM_013621,Mus musculus
349,112-05-0,8158,MOR31-2,Q8VH18,NM_020290,Mus musculus
350,112-05-0,8158,MOR33-1,Q8VGX8,NM_147074,Mus musculus
351,112-05-0,8158,MOR32-4,Q8VG28,NM_146760,Mus musculus
352,112-05-0,8158,MOR23-1,Q8VG01,NM_146731,Mus musculus
353,112-05-0,8158,MOR18-1,Q8VGZ7,NM_147093,Mus musculus
354,112-05-0,8158,MOR30-1,Q8VGZ2,NM_147088,Mus musculus
355,112-05-0,8158,MOR32-11,Q8VF06,NM_146358,Mus musculus
356,112-05-0,8158,MOR8-2,Q8VH13,NM_147111,Mus musculus
357,112-05-0,8158,MOR5-1,Q8VH20,NM_147120,Mus musculus
358,112-05-0,8158,MOR40-1,Q8VGV1,NM_147045,Mus musculus
359,112-05-0,8158,MOR42-3,Q9WU88,NM_020289,Mus musculus
360,112-05-0,8158,MOR37-1,A0A1L1SVG7,NM_001011857,Mus musculus
361,112-05-0,8158,MOR42-2,E9PWI5,NM_001011782,Mus musculus
362,112-05-0,8158,MOR106-1,E9Q438,NM_020288,Mus musculus
363,112-05-0,8158,MOR256-17,P23275,NM_008762,Mus musculus
364,112-12-9,8163,OR1G1,P47890,KP290512,Human
365,112-23-2,8169,MOR103-15,O95918,NM_010983,Mus musculus
366,112-30-1,8174,OR1A1,Q9P1Q5,KP290555,Human
367,112-30-1,8174,OR1G1,P47890,KP290512,Human
368,112-30-1,8174,OR2J2,O76002,NM_030905,Human
369,112-30-1,8174,OR2W1,Q9Y3N9,KP290589,Human
370,112-30-1,8174,MOR203-1,Q8VGC6,NM_146865,Mus musculus
371,112-30-1,8174,MOR261-1,Q8VGP6,NM_146988,Mus musculus
372,112-31-2,8175,OR1G1,P47890,KP290512,Human
373,112-31-2,8175,OR52D1,Q9H346,NM_001005163,Human
374,112-31-2,8175,MOR103-15,O95918,NM_010983,Mus musculus
375,112-31-2,8175,MOR30-1,Q8VGZ2,NM_147088,Mus musculus
376,112-31-2,8175,MOR37-1,A0A1L1SVG7,NM_001011857,Mus musculus
377,112-32-3,8176,MOR103-15,O95918,NM_010983,Mus musculus
378,112-37-8,8180,MOR40-4,Q99NH4,NM_146748,Mus musculus
379,112-37-8,8180,MOR23-1,Q8VG01,NM_146731,Mus musculus
380,112-37-8,8180,MOR31-4,Q7TRS7,NM_147079,Mus musculus
381,112-37-8,8180,MOR32-11,Q8VF06,NM_146358,Mus musculus
382,112-37-8,8180,MOR42-3,Q9WU88,NM_020289,Mus musculus
383,112-44-7,8186,OR1D2,P34982,KP290685,Human
384,112-44-7,8186,OR1G1,P47890,KP290512,Human
385,112-44-7,8186,OR4D2,P58180,NM_001004707,Human
386,112-44-7,8186,MOR174-9,Q920P2,NM_054090,Mus musculus
387,112-44-7,8186,MOR103-15,O95918,NM_010983,Mus musculus
388,112-44-7,8186,MOR40-4,Q99NH4,NM_146748,Mus musculus
389,112-44-7,8186,MOR32-11,Q8VF06,NM_146358,Mus musculus
390,112-44-7,8186,MOR42-3,Q9WU88,NM_020289,Mus musculus
391,112-53-8,8193,OR1G1,P47890,KP290512,Human
