Stimulus,CID,Rep,Name,Conditions,SourceFile
7765_0,7765,0,diethylacetal,,diethylacetal_SG18.csv
7770_0,7770,0,propyl butyrate,,propylbutyrate_es3.csv
7792_0,7792,0,"3,7-dimethyloctan-1-ol",,"3,7_dimethyloctan_1_ol.csv"
7795_0,7795,0,isoamyl butyrate,,isoamylbutyrate_est1.csv
7797_0,7797,0,ethyl heptanoate,75 ppm,ethylheptanoate_dies.csv
7797_1,7797,1,ethyl heptanoate,75 ppm,ethylheptanoate_es3.csv
7799_0,7799,0,ethyl caprylate,,ethylcaprylate_es3.csv
7802_0,7802,0,3-heptanone,,3_heptanone_keton3.csv
7803_0,7803,0,propyl propionate,,propylpropionate_es3.csv
7809_0,7809,0,p-xylene,125ppm,p_xylene_arg1.csv
7824_0,7824,0,methyl caproate,,methylcaproate_es3.csv
7826_0,7826,0,methyl heptanoate,,methylheptanoate_HC.csv
78274_0,78274,0,methyl 3-aminobenzoate,1/20 in mineral oil,methyl3_aminobenzoate_arg2.csv
7895_0,7895,0,2-pentanone,,2_pentanone_keton1.csv
7929_0,7929,0,m-xylene,125ppm,m_xylene_arg1.csv
7938_0,7938,0,"2,6-dimethylpyrazine",,"2,6_dimethylpyrazine_MePyra.csv"
7943_0,7943,0,dimethyl malonate,,dimetmalonate_dies.csv
7947_0,7947,0,mesitylene,125ppm,mesitylene_arg1.csv
7947_1,7947,1,mesitylene,,mesitylene_SG9.csv
7967_0,7967,0,cyclohexanone,,cyclohexanone_SG18.csv
7991_0,7991,0,valeric acid,1/20 in mineral oil,valericacid_Aci+Ket.csv
7991_1,7991,1,valeric acid,7.2,valericacid_aci1.csv
7991_10,7991,10,valeric acid,25,valericacid_vcn1_25.csv
7991_2,7991,2,valeric acid,1/20 in mineral oil,valericacid_acies.csv
7991_3,7991,3,valeric acid,7.2 ppm,valericacid_alc1.csv
7991_4,7991,4,valeric acid,,valericacid_enr_c.csv
7991_5,7991,5,valeric acid,,valericacid_enr_e.csv
7991_6,7991,6,valeric acid,12.5,valericacid_fgrp_12.5.csv
7991_7,7991,7,valeric acid,25,valericacid_fgrp_25.csv
7991_8,7991,8,valeric acid ,3.12,valericacid_fgrp_3.12.csv
7991_9,7991,9,valeric acid,6.25,valericacid_fgrp_6.25.csv
7997_0,7997,0,propyl acetate,,propylacetate_es3.csv
