CID A,CID B,Subject,Rep,IA,IAmix,IB,IBmix,IAB,PA,PB,PAB
650,31260,58,1,4.8,5.8,4.4,0.9,5.8,4.7,4.6,4.5
650,31260,59,1,6.8,5.1,7.2,8.6,8.0,2.9,2.8,2.0
650,31260,60,1,5.5,2.8,5.0,3.3,5.6,4.5,6.7,4.0
650,31260,62,1,8.0,6.0,6.0,0.0,8.0,4.1,2.0,3.0
650,31260,63,1,5.0,3.8,5.0,3.8,4.9,3.9,4.0,4.3
650,31260,64,1,5.8,1.5,7.8,1.6,7.6,5.5,3.4,4.0
650,31260,66,1,9.3,10.2,4.6,4.1,8.6,1.6,4.5,4.3
998,24020,2,1,6.6,1.7,4.6,4.6,6.6,7.5,8.4,5.7
998,24020,5,1,5.4,7.0,5.5,6.6,6.4,4.7,5.3,3.9
998,24020,9,1,7.5,3.0,7.1,8.5,7.9,2.2,3.7,4.4
998,24020,13,1,7.1,5.7,7.2,7.6,7.3,6.0,5.4,6.6
998,24020,14,1,8.0,8.8,7.0,7.0,8.4,4.4,5.6,4.4
998,24020,20,1,5.3,4.0,5.4,6.8,6.5,4.4,4.5,3.7
998,24020,21,1,7.5,3.8,4.6,3.7,6.4,3.1,7.2,3.6
998,24020,23,1,7.1,5.3,3.4,4.4,7.1,1.9,7.3,3.3
998,24020,25,1,6.4,3.2,7.3,2.9,7.1,5.7,6.3,6.0
998,24020,26,1,6.2,3.1,6.1,7.9,7.3,2.3,7.5,3.2
998,24020,27,1,7.3,6.6,8.2,7.4,8.0,5.6,5.2,5.7
998,24020,29,1,6.4,5.8,6.0,6.6,6.0,6.4,8.0,7.0
998,24020,35,1,5.1,3.6,5.9,7.4,6.8,6.4,5.3,5.2
998,24020,37,1,7.0,4.9,6.0,7.2,7.0,6.0,6.0,5.8
998,24020,39,1,5.8,5.2,5.7,6.8,7.2,3.7,5.4,4.1
998,24020,40,1,8.0,11.0,6.4,1.3,7.6,5.3,8.0,5.8
998,24020,45,1,5.9,1.8,5.6,4.8,5.9,2.6,3.3,3.3
998,24020,46,1,7.5,3.0,8.1,6.5,7.4,10.0,7.0,8.2
998,24020,48,1,9.1,8.6,7.6,8.4,8.7,2.7,6.7,2.9
998,24020,49,1,5.4,4.3,6.4,5.1,7.3,5.3,5.3,4.3
998,24020,51,1,7.3,3.7,7.4,5.9,7.3,6.3,5.3,5.4
998,24020,53,1,7.3,8.0,3.2,4.2,7.8,5.4,5.4,5.1
998,24020,54,1,5.0,5.8,5.0,3.8,5.0,7.0,7.0,5.7
998,24020,57,1,5.8,4.6,5.3,6.1,5.8,5.1,5.3,5.1
998,24020,59,1,6.0,7.5,7.6,5.3,6.8,2.7,2.3,2.8
998,24020,60,1,5.3,6.9,5.1,2.6,5.0,7.1,7.8,7.2
998,24020,61,1,2.6,3.0,6.6,6.3,5.5,7.4,7.1,7.3
998,24020,62,1,7.9,6.7,8.5,6.8,7.4,1.5,3.2,2.6
998,24020,63,1,3.4,4.3,5.1,6.4,4.9,3.0,5.5,2.6
998,24020,66,1,7.3,1.5,8.8,6.2,9.3,7.5,8.2,7.8
998,78126,1,1,7.4,7.0,8.1,4.1,8.6,5.1,1.8,3.4
998,78126,3,1,4.8,5.0,5.1,4.6,4.8,7.8,2.9,7.6
998,78126,6,1,5.3,3.7,4.0,4.8,5.4,5.9,5.9,6.9
998,78126,7,1,7.0,5.3,9.9,7.4,9.0,6.0,0.0,0.9
998,78126,11,1,5.2,4.2,6.3,4.4,6.0,5.4,2.2,2.9
998,78126,12,1,7.1,7.1,8.8,8.8,8.1,2.6,0.7,1.2
998,78126,13,1,6.7,5.4,7.1,6.7,7.3,6.5,3.8,3.8
998,78126,19,1,6.9,5.5,7.3,6.6,7.3,3.3,2.4,3.0
998,78126,20,1,5.5,2.8,5.6,8.4,7.4,5.4,4.3,2.6
998,78126,22,1,4.6,4.1,4.5,4.5,6.4,6.5,3.5,3.4
998,78126,25,1,6.2,0.0,7.0,6.3,7.4,7.0,1.2,1.4
998,78126,28,1,6.9,7.6,6.1,4.9,6.3,3.6,1.3,2.4
998,78126,32,1,4.4,4.0,6.1,7.3,6.8,5.2,3.0,1.6
998,78126,33,1,7.2,8.6,8.1,9.7,7.0,1.1,3.0,3.1
998,78126,34,1,6.6,0.7,8.7,11.0,7.3,4.6,1.4,2.4
998,78126,38,1,6.7,6.0,7.2,5.0,6.3,7.5,3.2,5.4
998,78126,39,1,4.2,5.3,7.3,8.0,7.9,6.2,4.1,2.0
998,78126,40,1,7.3,8.0,7.8,6.2,7.7,5.9,2.1,4.6
998,78126,41,1,6.3,5.7,7.0,5.6,5.0,4.8,2.9,4.7
998,78126,45,1,5.8,0.9,6.6,5.6,7.3,3.1,2.0,1.8
998,78126,47,1,8.9,11.0,9.7,7.3,9.4,0.3,0.2,0.3
998,78126,49,1,6.4,7.7,7.2,5.0,7.4,5.3,2.4,4.6
998,78126,51,1,5.4,3.2,5.3,3.7,5.3,5.2,4.4,4.4
998,78126,53,1,7.6,7.6,6.4,7.0,7.2,5.2,3.1,1.3
998,78126,55,1,5.0,4.0,4.9,3.4,5.5,5.3,1.3,2.9
998,78126,59,1,7.2,4.7,7.5,8.6,8.0,2.6,1.9,1.7
998,78126,61,1,1.9,3.0,7.0,7.4,8.0,7.0,0.9,1.3
998,78126,64,1,5.0,3.0,7.1,2.8,7.0,6.5,3.6,2.2
998,78126,65,1,7.4,7.4,9.4,7.5,9.4,5.5,1.5,1.4
998,78126,66,1,8.8,7.9,8.4,0.8,9.6,8.1,1.5,0.7
