smiles,regression_logP
COc1ccc(C)cc1,2.00362
C=C(C)CCOC(=O)C(C)(C)C,2.541900000000001
C=CC(C)(CCCC(C)C)OC(C)OCC,4.156500000000004
Cc1ccc(OC(=O)Cc2ccccc2)cc1,3.143120000000001
CCC(=O)C(C)=O,0.5545
CC12CCCC(C)(CC1)C2=NO,2.8069000000000006
CC(C)c1ccc(C=O)cc1,2.6225000000000014
CC1(C)CC2C3CCCC(C)(C3O)C2C1,3.2197000000000022
CCCCCCCCC(=O)OCCC(C)C,4.326300000000004
C/C(=C\CC(C)C=O)C(C)C,2.8138000000000014
CC(=O)OC/C(=C\CC(C)C)C(C)C,3.1780000000000017
CC(C)c1ccc(C(C)CC=O)cc1,3.5025000000000017
CCCCCCCCCCC(=O)OCC,4.080300000000003
CCCCCOC(=O)CCC,2.5199000000000007
CCCCCCCC(=O)OCCCCC,4.080300000000004
CCc1occc(=O)c1O,0.9078
CCOC(=O)C(C)=O,0.13850000000000007
O=C1CCCCCCCCCCCCCCO1,4.614500000000004
CCCCCC(=O)CC,2.5458000000000007
CCCCCCCC(COC(C)=O)OC(C)=O,2.841700000000001
CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,-0.3673999999999986
COC(=O)c1ccccc1N=CCC(C)CCCC(C)(C)O,4.1429000000000045
C=CC(=C)CCCC(C)(C)OC(C)=O,3.2406000000000024
CC(=O)OC[C@H]1CCC=C(CCC=C(C)C)C1,4.022400000000004
CCOC(=O)CC(=O)OCC,0.5027
CCCCC/C=C\CCC=O,3.102000000000001
CCOC(=O)c1ccccc1C(=O)OCC,2.04
CCCCC/C=C/CCC(=O)OCC,3.4662000000000024
CCC(C)(O)CCC=C(C)C,2.893800000000001
C=CC(C)(CC/C=C(\C)CCC=C(C)C)OC(C)=O,4.967100000000005
CNc1ccccc1C(=O)OC,1.5149
CC(C)=CCCC(C)CCOC(=O)c1ccccc1N,4.198200000000003
CC(C)(O)Cc1ccccc1,2.0
CC(=O)OC(C)(C)Cc1ccccc1,2.570800000000001
CC(C)=CCCC1=CCCC(C)(C=O)C1,4.048300000000003
COc1ccc(OC)cc1,1.7038
CC(C)OC(=O)Cc1ccccc1,2.1807
C/C=C(\C)C(=O)OCCC(C)CCC=C(C)C,4.268400000000004
CC(C)COC(Cc1ccccc1)OCC(C)C,3.900400000000003
CC(=O)C=CC=C(C)C,2.0978
CCC(=O)OC(C)C,1.348
O=C(O)C1OC(O)C(O)C(O)C1O,-3.1291000000000007
c1ccc(Oc2ccccc2)cc1,3.478900000000001
Cc1cccc(C=O)c1,1.80752
CC1=NC(CC(C)C)SC1C,2.954800000000001
C=C=CC(C)C(=O)OCC,1.5267
Cc1ccc(C(C)(C)O)cc1,2.2224200000000005
CC(C)C=CC=O,1.3975
CCOC(C)=O,0.5694
OCC(O)/C(O)=C/c1ccccc1,0.9387
CC/C=C\CCCCCO,2.5053000000000005
CCOC(=O)c1ccccc1,1.8633
CCCC(=O)OCC,1.3496
CCCCCC(=O)OCC,2.1298000000000004
CCCCC=CC(C)O,2.1136000000000004
