smiles,regression_binding_score
CC1CN(c2ccc3ccccc3n2)CCN1CCCCN1C(=O)CC2(CCCC2)CC1=O,7.62
CC1CN(c2ccc3ccccc3n2)CCN1CCCCN1C(=O)CCCC1=O,7.43
CC1CN(c2ccc3ccccc3n2)CCN1CCCCN1C(=O)c2ccccc2C1=O,7.89
CC1CN(c2ccc3ccccc3n2)CCN1CCCN1C(=O)c2ccccc2C1=O,6.56
CC1CN(c2cccc3cc(C#N)ccc23)CCN1CCC1OCCc2cc(C(N)=O)ccc21,7.59
CC1CN(c2ccccc2[N+](=O)[O-])CC(C)N1CCN1C(=O)CC2(CCCC2)CC1=O,6.4
CC1CN(c2ccccc2[N+](=O)[O-])CCN1CCN1C(=O)CC2(CCCC2)CC1=O,7.06
CC1Cc2ccc3c(c2O1)-c1cc(O)cc2c1C(C3)N(C)CC2,7.92
CC1Cc2ccc3c(c2O1)-c1cccc2c1C(C3)N(C)CC2,7.5566666666666675
CC1c2cccc3c2-c2c1ccc1c2C(C3)N(C)CC1,7.905
CC=CCOc1cccc2c1-c1cccc3c1C(C2)N(CCC)CC3,7.96
CCC(=O)NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21,8.7
CCC(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,8.3
CCC(=O)Nc1ccc2[nH]cc(C3CCN(C)CC3)c2n1,6.0
CCC(=O)Nc1cccc(CC2CCN(CCOc3cccc4nc(C)ccc34)CC2)c1,7.6
CCC(=O)Nc1cccc(CCN2CCN(c3cccc4nc(C)ccc34)CC2)c1,8.7
CCC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)c3ccc(C)cc3)CC2)c1,6.37
CCC(=O)Oc1ccc2[nH]cc(CCN(C)C)c2c1,6.39
CCC(=O)c1c(-c2ccccc2)nn(C)c(=O)c1NCCN1CCN(c2ccccc2OC)CC1,7.5
CCC(C)Oc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3,6.61
CCC(CC)NCC(O)COc1cccc2[nH]ccc12,7.42
CCC1(C)Cc2cccc(OCCNCc3cccc(C4=CCCC4)c3)c2O1,7.49
CCC1CC(=O)c2c(N3CCN(C)CC3)cccc2N1S(=O)(=O)c1ccc2ccccc2c1,6.0
CCCC(=O)NC1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21,8.7
CCCC(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,8.26
CCCC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)c3ccc(C)cc3)CC2)c1,7.25
CCCC(=O)Nc1cccc2c1-c1cccc3c1C(C2)N(CCC)CC3,6.42
CCCC(=O)Oc1cccc2c1-c1cccc3c1C(C2)N(CCC)CC3,7.92
CCCC(C)Oc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3,6.93
CCCCC(C)Oc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3,6.82
CCCCCC(=O)C=C(O)C=Cc1ccc(O)c(OC)c1,5.19
CCCCCC=CC(=O)CCc1ccc(O)c(OC)c1,4.74
CCCCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,4.93
CCCCCCCC(O)CCc1ccc(O)c(OC)c1,5.02
CCCCCCCC=CC(=O)CCc1ccc(O)c(OC)c1,4.88
CCCCCCCCC(=O)Oc1ccc2[nH]cc(CCN(C)C)c2c1,8.03
CCCCCCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,5.43
CCCCCCCCCC=CC(=O)CCc1ccc(O)c(OC)c1,5.23
CCCCCCCCCCCOc1ccc2[nH]cc(CCN)c2c1,6.05
CCCCCCCCCCOc1ccc2[nH]cc(CCN)c2c1,6.24
CCCCCCCCCCc1ccc2[nH]cc(CCN)c2c1,5.64
CCCCCCCCCOc1ccc2[nH]cc(CCN(C)C)c2c1,6.24
CCCCCCCCCOc1ccc2[nH]cc(CCN)c2c1,6.5
CCCCCCCCCOc1ccc2[nH]cc(CCNCCCC)c2c1,5.81
CCCCCCCCOc1ccc2[nH]cc(CCN)c2c1,7.32
CCCCCCCN(C)C(N)=NNC=C1C=Nc2ccc(O)cc21,5.8
CCCCCCCOc1ccc2[nH]cc(CCN)c2c1,7.42
CCCCCCN1CCc2c([nH]c3ccccc23)C1,7.1
CCCCCCOc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3,6.56
CCCCCN1CCN(c2ccccc2OC)CC1,8.29
CCCCCN=C(N)NNC=C1C=Nc2ccc(=O)[nH]c21,5.38
CCCCCN=C(N)NNC=C1C=Nc2ccc(O)cc21,7.39
CCCCCN=C(N)NNC=C1C=Nc2ccc(OC(C)C)cc21,6.49
CCCCCN=C(N)NNC=C1C=Nc2ccc(OCC=C(C)C)cc21,4.93
CCCCCOc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3,6.75
CCCCCOc1ccc2[nH]cc(CCN)c2c1,7.38
CCCCN(CCC)C1Cc2cccc3[nH]c(=O)n(c23)C1,6.77
CCCCN1C(=O)COc2ccc(CN3CCN(CCOc4cccc5nc(C)ccc45)CC3)cc21,8.9
CCCCN1CCC(COc2nc3ccsc3n3cccc23)CC1,5.28
CCCCNC(=O)N1CCC2(CC1)OCC(CN1CCN(c3ccccc3OC)CC1)O2,7.1
CCCCNC(=O)Oc1cccc2c1-c1cccc3c1C(C2)N(CCC)CC3,6.734999999999999
CCCCOc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3,6.82
CCCCc1cc2c(s1)CC1c3cc(O)c(OC)cc3CCN1C2,6.07
CCCCc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1,7.22
CCCCn1c(NCCCN2CCN(c3ccccc3)CC2)nc2c1c(=O)n(C)c(=O)n2C,7.0
CCCN(C)C1CCc2cccc(OC)c2C1CO,8.3
CCCN(CC1CC1)C1CCc2ccc3[nH]c(C(N)=O)cc3c2C1,8.425
CCCN(CCC)C1CCc2c(O)cccc2C1,6.46
CCCN(CCC)C1CCc2c(OC)cccc2C1C,6.71
CCCN(CCC)C1CCc2c(ccc3ccoc23)C1,6.68
CCCN(CCC)C1CCc2c(ccc3ccoc23)C1C,6.92
CCCN(CCC)C1CCc2c(cccc2-c2c(OC)cccc2OC)C1,6.46
CCCN(CCC)C1CCc2ccc3[nH]c(C#N)cc3c2C1,9.7
CCCN(CCC)C1CCc2ccc3[nH]c(C(N)=O)cc3c2C1,8.760000000000002
CCCN(CCC)C1CCc2ccc3ccoc3c2C1,8.22
CCCN(CCC)C1CCc2ccc3occc3c2C1,8.11
CCCN(CCC)C1CCc2cccc(O)c2C1,8.886666666666665
CCCN(CCC)C1CCc2nn3ccccc3c2C1,5.6
CCCN(CCC)C1Cc2c[nH]c3ccc(C(C)=O)c(c23)C1,9.89
CCCN(CCC)C1Cc2cccc3[nH]c(=O)n(c23)C1,7.61
CCCN(CCC)C1Cc2cccc3[nH]c(=S)n(c23)C1,7.074999999999999
CCCN(CCC)C1Cc2cccc3c2N(C1)C(=O)C3,6.97
CCCN(CCC)C1Cc2cccc3c2N(C1)C(=O)C3=O,6.16
CCCN(CCC)C1Cc2cccc3c2N(C1)C(=O)CC3,8.62
CCCN(CCC)C1Cc2cccc3c2N(C1)C(=O)CN3,7.31
CCCN(CCC)C1Cc2cccc3c2N(C1)C(=O)NC3,8.62
CCCN(CCC)C1Cc2cccc3c2N(CC(=O)N3)C1,6.52
CCCN(CCC)C1Cc2cccc3c2n(c(=O)n3C)C1,6.91
CCCN(CCC)C1Cc2cccc3ccc(=O)n(c23)C1,7.9799999999999995
CCCN(CCC)C1Cc2cccc3nc(SC)n(c23)C1,6.76
CCCN(CCC)C1Cc2cccc3ncc(=O)n(c23)C1,6.03
CCCN(CCC)C1Cc2cccc3ncn(c23)C1,6.08
CCCN(CCC)CC1(N(CCC)CCC)COc2cccc(OC)c2C1,5.38
CCCN(CCC)CC1COc2cccc(OC)c2C1,6.63
CCCN(CCC)CCc1cccc2c1CC(=O)N2,5.77
CCCN(CCCCN1C(=O)CC(C)(C)CC1=O)C1CCc2ccc3[nH]c(C#N)cc3c2C1,9.125
