subjects,structure,odorant panel,shank,cell
aPCx_AA_3_21,aPCx,AA,3,21
aPCx_AA_3_22,aPCx,AA,3,22
aPCx_AA_3_23,aPCx,AA,3,23
aPCx_AA_3_24,aPCx,AA,3,24
aPCx_AA_3_25,aPCx,AA,3,25
aPCx_AA_3_26,aPCx,AA,3,26
aPCx_AA_3_27,aPCx,AA,3,27
aPCx_AA_3_28,aPCx,AA,3,28
aPCx_AA_3_29,aPCx,AA,3,29
aPCx_AA_3_30,aPCx,AA,3,30
aPCx_AA_3_31,aPCx,AA,3,31
aPCx_AA_3_32,aPCx,AA,3,32
aPCx_AA_3_33,aPCx,AA,3,33
aPCx_AA_3_34,aPCx,AA,3,34
aPCx_AA_3_35,aPCx,AA,3,35
aPCx_AA_3_36,aPCx,AA,3,36
aPCx_AA_1_5,aPCx,AA,1,5
aPCx_AA_1_6,aPCx,AA,1,6
aPCx_AA_1_7,aPCx,AA,1,7
aPCx_AA_2_10,aPCx,AA,2,10
aPCx_AA_2_11,aPCx,AA,2,11
aPCx_AA_2_12,aPCx,AA,2,12
aPCx_AA_2_13,aPCx,AA,2,13
aPCx_AA_2_14,aPCx,AA,2,14
aPCx_AA_2_15,aPCx,AA,2,15
aPCx_AA_2_16,aPCx,AA,2,16
aPCx_AA_2_17,aPCx,AA,2,17
aPCx_AA_2_18,aPCx,AA,2,18
aPCx_AA_2_19,aPCx,AA,2,19
aPCx_AA_2_20,aPCx,AA,2,20
aPCx_AA_2_21,aPCx,AA,2,21
aPCx_AA_2_22,aPCx,AA,2,22
aPCx_AA_2_23,aPCx,AA,2,23
