Test UID,Answer,Components in mixtures,Components that differ,% mixture overlap,Stimulus dilution,Molecule 1,Molecule 2,Molecule 3,Molecule 4,Molecule 5,Molecule 6,Molecule 7,Molecule 8,Molecule 9,Molecule 10,Molecule 11,Molecule 12,Molecule 13,Molecule 14,Molecule 15,Molecule 16,Molecule 17,Molecule 18,Molecule 19,Molecule 20,Molecule 21,Molecule 22,Molecule 23,Molecule 24,Molecule 25,Molecule 26,Molecule 27,Molecule 28,Molecule 29,Molecule 30
31,wrong,20,1,95.0,0.5,22386,637566,62336,637511,440967,8858,6184,7654,2879,18827,6736,6561,7600,11552,8030,5373603,1068,14286,8892,12348,0,0,0,0,0,0,0,0,0,0
31,wrong,20,1,95.0,1.0,22386,637566,62336,637511,440967,8858,6184,7654,2879,18827,6736,6561,7600,11552,8030,5373603,1068,14286,8892,12348,0,0,0,0,0,0,0,0,0,0
32,right,20,1,95.0,1.0,8186,8858,8051,5634,7685,179,10560,7363,7059,7749,7921,5283349,2879,31244,5281515,326,1031,7150,7344,11509,0,0,0,0,0,0,0,0,0,0
32,wrong,20,1,95.0,0.5,8186,8858,8051,5634,7685,179,10560,7363,7059,7749,7921,5283349,2879,31244,5281515,326,1031,7150,7344,8030,0,0,0,0,0,0,0,0,0,0
32,wrong,20,1,95.0,0.25,8186,8858,8051,5634,7685,179,10560,7363,7059,7749,7921,5283349,2879,31244,5281515,326,1031,7150,7344,8030,0,0,0,0,0,0,0,0,0,0
33,right,30,20,33.33,1.0,62336,460,8103,6054,1127,637511,7632,12367,7685,8858,31272,16666,7966,261,10821,26331,8025,443158,62444,326,176,8148,12348,180,1146,15380,443162,31265,454,7583
33,wrong,30,20,33.33,0.5,62336,460,8103,6054,1127,637511,7632,12367,7685,8858,12020,14286,12178,264,24915,798,5634,7654,11552,7463,6448,10882,6544,637566,1068,12180,240,10722,31249,8918
33,wrong,30,20,33.33,0.25,62336,460,8103,6054,1127,637511,7632,12367,7685,8858,12020,14286,12178,264,24915,798,5634,7654,11552,7463,6448,10882,6544,637566,1068,12180,240,10722,31249,8918
34,right,10,1,90.0,1.0,443158,22201,2879,999,1140,31249,11552,4133,8858,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,wrong,10,1,90.0,0.5,443158,22201,2879,999,1140,31249,11552,4133,8858,22873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,wrong,10,1,90.0,0.25,443158,22201,2879,999,1140,31249,11552,4133,8858,22873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,right,20,5,75.0,0.25,1060,10882,1140,11002,12020,3314,7632,2969,7888,7749,8918,6054,240,264,5281515,24915,10890,31249,11509,62465,0,0,0,0,0,0,0,0,0,0
35,wrong,20,5,75.0,1.0,1060,10882,1140,11002,12020,3314,7632,2969,7888,7749,8918,6054,240,264,5281515,8103,7363,1146,1068,8186,0,0,0,0,0,0,0,0,0,0
35,wrong,20,5,75.0,0.5,1060,10882,1140,11002,12020,3314,7632,2969,7888,7749,8918,6054,240,264,5281515,8103,7363,1146,1068,8186,0,0,0,0,0,0,0,0,0,0
36,right,10,10,0.0,0.25,8148,31272,22386,7685,176,22201,7799,1140,2879,31249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,wrong,10,10,0.0,1.0,10890,5373603,7519,31276,7731,4133,10821,8635,6654,6590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,wrong,10,10,0.0,0.5,10890,5373603,7519,31276,7731,4133,10821,8635,6654,6590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,right,10,10,0.0,0.5,8186,7714,22386,8858,326,8918,443158,7710,6184,5283349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,wrong,10,10,0.0,1.0,460,6448,7583,6501,7150,264,12348,7848,62336,16666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,wrong,10,10,0.0,0.25,460,6448,7583,6501,7150,264,12348,7848,62336,16666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,right,30,1,96.67,0.25,7600,8858,440917,7921,177,7363,7991,443158,1127,12180,16666,7888,443162,7793,91497,637511,5283349,7165,12020,8025,7714,8048,3314,15380,6736,1068,6544,8797,8186,999
38,wrong,30,1,96.67,1.0,7600,8858,440917,7921,177,7363,7991,443158,1127,12180,16666,7888,443162,7793,91497,637511,5283349,7165,12020,8025,7714,8048,3314,15380,6736,1068,6544,8797,8186,6448
38,wrong,30,1,96.67,0.5,7600,8858,440917,7921,177,7363,7991,443158,1127,12180,16666,7888,443162,7793,91497,637511,5283349,7165,12020,8025,7714,8048,3314,15380,6736,1068,6544,8797,8186,6448
39,right,20,15,25.0,0.25,177,10976,5281168,12348,6184,16666,1140,15380,8797,7363,7654,1127,176,7519,2758,440917,19310,440967,12232,7460,0,0,0,0,0,0,0,0,0,0
39,wrong,20,15,25.0,1.0,177,10976,5281168,12348,6184,26331,261,7888,2969,1031,14286,10430,460,7600,8858,7848,8103,6982,10722,11552,0,0,0,0,0,0,0,0,0,0
39,wrong,20,15,25.0,0.5,177,10976,5281168,12348,6184,26331,261,7888,2969,1031,14286,10430,460,7600,8858,7848,8103,6982,10722,11552,0,0,0,0,0,0,0,0,0,0
40,right,20,5,75.0,0.5,12020,6501,176,7344,7921,7583,31276,7363,5373603,7150,326,62444,637566,798,179,1140,62465,8048,240,2969,0,0,0,0,0,0,0,0,0,0
