Test UID,Components in mixtures,Components that differ,% mixture overlap,Stimulus dilution,Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subject 1,subject 2,subject 3,subject 4,subject 5,subject 6,subject 7,subject 8,subject 9,subject 10,subject 11,subject 12,subject 13,subject 14,subject 15,subject 16,subject 17,subject 18,subject 19,subject 20,subject 21,subject 22,subject 23,subject 24,subject 25,subject 26
57,10,10,0,1/4,right,muguet carbinol,eugenol,toluene,methyl anthranilate,2-phenyl propionaldehyde dimethyl acetal,iso-pentyl phenyl acetate,ethyl butyrate,linalool,para-methyl quinoline,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,10,10,0,not diluted,wrong,S-(methyl thio) butyrate,skatole,musk galaxolide,4-ethyl guaiacol,bis(methylsulfanyl)methane,anisole,gamma-valerolactone,phenyl acetylene,2-phenylethyl acetate,2-methylpropanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,10,10,0,1/2,wrong,S-(methyl thio) butyrate,skatole,musk galaxolide,4-ethyl guaiacol,bis(methylsulfanyl)methane,anisole,gamma-valerolactone,phenyl acetylene,2-phenylethyl acetate,2-methylpropanoic acid,,,,,,,,,,,,,,,,,,,,,wrong,right,right,right,right,right,wrong,wrong,right,wrong,right,wrong,wrong,right,right,wrong,right,right,right,wrong,right,right,right,right,right,right
85,10,10,0,1/4,right,isoamyl acetate,4-Methyl-3-penten-2-one,pentan-2-ol,butanal,ethyl butyrate,trimethyl amine,methylsulfanylmethane,methyl salicylate,benzaldehyde,ethyl formate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,10,10,0,not diluted,wrong,propyl sulfide,indole,chlorothymol,skatole,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",ethyl butyrate,muguet carbinol,iso-bornyl acetate,methylsulfanylmethane,gamma-valerolactone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,10,10,0,1/2,wrong,propyl sulfide,indole,chlorothymol,skatole,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",ethyl butyrate,muguet carbinol,iso-bornyl acetate,methylsulfanylmethane,gamma-valerolactone,,,,,,,,,,,,,,,,,,,,,right,wrong,wrong,right,wrong,wrong,wrong,wrong,wrong,wrong,right,wrong,wrong,wrong,wrong,wrong,wrong,wrong,wrong,wrong,wrong,wrong,right,wrong,wrong,wrong
97,10,10,0,1/4,right,p-cresyl acetate,nonyl acetate,pentan-2-ol,methyl benzoate,furfuryl mercaptan,"(3S)-3,7-dimethyloct-6-en-1-ol",thiophene,hexanal,caryophyllene,cinnamic aldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,10,10,0,1/2,wrong,melonal,cuminic aldehyde,trimethyl amine,p-cresol,"2,4-trans-trans-decadienal",phenyl acetic acid,skatole,methyl benzoate,hexanoic acid,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,10,10,0,1/4,wrong,melonal,cuminic aldehyde,trimethyl amine,p-cresol,"2,4-trans-trans-decadienal",phenyl acetic acid,skatole,methyl benzoate,hexanoic acid,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",,,,,,,,,,,,,,,,,,,,,wrong,right,wrong,wrong,wrong,wrong,right,right,right,wrong,right,right,right,wrong,right,right,right,wrong,wrong,right,wrong,wrong,wrong,right,right,right
120,10,10,0,not diluted,right,butyl sulfide,indole,pentan-2-ol,propan-1-ol,gamma-nonalactone,gamma-valerolactone,benzaldehyde,1-octen-3-ol,1-hexanol,2-phenyl propionaldehyde dimethyl acetal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,10,10,0,1/4,wrong,hexan-3-one,thymol,cuminic aldehyde,cinnamic aldehyde,2-ethyl pyrazine,thiophene,guaiacol,2-phenylethyl acetate,iso-pentyl phenyl acetate,ethyl propionate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,10,10,0,not diluted,wrong,hexan-3-one,thymol,cuminic aldehyde,cinnamic aldehyde,2-ethyl pyrazine,thiophene,guaiacol,2-phenylethyl acetate,iso-pentyl phenyl acetate,ethyl propionate,,,,,,,,,,,,,,,,,,,,,right,wrong,right,right,wrong,right,right,right,right,wrong,wrong,right,right,wrong,right,right,right,right,right,wrong,right,right,right,right,wrong,right
129,10,10,0,1/2,right,bis(methylsulfanyl)methane,methyl butanoate,pentan-2-ol,p-cresol,4-methoxybenzaldehyde,alpha-pinene,muguet carbinol,"2,3-dimethyl pyrazine",pentanoic acid,2-oxopropanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,10,10,0,1/2,wrong,alpha-pinene,butanoic acid,linalool,pentanoic acid,toluene,heptan-2-ol,ethyl hexanoate,p-cresol,2-hydroxypropanoic acid,cuminic aldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,10,10,0,not diluted,wrong,alpha-pinene,butanoic acid,linalool,pentanoic acid,toluene,heptan-2-ol,ethyl hexanoate,p-cresol,2-hydroxypropanoic acid,cuminic aldehyde,,,,,,,,,,,,,,,,,,,,,right,right,right,right,wrong,right,wrong,right,right,right,wrong,right,right,right,wrong,right,right,right,right,right,right,right,right,right,right,right
142,10,10,0,1/4,right,ethyl octanoate,heptanal,pentan-2-ol,cinnamic aldehyde,phenyl acetic acid,musk galaxolide,iso-phorone,thymol,4-Methyl-3-penten-2-one,butane-2-thiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,10,10,0,not diluted,wrong,butanal,undecylenic acid,acetoin,butane-2-thiol,3-hexanol,methyl butanoate,phenyl acetylene,iso-pentyl phenyl acetate,phenyl ethanol,iso-phorone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,10,10,0,1/4,wrong,butanal,undecylenic acid,acetoin,butane-2-thiol,3-hexanol,methyl butanoate,phenyl acetylene,iso-pentyl phenyl acetate,phenyl ethanol,iso-phorone,,,,,,,,,,,,,,,,,,,,,right,right,wrong,right,wrong,wrong,right,wrong,wrong,wrong,right,right,right,right,wrong,right,wrong,right,wrong,wrong,wrong,right,right,right,right,right
156,10,10,0,1/2,right,propyl sulfide,1-hexanol,pentan-2-ol,cyclohexanol,furfuryl mercaptan,methyl propanoate,4-ethyl guaiacol,ortho-tolualdehyde,dibutyl amine,_-terpineol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,10,10,0,1/4,wrong,butane-2-thiol,eugenol,eucalyptol,methylsulfanylmethane,hexan-3-one,l-menthol,thiolane,2-methylpropanoic acid,amyl butyrate,laevo-beta-pinene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,10,10,0,1/2,wrong,butane-2-thiol,eugenol,eucalyptol,methylsulfanylmethane,hexan-3-one,l-menthol,thiolane,2-methylpropanoic acid,amyl butyrate,laevo-beta-pinene,,,,,,,,,,,,,,,,,,,,,right,wrong,right,right,wrong,wrong,wrong,right,right,right,wrong,right,right,right,wrong,right,right,right,right,right,right,right,right,right,right,right
161,10,10,0,not diluted,right,decan-2-one,acetic acid,iso-valeraldehyde,2-phenylethyl acetate,ethyl butyrate,iso-bornyl acetate,"2,3-dimethyl pyrazine",butanal,pentanoic acid,geraniol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,10,10,0,1/2,wrong,iso-phorone, 1-Isopropyl-4-methylbenzene,hexan-3-one,heptanal,furfuryl mercaptan,hexyl hexanoate,decan-2-one,skatole,iso-pentyl phenyl acetate,ethyl propionate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,10,10,0,1/4,wrong,iso-phorone, 1-Isopropyl-4-methylbenzene,hexan-3-one,heptanal,furfuryl mercaptan,hexyl hexanoate,decan-2-one,skatole,iso-pentyl phenyl acetate,ethyl propionate,,,,,,,,,,,,,,,,,,,,,right,right,wrong,right,right,right,right,right,right,wrong,right,right,wrong,right,right,right,wrong,wrong,right,right,wrong,right,right,right,right,right
205,10,10,0,not diluted,right,eucalyptol,propan-2-one,pentan-2-ol,l-menthol,methyl butanoate,methyl benzoate,limonene,isoamyl acetate,butyl sulfide,1-hexanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,10,10,0,1/4,wrong,heptan-2-ol,furfuryl mercaptan,1-octen-3-ol,strawberry aldehyde,p-cresyl-iso-butyrate,propan-2-ol,hydroxy citronellal,bis(methylsulfanyl)methane,pent-1-en-3-ol,ortho-acetyl pyridine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,10,10,0,not diluted,wrong,heptan-2-ol,furfuryl mercaptan,1-octen-3-ol,strawberry aldehyde,p-cresyl-iso-butyrate,propan-2-ol,hydroxy citronellal,bis(methylsulfanyl)methane,pent-1-en-3-ol,ortho-acetyl pyridine,,,,,,,,,,,,,,,,,,,,,right,wrong,wrong,right,wrong,wrong,right,right,right,wrong,right,wrong,right,wrong,right,right,right,right,right,right,wrong,right,right,right,right,right
208,10,10,0,1/2,right,2-oxopropanoic acid,iso-phorone,pentan-2-ol,ethyl propionate,heptan-2-one,"2,4-trans-trans-decadienal",eugenol,heptanal,pentanoic acid,propan-1-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,10,10,0,1/2,wrong,para-methyl quinoline,linalool,_-terpineol,propan-1-ol,diethyl butanedioate,anisole,iso-pentyl phenyl acetate,methyl benzoate,thiophene,hydroxy citronellal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,10,10,0,1/4,wrong,para-methyl quinoline,linalool,_-terpineol,propan-1-ol,diethyl butanedioate,anisole,iso-pentyl phenyl acetate,methyl benzoate,thiophene,hydroxy citronellal,,,,,,,,,,,,,,,,,,,,,wrong,right,right,right,right,right,wrong,right,right,right,right,right,right,right,right,right,right,right,right,wrong,right,wrong,right,right,right,right
237,10,10,0,not diluted,right,muguet carbinol,ortho-tolualdehyde,pentan-2-ol,pentanoic acid,strawberry aldehyde,benzaldehyde,eugenol,geraniol,2-methylpropanal,S-(methyl thio) butyrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,10,10,0,1/4,wrong,methyl benzoate,propane-1-thiol,butanoic acid,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",ethyl decanoate,pent-1-en-3-ol,pentanoic acid,iso-pentyl phenyl acetate,octanal,4-methoxybenzaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,10,10,0,not diluted,wrong,methyl benzoate,propane-1-thiol,butanoic acid,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",ethyl decanoate,pent-1-en-3-ol,pentanoic acid,iso-pentyl phenyl acetate,octanal,4-methoxybenzaldehyde,,,,,,,,,,,,,,,,,,,,,wrong,right,right,wrong,wrong,right,right,wrong,wrong,right,right,right,right,right,right,right,wrong,right,right,right,wrong,wrong,right,right,right,right
240,10,10,0,1/2,right,linalool,skatole,pentan-2-ol,iso-valeraldehyde,undecylenic acid,acetoin,hydroxy citronellal,ethyl formate,benzaldehyde,undecanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,10,10,0,not diluted,wrong,pentyl valerate,decan-2-one,decanoic acid,nonyl acetate,acetoin,ethyl octanoate,toluene,strawberry aldehyde,gamma-nonalactone,ethyl hexanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,10,10,0,1/4,wrong,pentyl valerate,decan-2-one,decanoic acid,nonyl acetate,acetoin,ethyl octanoate,toluene,strawberry aldehyde,gamma-nonalactone,ethyl hexanoate,,,,,,,,,,,,,,,,,,,,,wrong,right,right,right,right,right,wrong,wrong,wrong,wrong,right,right,wrong,right,right,right,wrong,right,right,wrong,wrong,right,right,right,right,right
247,10,10,0,1/2,right,phenyl ethanol,pentyl acetate,pentan-2-ol,diethyl butanedioate,butanoic acid,"(3S)-3,7-dimethyloct-6-en-1-ol",ethyl butyrate,limonene,"2,4-trans-trans-decadienal",isoamyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,10,7,30,1/4,wrong,thiophene,4-Methyl-3-penten-2-one,butanal,methyl anthranilate,pent-1-en-3-ol,hexanal,eugenol,hydroxy citronellal,"(3S)-3,7-dimethyloct-6-en-1-ol",amyl butyrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,10,7,30,not diluted,wrong,thiophene,4-Methyl-3-penten-2-one,butanal,methyl anthranilate,pent-1-en-3-ol,hexanal,eugenol,hydroxy citronellal,"(3S)-3,7-dimethyloct-6-en-1-ol",amyl butyrate,,,,,,,,,,,,,,,,,,,,,wrong,right,wrong,wrong,wrong,wrong,wrong,right,wrong,right,wrong,right,wrong,wrong,right,wrong,wrong,wrong,right,wrong,right,wrong,wrong,wrong,right,wrong
26,10,7,30,1/2,right,thiophene,4-Methyl-3-penten-2-one,butanal,decan-2-one,trimethyl amine,pentan-2-ol,ethyl 2-hydroxypropanoate,undecylenic acid,2-phenyl propionaldehyde dimethyl acetal,acetoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,10,7,30,not diluted,wrong,melonal,4-methoxybenzaldehyde,hexan-3-one,acetoin, 1-Isopropyl-4-methylbenzene,"2,4-trans-trans-decadienal",acetic acid,ethyl decanoate,hexanoic acid,2-methylpropanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,10,7,30,1/2,wrong,melonal,4-methoxybenzaldehyde,hexan-3-one,acetoin, 1-Isopropyl-4-methylbenzene,"2,4-trans-trans-decadienal",acetic acid,ethyl decanoate,hexanoic acid,2-methylpropanal,,,,,,,,,,,,,,,,,,,,,wrong,wrong,right,wrong,right,wrong,wrong,right,wrong,right,right,right,right,right,wrong,wrong,right,right,right,right,right,right,right,right,right,wrong
29,10,7,30,1/4,right,melonal,4-methoxybenzaldehyde,hexan-3-one,ethyl formate,2-phenyl propionaldehyde dimethyl acetal,pentan-2-ol,laevo-beta-pinene,muguet carbinol,cinnamic aldehyde,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,10,7,30,not diluted,wrong,iso-valeric acid,eugenol,trimethyl amine,propan-1-ol,hydroxy citronellal,dimethyl trisulfide,p-cresyl acetate, 1-Isopropyl-4-methylbenzene,limonene,dibutyl amine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,10,7,30,1/4,wrong,iso-valeric acid,eugenol,trimethyl amine,propan-1-ol,hydroxy citronellal,dimethyl trisulfide,p-cresyl acetate, 1-Isopropyl-4-methylbenzene,limonene,dibutyl amine,,,,,,,,,,,,,,,,,,,,,right,right,right,right,right,right,right,wrong,right,wrong,right,right,right,right,right,right,right,wrong,right,right,right,right,right,right,right,right
52,10,7,30,1/2,right,iso-valeric acid,eugenol,trimethyl amine,butyl sulfide,1-hexanol,pentan-2-ol,ethyl octanoate,decan-2-one,heptan-2-ol,thiolane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,10,7,30,1/4,wrong,isoamyl acetate,"2,4-trans-trans-decadienal",heptanal,phenyl ethanol,iso-pentyl phenyl acetate,hexyl hexanoate,gamma-nonalactone,4-Methyl-3-penten-2-one,dibutyl amine,p-cresyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,10,7,30,not diluted,wrong,isoamyl acetate,"2,4-trans-trans-decadienal",heptanal,phenyl ethanol,iso-pentyl phenyl acetate,hexyl hexanoate,gamma-nonalactone,4-Methyl-3-penten-2-one,dibutyl amine,p-cresyl acetate,,,,,,,,,,,,,,,,,,,,,wrong,wrong,right,right,right,wrong,right,wrong,right,right,right,right,right,wrong,wrong,right,wrong,right,right,right,right,right,right,right,right,right
60,10,7,30,1/2,right,isoamyl acetate,"2,4-trans-trans-decadienal",heptanal,2-phenylethyl acetate,toluene,pentan-2-ol,dimethyl benzyl carbinyl butyrate,methylsulfanylmethane,acetophenone,gamma-valerolactone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,10,7,30,1/2,wrong,hexyl hexanoate,benzaldehyde,thiolane,propan-2-one,pentyl acetate,4-methyl anisole,undecylenic acid,strawberry aldehyde,chlorothymol,ethyl decanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,10,7,30,not diluted,wrong,hexyl hexanoate,benzaldehyde,thiolane,propan-2-one,pentyl acetate,4-methyl anisole,undecylenic acid,strawberry aldehyde,chlorothymol,ethyl decanoate,,,,,,,,,,,,,,,,,,,,,wrong,wrong,wrong,wrong,wrong,wrong,wrong,right,right,right,wrong,right,wrong,right,right,wrong,right,wrong,wrong,right,right,right,right,right,right,right
64,10,7,30,1/4,right,hexyl hexanoate,benzaldehyde,thiolane,ortho-acetyl pyridine,nonyl acetate,pentan-2-ol,methyl butanoate,p-cresyl acetate,ethyl butyrate,ethyl formate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,10,7,30,1/2,wrong,anisole,eucalyptol,nonan-2-ol,gamma-undecalactone,hexanal,benzaldehyde,chlorothymol,methylsulfanylmethane,propan-2-ol,methyl butanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,10,7,30,not diluted,wrong,anisole,eucalyptol,nonan-2-ol,gamma-undecalactone,hexanal,benzaldehyde,chlorothymol,methylsulfanylmethane,propan-2-ol,methyl butanoate,,,,,,,,,,,,,,,,,,,,,wrong,wrong,wrong,right,right,wrong,wrong,wrong,wrong,wrong,right,wrong,wrong,right,wrong,right,right,right,right,right,wrong,wrong,wrong,right,wrong,right
71,10,7,30,1/4,right,anisole,eucalyptol,nonan-2-ol,1-octen-3-ol,l-menthol,pentan-2-ol,pentanoic acid,heptan-2-one,undecylenic acid,butyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,10,7,30,1/2,wrong,methyl salicylate,dibutyl amine,2-phenylethyl acetate,2-hydroxypropanoic acid,4-methyl anisole,methyl benzoate,propan-1-ol,propane-1-thiol,alpha-pinene,pentyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,10,7,30,1/4,wrong,methyl salicylate,dibutyl amine,2-phenylethyl acetate,2-hydroxypropanoic acid,4-methyl anisole,methyl benzoate,propan-1-ol,propane-1-thiol,alpha-pinene,pentyl acetate,,,,,,,,,,,,,,,,,,,,,wrong,right,wrong,right,right,right,right,right,wrong,right,right,right,right,right,right,right,right,wrong,wrong,right,right,right,right,right,right,right
73,10,7,30,not diluted,right,methyl salicylate,dibutyl amine,2-phenylethyl acetate,melonal,thymol,pentan-2-ol,heptanal,diethyl butanedioate,dimethyl trisulfide,ethyl butyrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,10,7,30,not diluted,wrong,butane-2-thiol,eugenol,eucalyptol,methylsulfanylmethane,hexan-3-one,l-menthol,thiolane,2-methylpropanoic acid,amyl butyrate,laevo-beta-pinene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,10,7,30,1/4,wrong,butane-2-thiol,eugenol,eucalyptol,methylsulfanylmethane,hexan-3-one,l-menthol,thiolane,2-methylpropanoic acid,amyl butyrate,laevo-beta-pinene,,,,,,,,,,,,,,,,,,,,,right,right,wrong,right,right,wrong,wrong,wrong,right,right,right,right,wrong,wrong,wrong,right,right,right,right,right,right,right,right,wrong,right,right
80,10,7,30,1/2,right,butane-2-thiol,eugenol,eucalyptol,decan-2-one,acetic acid,iso-valeraldehyde,2-phenylethyl acetate,ethyl butyrate,iso-bornyl acetate,"2,3-dimethyl pyrazine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,10,7,30,1/2,wrong,eugenol,methylsulfanylmethane,hexanal,p-cresol,dimethyl benzyl carbinyl butyrate,linalool,pentanoic acid,hydroxy citronellal,ethyl propionate,methyl benzoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,10,7,30,not diluted,wrong,eugenol,methylsulfanylmethane,hexanal,p-cresol,dimethyl benzyl carbinyl butyrate,linalool,pentanoic acid,hydroxy citronellal,ethyl propionate,methyl benzoate,,,,,,,,,,,,,,,,,,,,,right,right,right,wrong,wrong,wrong,right,right,right,wrong,right,right,right,right,right,right,wrong,right,right,wrong,right,right,right,right,right,right
92,10,7,30,1/4,right,eugenol,methylsulfanylmethane,hexanal,2-methylpropanoic acid,butanoic acid,pentan-2-ol,4-ethyl guaiacol,phenyl acetylene,iso-valeric acid,"2,3-dimethyl pyrazine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,10,7,30,1/2,wrong,pentyl valerate,thiophene,hexanoic acid,ortho-tolualdehyde,butyl acetate,butanal,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",diphenyl oxide,isoamyl acetate,trimethyl amine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,10,7,30,1/4,wrong,pentyl valerate,thiophene,hexanoic acid,ortho-tolualdehyde,butyl acetate,butanal,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",diphenyl oxide,isoamyl acetate,trimethyl amine,,,,,,,,,,,,,,,,,,,,,wrong,wrong,wrong,wrong,wrong,right,wrong,right,right,right,right,right,wrong,right,right,right,right,right,wrong,right,right,right,right,right,right,right
118,10,7,30,not diluted,right,pentyl valerate,thiophene,hexanoic acid,acetic acid,dimethyl trisulfide,pentan-2-ol,linalool,iso-bornyl acetate,thiolane,chlorothymol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,10,7,30,1/4,wrong,chlorothymol,_-terpineol,heptan-2-one,trimethyl amine,2-ethyl pyrazine,heptan-2-ol,2-methylpropanoic acid,gamma-valerolactone,para-methyl quinoline,dibutyl amine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,10,7,30,1/2,wrong,chlorothymol,_-terpineol,heptan-2-one,trimethyl amine,2-ethyl pyrazine,heptan-2-ol,2-methylpropanoic acid,gamma-valerolactone,para-methyl quinoline,dibutyl amine,,,,,,,,,,,,,,,,,,,,,wrong,right,wrong,wrong,wrong,wrong,wrong,wrong,wrong,right,wrong,right,right,wrong,right,wrong,wrong,right,wrong,wrong,wrong,wrong,wrong,right,wrong,wrong
131,10,7,30,not diluted,right,chlorothymol,_-terpineol,heptan-2-one,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",(methyldisulfanyl) methane,pentan-2-ol,p-cresyl-iso-butyrate,heptanal,muguet carbinol,4-ethyl guaiacol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,10,7,30,1/4,wrong,caryophyllene,iso-bornyl acetate,amyl butyrate,propan-2-ol,butane-2-thiol,hexanoic acid,S-(methyl thio) butyrate,nonyl acetate,chlorothymol,4-methyl anisole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,10,7,30,1/2,wrong,caryophyllene,iso-bornyl acetate,amyl butyrate,propan-2-ol,butane-2-thiol,hexanoic acid,S-(methyl thio) butyrate,nonyl acetate,chlorothymol,4-methyl anisole,,,,,,,,,,,,,,,,,,,,,wrong,right,right,right,right,right,right,wrong,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right
138,10,7,30,not diluted,right,caryophyllene,iso-bornyl acetate,amyl butyrate,gamma-valerolactone,decan-2-one,pentan-2-ol,eucalyptol,muguet carbinol,2-phenylethyl acetate,dimethyl benzyl carbinyl butyrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,10,7,30,not diluted,wrong,phenyl acetic acid,phenyl acetylene,indole,isoamyl acetate,gamma-nonalactone,trans-2-hexenal,iso-pentyl phenyl acetate,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",acetoin,4-Methyl-3-penten-2-one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,10,7,30,1/2,wrong,phenyl acetic acid,phenyl acetylene,indole,isoamyl acetate,gamma-nonalactone,trans-2-hexenal,iso-pentyl phenyl acetate,"2-methyl-5-propan-2-ylcyclohexa-1,3-diene",acetoin,4-Methyl-3-penten-2-one,,,,,,,,,,,,,,,,,,,,,wrong,right,right,wrong,right,right,right,right,right,right,wrong,right,right,right,wrong,wrong,wrong,right,right,right,right,right,wrong,right,wrong,right
164,10,7,30,1/4,right,phenyl acetic acid,phenyl acetylene,indole,strawberry aldehyde,butyl acetate,pentan-2-ol,methyl butanoate,skatole,ethyl propionate,methyl salicylate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,10,7,30,not diluted,wrong,heptanal,celeriax, 1-Isopropyl-4-methylbenzene,decanoic acid,dibutyl amine,p-cresol,ethyl butyrate,undecanal,alpha-pinene,propan-2-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,10,7,30,1/4,wrong,heptanal,celeriax, 1-Isopropyl-4-methylbenzene,decanoic acid,dibutyl amine,p-cresol,ethyl butyrate,undecanal,alpha-pinene,propan-2-ol,,,,,,,,,,,,,,,,,,,,,right,right,right,wrong,wrong,wrong,right,wrong,wrong,right,wrong,wrong,right,right,right,wrong,wrong,wrong,right,right,wrong,right,wrong,wrong,right,right
190,10,7,30,1/2,right,heptanal,celeriax, 1-Isopropyl-4-methylbenzene,iso-bornyl acetate,methyl propanoate,pentan-2-ol,acetoin,heptan-2-ol,4-pentenoic acid,methyl anthranilate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,10,7,30,1/2,wrong,ethyl hexanoate,trans-2-hexenal,pentanoic acid,iso-valeraldehyde,para-methyl quinoline,1-hexanol,geraniol,hexyl hexanoate,hexan-3-one,4-methoxybenzaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,10,7,30,1/4,wrong,ethyl hexanoate,trans-2-hexenal,pentanoic acid,iso-valeraldehyde,para-methyl quinoline,1-hexanol,geraniol,hexyl hexanoate,hexan-3-one,4-methoxybenzaldehyde,,,,,,,,,,,,,,,,,,,,,wrong,wrong,right,right,right,wrong,right,wrong,wrong,wrong,wrong,wrong,right,wrong,right,right,right,wrong,wrong,right,right,right,wrong,right,right,right
