CID,UID,Pleasant,Volatile,WeakStrong,Bitter,Chemical,Spice,Sweet,FreshRotten,CleanDirty,Burnt,Fruity,Develops,Garlic
326,8179,1,63,31,1,28,11,52,34,54,1,13,25,1
326,8181,3,12,74,71,75,57,14,1,3,59,18,78,89
326,8182,35,50,50,54,36,50,35,36,50,54,32,34,33
326,8183,78,63,94,32,1,64,1,100,70,1,1,93,1
326,8185,63,50,75,61,46,56,2,46,40,60,24,56,62
326,8187,4,77,59,64,98,50,1,26,10,4,3,50,3
326,8188,16,6,82,69,59,83,4,50,29,68,13,59,58
326,8190,8,79,77,63,33,78,38,56,45,43,43,48,56
326,8192,52,39,93,64,1,17,11,100,59,1,1,65,15
326,8193,1,1,98,91,55,71,39,12,7,87,50,11,93
326,8194,2,68,89,81,71,91,2,43,41,95,2,70,2
326,8195,38,7,84,15,4,90,4,40,46,4,61,70,1
326,8200,33,33,55,30,30,68,11,88,51,5,6,74,4
326,8203,4,17,86,50,21,70,8,47,41,68,4,16,62
326,8204,57,7,86,71,82,59,43,91,82,11,62,92,9
326,8205,39,55,62,47,44,61,3,34,43,47,8,43,56
326,8206,16,32,72,60,60,59,59,34,9,33,41,50,60
326,8211,70,69,61,23,41,35,20,81,33,6,40,35,30
326,8212,1,73,89,65,12,93,1,25,28,49,1,57,65
326,8214,13,85,100,88,51,100,26,100,11,78,59,96,100
326,8220,28,23,95,66,23,75,12,37,13,61,2,23,63
326,8221,53,37,59,42,36,73,47,81,42,40,54,36,72
326,8224,56,17,100,1,1,63,1,100,67,1,1,73,50
326,8225,7,50,9,8,98,9,1,8,36,1,5,7,13
326,8226,22,18,68,70,15,83,27,53,49,21,13,50,61
326,8228,46,12,99,40,12,81,1,99,12,1,2,75,75
326,8229,65,74,20,23,61,28,41,89,63,28,86,50,91
326,8232,58,56,48,8,59,57,29,83,85,15,92,14,61
326,8233,44,25,64,31,69,58,34,50,44,2,1,50,54
326,8234,99,21,92,2,2,2,2,85,82,2,2,96,1
326,8238,11,16,81,100,69,91,1,50,23,92,14,84,15
326,8240,14,41,61,58,57,59,15,38,37,21,16,54,57
326,8241,50,50,69,50,18,50,13,50,50,15,1,50,72
326,8243,47,46,53,54,52,54,53,52,46,57,48,53,51
326,8244,2,1,91,100,87,62,1,11,23,1,1,99,100
326,8246,63,91,95,92,20,77,1,13,23,61,1,29,1
326,8247,29,30,78,72,28,75,27,64,34,20,32,50,76
326,8250,3,62,80,73,30,25,16,8,31,63,21,78,60
326,8251,67,67,68,70,26,52,34,74,62,41,33,61,28
326,8253,28,77,87,89,83,74,2,85,19,70,6,97,5
326,8255,1,20,93,80,92,87,1,41,35,42,1,98,39
326,8256,6,88,50,94,6,95,11,95,9,86,4,88,5
326,8257,5,89,60,58,27,78,3,36,6,77,3,70,65
326,8264,22,44,59,61,62,57,1,46,42,1,1,61,57
326,8267,41,53,91,64,47,35,6,53,54,5,1,85,52
326,8270,19,18,90,79,79,85,20,11,20,81,18,89,79
326,8271,50,50,50,50,62,92,50,50,50,50,50,50,43
326,8276,61,50,29,5,29,4,20,50,77,29,31,24,1
326,8277,44,1,68,2,22,57,2,93,100,3,44,3,29
326,8281,54,58,76,1,67,1,71,38,59,1,84,59,1
326,8283,63,58,66,64,69,29,64,59,60,6,68,46,4
326,8285,8,27,88,83,73,59,9,24,51,75,12,69,8
326,8287,3,23,92,72,73,84,97,73,50,5,69,50,3
326,8289,37,26,65,75,51,66,18,61,28,66,20,36,64
326,8291,29,47,46,51,55,37,42,34,27,25,35,49,50
326,8293,32,67,73,61,86,71,59,12,39,57,69,58,13
326,8296,13,100,86,87,80,65,1,1,1,65,1,85,81
326,8299,2,19,99,97,95,90,1,1,1,83,1,100,100
326,8300,1,1,99,65,7,99,50,84,50,1,1,100,1
326,8302,21,25,22,69,15,93,11,23,9,90,27,32,94
326,8305,29,39,84,53,95,45,26,33,30,67,36,67,1
326,8307,38,10,91,50,4,78,5,63,45,25,11,80,57
326,8308,31,50,69,50,62,68,18,50,50,60,54,62,2
326,8309,75,14,26,16,1,1,1,67,74,1,19,9,1
326,8313,2,28,74,74,77,72,18,27,11,54,11,54,53
326,8314,52,62,76,31,57,47,36,86,66,57,1,67,65
326,8315,1,18,99,28,1,1,1,1,100,100,1,100,1
326,8316,3,17,91,17,98,24,17,50,50,50,40,97,4
326,8317,95,12,85,7,37,84,89,92,92,6,92,85,1
326,8324,61,67,66,67,31,66,39,57,73,34,55,80,61
326,8326,51,53,50,53,22,54,44,53,53,55,54,47,1
326,8330,30,39,38,43,42,33,53,57,35,19,56,39,17
326,8334,2,9,95,91,14,95,2,15,2,25,2,94,38
326,8335,22,55,56,64,55,70,1,40,24,64,50,49,1
326,8338,43,35,39,60,66,60,33,62,20,63,44,38,62
326,8340,2,13,98,98,7,82,2,45,46,45,2,92,58
326,8342,63,35,93,45,92,73,63,67,55,56,60,72,16
326,8346,10,33,86,53,58,60,52,38,47,57,58,33,44
326,8347,7,60,94,85,63,43,27,16,7,34,9,95,39
326,8351,50,22,76,30,15,64,7,42,70,63,12,61,60
326,8353,36,65,60,60,60,50,24,28,39,23,27,65,66
326,8354,1,17,88,81,59,52,1,1,1,27,1,57,58
326,8358,28,67,63,100,77,13,1,32,35,1,1,62,1
326,8361,39,78,32,22,71,2,61,66,39,2,63,71,2
326,8362,53,50,63,33,41,39,57,56,59,25,67,50,39
326,8363,2,2,99,99,98,80,1,2,2,98,1,98,98
326,8364,42,58,59,66,38,84,43,37,24,68,28,42,57
326,8365,42,53,56,61,60,62,36,50,45,54,28,50,55
326,8367,50,50,82,80,50,78,50,50,50,65,50,50,50
326,8368,19,19,68,43,70,57,6,6,14,59,13,36,99
326,8369,31,60,45,34,27,50,2,63,45,32,5,43,49
326,8370,10,50,68,50,55,50,50,50,50,50,50,50,50
326,8372,31,72,78,60,75,55,56,66,68,57,52,78,6
326,8373,2,84,100,83,79,85,3,2,2,30,2,76,72
326,8374,15,75,84,13,83,78,18,70,18,1,13,100,1
326,8379,1,1,100,97,100,100,1,14,1,19,1,95,1
326,8381,38,50,50,50,63,50,50,50,43,50,52,50,50
326,8383,56,66,84,1,35,27,77,20,24,91,100,91,1
326,8385,34,28,80,58,20,58,14,43,21,16,14,50,75
326,8388,25,26,68,50,45,54,1,52,50,1,1,59,56
326,8390,21,24,97,64,22,69,21,50,50,2,5,97,2
326,8391,12,20,89,59,95,82,11,18,20,65,8,50,56
326,8392,61,60,52,16,38,37,33,66,70,21,74,61,22
326,8394,50,60,56,39,44,83,68,42,50,50,50,50,61
326,8400,1,1,100,1,1,100,1,1,1,1,1,1,100
326,8402,33,72,58,39,65,38,18,44,40,18,60,75,30
326,8403,58,13,67,12,2,3,24,50,50,2,54,54,3
326,8404,15,94,100,100,31,100,13,21,27,65,29,97,21
326,8407,2,2,99,8,1,62,2,2,8,9,1,99,21
326,8408,41,45,61,60,64,63,40,33,34,56,29,46,69
