Stimulus,odor.class,odor.class.source,dataset.assigned,transport.ML.odor.probability,many.feature.ML.odor.probability,boiling.point.experimental,boiling.point.estimate.EPISuite,boiling.point.estimate.Banks,boiling.point.estimate.Burnop,boiling.point.best.available,vapor.pressure.experimental,vapor.pressure.best.available
C(CO)N(CCO)N=O,Odor,PubChem,train,0.179412543773651,0.215238749980927,,322.64,158.030133001671,190.038273485114,322.64,,4.65e-06
C(CO)NCCO,Odor,van Gemert 2011,train,0.967980116605759,0.994327050633729,268.8,231.58,115.838756536401,115.874360680147,268.8,0.00028,0.00028
C(CO)O,Odor,Lab-Tested,validation,0.828417658805847,0.97043465077877,197.3,153.53,23.5564022001989,-4.86454151260369,197.3,0.092,0.092
C(CO)[N+](=O)[O-],Odor,PubChem,train,0.191242516040802,0.741649985313416,194.0,176.13,90.6563354027883,274.894235668175,194.0,,0.106
C(COCCO)N,Odor,PubChem,train,0.847423851490021,0.985760034993291,218.0,194.47,115.838756536401,115.874360680147,218.0,0.00154,0.00154
C(COCCO)O,Odorless,PubChem,train,0.110005438327789,0.0291281938552856,245.8,215.97,117.458749645446,95.1814363644455,245.8,0.0057,0.0057
C(COCCOCCO)O,Odor,Lab-Tested,validation,0.965777046978474,0.989352317526937,285.0,270.06,177.271261473487,171.655199935831,285.0,0.00132,0.00132
C(COCCOCCOCCO)O,Odor,PubChem,train,0.186994552612305,0.205152273178101,328.0,315.8,220.034008024687,232.789857306099,328.0,4.65e-05,4.65e-05
C(CO[N+](=O)[O-])O[N+](=O)[O-],Odorless,PubChem,train,0.331815421581268,0.0249678492546082,198.5,191.09,179.374923620334,522.519419078848,198.5,0.072,0.072
C(CS)CS,Odor,PubChem,train,0.999857144997804,0.999897878893535,172.9,163.14,120.893832985308,,172.9,,1.36
C(CS)O,Odor,PubChem,train,0.999327672179788,0.999705414113123,158.0,147.39,63.7678730954104,,158.0,1.76,1.76
C(CS)S,Odor,van Gemert 2011,train,0.999825030419743,0.99996409380401,146.0,141.17,96.6044833519596,,146.0,5.61,5.61
